 	il	n'	y	a	plus	de	pont	en	aval	de	l'	aima	</S>
ω	0.112401	0.0666173	0.15605	0.118994	0.0836148	0.105002	0.0870267	0.128169	0.0528077	0.0443735	0.031749	0.00356253	0.00963365
l	0.0221888	0.0683763	0.0243669	0.0548816	0.0744227	0.0638203	0.0899962	0.271536	0.0906526	0.0675924	0.0390928	0.0730357	0.0600378
a	0.00272937	0.021263	0.0123178	0.0169915	0.017713	0.0189209	0.169677	0.211141	0.166738	0.0341224	0.0368958	0.0768816	0.214609
b	0.00177207	0.0175986	0.0126319	0.0116795	0.0117557	0.0124288	0.126939	0.0979223	0.0461421	0.030785	0.0306136	0.0336159	0.566116
h	0.0429395	0.0367657	0.0673601	0.0599558	0.0676402	0.0529216	0.135058	0.096271	0.102028	0.0496967	0.0146823	0.0226283	0.252053
a	0.155833	0.0497583	0.0504602	0.0189139	0.0286966	0.0425947	0.162531	0.110445	0.159421	0.0721439	0.022824	0.0215406	0.104838
a	0.0383186	0.112833	0.11984	0.0460602	0.0684886	0.0712539	0.0622608	0.190473	0.137718	0.0509447	0.0338545	0.00839861	0.0595556
m	0.0316243	0.0930503	0.051775	0.104337	0.0933333	0.0774887	0.0608382	0.18472	0.109733	0.0539578	0.0578595	0.00727959	0.0740023
ó	0.0103869	0.040827	0.0113355	0.027486	0.0428977	0.0674227	0.0664002	0.114617	0.0489551	0.162143	0.266154	0.00442478	0.13695
t	0.00629855	0.0102098	0.0147917	0.0328631	0.0387016	0.0710101	0.24063	0.225171	0.157098	0.0918094	0.0460706	0.0162934	0.0490527
s	0.00257835	0.0195494	0.021076	0.0508679	0.0958181	0.0909027	0.0937433	0.159122	0.174991	0.124127	0.0431767	0.0386475	0.0853999
ε	0.00026743	0.00358136	0.00765636	0.0237672	0.0465707	0.0345702	0.0446265	0.0841871	0.555769	0.131796	0.0188542	0.0218214	0.026532
y	0.00360708	0.0227599	0.0334155	0.0582212	0.097673	0.107841	0.0636811	0.119929	0.133779	0.208783	0.0468139	0.0138331	0.0896628
á	0.0163984	0.0334501	0.0441758	0.0666457	0.138816	0.174338	0.066367	0.149026	0.103891	0.100454	0.0212917	0.0133329	0.071814
ε	0.00589505	0.0053549	0.0131289	0.0222922	0.0408221	0.113746	0.0737643	0.0813993	0.0989578	0.320701	0.196	0.0157227	0.0122155
b	0.00473984	0.00923068	0.00359898	0.0186315	0.0489804	0.0394153	0.0547497	0.149005	0.139666	0.103092	0.107621	0.291874	0.0293951
a	0.00747936	0.0178127	0.021182	0.0418329	0.0626035	0.0632026	0.0735199	0.0570938	0.238661	0.0615303	0.0735848	0.263208	0.0182887
a	0.00100044	0.00204156	0.0022808	0.0074587	0.0318324	0.0335314	0.0859554	0.0570214	0.457831	0.103974	0.0276216	0.146773	0.0426782
y	0.00120897	0.00411793	0.00707825	0.0109947	0.0174718	0.0281002	0.00489309	0.0343336	0.0848941	0.322232	0.403516	0.0471592	0.0340002
á	0.0083722	0.0346848	0.0193116	0.022263	0.031077	0.105718	0.134602	0.0502311	0.0195471	0.180105	0.242363	0.0391701	0.112555
a	0.00630133	0.00971782	0.0184024	0.0240857	0.0301266	0.0633057	0.0475048	0.0179528	0.0143694	0.143664	0.498949	0.0957139	0.0299064
l	0.0011578	0.00627573	0.00506545	0.00785986	0.0101882	0.0111677	0.0151558	0.0170738	0.019798	0.0643849	0.378735	0.38691	0.0762274
i	0.000965986	0.0150934	0.00702446	0.0172799	0.0108464	0.0118148	0.0141723	0.0104955	0.00839735	0.0364332	0.365119	0.262291	0.240067
m	9.34169e-05	0.00193197	0.00296165	0.00376694	0.0112055	0.0187461	0.0230064	0.0142651	0.0186737	0.0646182	0.244993	0.180425	0.415313
á	0.00304165	0.0193756	0.00750743	0.00641451	0.0187073	0.0329865	0.0131273	0.0226932	0.0117981	0.105368	0.47503	0.110311	0.173639
o	0.0055395	0.00542236	0.0154834	0.0153122	0.0222506	0.0318437	0.00945267	0.0159498	0.018241	0.158423	0.35435	0.0592597	0.288473
b	0.000545132	0.00342892	0.00246913	0.00315351	0.00463409	0.00441051	0.00794307	0.00984927	0.00982488	0.0118878	0.11955	0.648343	0.173961
h	0.000462927	0.00193993	0.00251878	0.00491929	0.00605662	0.00304395	0.00179957	0.00956781	0.0409371	0.0153091	0.0510294	0.813112	0.0493033
í	0.000226747	0.00135986	0.00101434	0.00139624	0.00315494	0.00148986	0.00115498	0.00445176	0.0209533	0.0063913	0.0327726	0.8533	0.0723345
k	4.10612e-05	0.000638678	0.000510975	0.000490093	0.00162365	0.00131355	0.00265882	0.00383246	0.0185371	0.0189475	0.0684234	0.467132	0.415851
a	0.000861529	0.00650489	0.00599952	0.00899719	0.0213135	0.00693873	0.002163	0.00340204	0.0202831	0.027857	0.0535489	0.163934	0.678196
á	8.64137e-05	0.000769566	0.00073196	0.000861562	0.00297072	0.00162819	0.000875081	0.00402014	0.016313	0.0256893	0.0243158	0.0958308	0.825908
</S>	0.00516876	0.00905903	0.011092	0.0236891	0.0277414	0.0200489	0.00327299	0.0230252	0.0228399	0.0756265	0.147181	0.0370419	0.594213
