 	elle	était	au	bord	des	larmes	</S>
w	0.854899	0.100621	0.0298344	0.00679008	0.00631922	0.00134556	0.000190546
a	0.787957	0.0911497	0.0700732	0.00820602	0.0409464	0.00131393	0.000353349
a	0.181092	0.602261	0.192415	0.00599031	0.0102246	0.00166758	0.0063499
b	0.0713409	0.515501	0.311733	0.0408057	0.0206695	0.00659616	0.033354
h	0.0680098	0.186163	0.307097	0.321064	0.0584896	0.00155969	0.0576168
i	0.0258814	0.108726	0.359121	0.367947	0.0800447	0.0053733	0.0529069
p	0.0629407	0.15138	0.276694	0.316394	0.0878905	0.00920863	0.0954922
ε	0.0245777	0.0540245	0.119033	0.697032	0.0359289	0.0229635	0.0464409
l	0.00950623	0.0317046	0.217535	0.510292	0.0973783	0.032604	0.100979
έ	0.0180954	0.0258683	0.130369	0.501757	0.178284	0.0490123	0.0966137
έ	0.0126158	0.0156611	0.132615	0.181062	0.557765	0.0588314	0.0414503
l	0.00594065	0.0134397	0.0782515	0.293155	0.301001	0.201665	0.106548
o	0.00641238	0.0104107	0.0376638	0.0827048	0.266965	0.321352	0.274492
l	0.00580519	0.0135571	0.0557667	0.057513	0.260095	0.474686	0.132577
e	0.00669496	0.0167989	0.0324005	0.0365951	0.0986312	0.665358	0.143522
a	0.00117537	0.00699429	0.0473237	0.0919735	0.130842	0.253361	0.46833
</S>	0.0164601	0.0137166	0.0465433	0.0490893	0.157974	0.20698	0.509237
