 	l'	idiotie	de	cet	enfant	m'	énerve	</S>
o	0.950745	0.0265515	0.012759	0.00630259	0.00268337	0.000831806	8.10101e-05	4.59901e-05
m	0.0718589	0.919142	0.00524681	0.000630367	0.0013201	0.00064113	0.000805205	0.000355706
b	0.0252185	0.968442	0.00452308	0.00108045	0.000165575	8.75684e-05	7.5413e-06	0.000474811
ó	0.0115673	0.981381	0.0049993	0.00111798	0.000327954	0.000107066	5.64234e-05	0.000443257
s	0.0433056	0.889221	0.042941	0.0139985	0.00884672	0.000142969	5.50727e-05	0.00148854
i	0.128895	0.766276	0.0641297	0.0166096	0.00468417	0.000853031	0.00304384	0.0155082
m	0.175158	0.103516	0.416473	0.253337	0.00691962	0.0334665	0.00411219	0.00701711
a	0.388586	0.0781158	0.137373	0.266446	0.112771	0.00626167	0.00044965	0.00999665
m	0.172099	0.0548813	0.374638	0.255334	0.103104	0.018847	0.00225086	0.0188454
w	0.0935364	0.0989553	0.0614537	0.147334	0.588878	0.00433967	0.000236207	0.00526693
á	0.000967572	0.00181489	0.00265522	0.00875395	0.985367	9.95111e-05	2.45358e-05	0.000317131
n	0.279214	0.0118316	0.0349397	0.14892	0.510833	0.0058483	0.000177784	0.00823555
a	0.0467237	0.0144865	0.0274142	0.158765	0.717763	0.0107368	0.0012984	0.0228126
w	0.024467	0.00788593	0.198833	0.53276	0.0292032	0.153689	0.0290013	0.0241605
ó	0.0429355	0.00259366	0.190475	0.299393	0.0155321	0.148759	0.0533565	0.246955
m	0.056651	0.00616146	0.180466	0.177133	0.0127828	0.267191	0.0276401	0.271975
ó	0.114095	0.0266485	0.202003	0.338975	0.223992	0.0282441	0.00479647	0.061245
o	0.0983286	0.0328368	0.343291	0.229019	0.0768325	0.105537	0.090147	0.0240082
p	0.00267851	0.0211511	0.0736748	0.0425746	0.00853319	0.0430635	0.756811	0.0515128
έ	3.33978e-05	0.00259729	0.0595963	0.00987434	0.00153266	0.00937499	0.83641	0.0805812
n	0.0728081	0.0126072	0.194816	0.299534	0.0395575	0.126083	0.182504	0.0720908
g	0.0712179	0.00145305	0.0728758	0.159401	0.0326602	0.559981	0.0760171	0.0263939
á	0.0934809	0.00226066	0.0643414	0.30951	0.130996	0.267108	0.0918534	0.0404494
k	0.00135832	0.000490227	0.0222086	0.111277	0.039698	0.118917	0.43332	0.272731
y	0.000946058	0.000459572	0.00763659	0.00994327	0.00810276	0.0292895	0.886485	0.0571374
έ	0.000417564	0.000380365	0.0034625	0.00541365	0.00511217	0.0161454	0.866034	0.103034
r	8.18931e-05	0.000580811	0.00876007	0.00976528	0.00182109	0.0782906	0.731873	0.168827
ε	0.0014124	0.00289959	0.0362558	0.0327945	0.0257221	0.233557	0.420191	0.247167
</S>	0.000978671	0.000634922	0.0143334	0.0282843	0.00197944	0.0925794	0.0817602	0.77945
