 	mon	père	a	coupé	beaucoup	de	poteaux	en	bois	pour	construire	une	nouvelle	maison	</S>
t	0.353855	0.572365	0.00796882	0.00188894	0.0115391	0.0118774	0.0085571	0.00830075	0.015171	0.00559498	0.00154818	0.000849811	0.00041516	5.60912e-05	1.30683e-05
á	0.00648792	0.978335	0.00203633	0.000854443	0.00169976	0.00113241	0.00079319	0.00241227	0.00324523	0.00148918	0.000671532	0.000353398	0.000386153	1.75373e-05	8.52698e-05
á	0.0133293	0.797277	0.0305873	0.00904704	0.00568034	0.00742528	0.00779095	0.044268	0.0136949	0.0282363	0.00717248	0.00526488	0.0152896	0.00451192	0.0104249
y	0.762098	0.0395878	0.1206	0.00301919	0.0107724	0.0124955	0.00783861	0.00782199	0.00301576	0.00701763	0.00134423	0.00409266	0.00364932	0.00109526	0.0155516
a	0.474789	0.139643	0.14267	0.011482	0.0233699	0.0122344	0.0329431	0.0112309	0.00592096	0.0141153	0.0141593	0.0173724	0.0230609	0.0169837	0.0600253
n	0.94866	0.0215196	0.00705312	0.00132005	0.00160127	0.00166908	0.00234598	0.000544799	0.000641682	0.000936504	0.00156075	0.00122361	0.0024249	0.00320255	0.00529559
g	0.969676	0.00328092	0.0044169	0.00248212	0.00277044	0.002024	0.00191764	0.000582581	0.000834298	0.00110556	0.00123406	0.00138692	0.000825607	0.0061266	0.00133662
á	0.43671	0.181988	0.0478373	0.0798642	0.0105705	0.00422302	0.00318814	0.00235817	0.00730924	0.0078482	0.0342134	0.0151741	0.00794588	0.135985	0.0247856
á	0.0848115	0.028503	0.700835	0.0327369	0.0500389	0.0279045	0.00430384	0.0140582	0.0101782	0.014061	0.00392817	0.00991583	0.00925961	0.000627996	0.00883718
m	0.00218944	0.0016585	0.321764	0.548056	0.034123	0.00881695	0.0100403	0.0221529	0.0169482	0.0108003	0.00814342	0.00643741	0.00191048	0.000834027	0.00612462
i	0.00160527	0.000257886	0.332341	0.441186	0.0668402	0.0366732	0.0193829	0.0429397	0.0200976	0.0190193	0.00322895	0.00556869	0.00378263	7.71672e-05	0.00699977
