 	une	bande	de	buffles	se	dirigea	vers	les	chasseurs	</S>
e	0.553966	0.329586	0.0516912	0.0418728	0.013646	0.00254822	0.00405564	0.00234741	0.000230929	5.5103e-05
k	0.101594	0.684629	0.0187785	0.186563	0.00285108	0.00222998	0.000501518	0.00151646	0.000774445	0.000561836
u	0.0585688	0.810518	0.0259201	0.0591804	0.014451	0.0140177	0.00294744	0.00300337	0.00650479	0.00488843
n	0.030763	0.637225	0.0730322	0.167453	0.0361053	0.0215365	0.00454519	0.0114402	0.00546468	0.0124351
g	0.134612	0.153699	0.263452	0.105202	0.170094	0.0177916	0.0185098	0.0432778	0.0140053	0.0793568
a	0.574302	0.141819	0.129552	0.0245556	0.070704	0.00592476	0.00386269	0.00440206	0.00716336	0.0377138
y	0.0866442	0.0377997	0.666282	0.0130531	0.074535	0.0604319	0.00775942	0.00927088	0.00190503	0.042319
á	0.425408	0.102942	0.24961	0.0775436	0.0345444	0.0276012	0.0316566	0.0226257	0.000813319	0.0272552
a	0.133074	0.0470935	0.295747	0.402446	0.0474136	0.0172254	0.0378517	0.0128089	0.000763865	0.00557609
n	0.0278611	0.0485147	0.0607083	0.728561	0.0851181	0.0252209	0.00346049	0.00414536	0.0063501	0.0100595
d	0.0233419	0.0579203	0.070552	0.732144	0.0463655	0.00713546	0.0199972	0.0138445	0.00316256	0.0255362
z	0.0012969	0.0046387	0.0160855	0.952167	0.0163417	0.00186887	0.00143654	0.00112961	0.000341025	0.00469414
á	0.00173648	0.00625524	0.0127579	0.925223	0.0303911	0.00280891	0.00501679	0.00272418	0.000438905	0.0126477
a	0.0142792	0.0473189	0.102286	0.26679	0.26508	0.0351493	0.00614298	0.0104346	0.0085083	0.244011
é	0.0113428	0.00379128	0.279646	0.0450702	0.430591	0.155265	0.0279305	0.0135993	0.00394218	0.0288216
b	0.0144596	0.00853767	0.0344352	0.0376538	0.146751	0.641598	0.0349609	0.0579469	0.00570799	0.017949
h	0.00290373	0.0058184	0.0241154	0.0382514	0.108114	0.54536	0.0369592	0.117407	0.0811147	0.0399562
i	0.00530572	0.00672101	0.0794536	0.0345817	0.189458	0.434434	0.0389423	0.0643764	0.0935011	0.0532259
y	0.00192696	0.00276986	0.024787	0.0242851	0.110886	0.474759	0.125649	0.0833621	0.0722925	0.0792828
é	0.0175787	0.00777536	0.0337584	0.0227817	0.105983	0.480447	0.163316	0.101542	0.00717793	0.0596397
e	0.00250402	0.0017921	0.0125195	0.00995505	0.0487097	0.188272	0.457334	0.214967	0.0416103	0.022336
y	0.00329198	0.00905711	0.00638191	0.0111256	0.0267288	0.195967	0.113785	0.194927	0.259558	0.179178
a	0.00308785	0.00587593	0.00710025	0.0078571	0.0193862	0.190735	0.130216	0.286121	0.0925428	0.257077
á	0.00147918	0.00176068	0.00332189	0.00596002	0.0193817	0.0960667	0.224775	0.213232	0.0301293	0.403894
m	0.000509072	0.000603617	0.00434823	0.00062005	0.00573725	0.0419091	0.359336	0.339765	0.106323	0.140849
á	0.00309542	0.00518084	0.00900605	0.00656624	0.0278431	0.0258227	0.52436	0.140098	0.0743645	0.183663
l	0.00424538	0.00166119	0.013011	0.00522254	0.0149351	0.0450223	0.288018	0.209796	0.272611	0.145478
á	0.00268863	0.00310045	0.00584774	0.00155864	0.00881133	0.0240987	0.14547	0.226117	0.174033	0.408275
a	0.00178112	0.000418003	0.00537753	0.00102652	0.00787643	0.0413896	0.18203	0.204365	0.102815	0.452922
b	0.00281853	0.00436107	0.0063252	0.00089443	0.00712219	0.0332576	0.0203738	0.160725	0.230696	0.533426
e	0.00228851	0.0061508	0.0242096	0.00594345	0.0339752	0.0422505	0.0334808	0.0995046	0.710218	0.0419789
n	0.000143401	0.001925	0.00116187	0.000646331	0.00361307	0.0105282	0.0173665	0.0467875	0.40168	0.516148
g	0.00453266	0.00424136	0.00294485	0.00300154	0.00654455	0.0115671	0.032227	0.0950931	0.128155	0.711692
i	0.00775109	0.00960919	0.026842	0.00319337	0.023053	0.0301316	0.102355	0.12707	0.30185	0.368145
</S>	0.00506795	0.00272357	0.00986238	0.00052754	0.0135414	0.0254884	0.0389823	0.129946	0.0298382	0.744022
