 	l'	homme	qui	s'	adresse	à	ce	mort	est	son	père	</S>
m	0.624381	0.292755	0.0361639	0.0119189	0.0030981	0.00533983	0.00771011	0.00364571	0.00231221	0.0124168	0.000105779	0.00015303
o	0.120651	0.734132	0.0693358	0.0158804	0.00578674	0.00520744	0.00806057	0.0083202	0.00911206	0.00608134	1.46135e-05	0.0174183
r	0.409698	0.529436	0.0170035	0.00786062	0.00706763	0.00419334	0.00388442	0.00428414	0.00452743	0.000384823	2.82603e-05	0.0116318
o	0.605324	0.288587	0.0483295	0.0070822	0.00539962	0.00749034	0.0151617	0.00977119	0.00319159	0.00497951	0.00187983	0.00280346
y	0.544294	0.0478968	0.27528	0.0894803	0.010068	0.00488866	0.00359614	0.00348275	0.00484677	0.00340219	0.000108158	0.0126557
e	0.570712	0.0339788	0.196996	0.0421521	0.0331669	0.0300486	0.0373715	0.0252459	0.00890953	0.00960347	0.00440277	0.0074122
é	0.202944	0.00469866	0.315538	0.181904	0.0880555	0.0348125	0.0267705	0.013848	0.00840228	0.0635669	0.0308766	0.0285833
y	0.0111558	0.00595951	0.091347	0.373443	0.362553	0.055304	0.0143023	0.0173804	0.0310877	0.00490347	0.000800253	0.0317631
ε	0.0431585	0.0066555	0.181961	0.168722	0.352067	0.064814	0.0285332	0.0134865	0.0260977	0.0251902	0.0024462	0.0868688
l	0.00893867	0.00326158	0.0878979	0.0940819	0.076761	0.0607453	0.0553754	0.0378685	0.0576049	0.0936949	0.000826391	0.422944
έ	0.0172187	0.00412965	0.0627679	0.149264	0.121937	0.0971874	0.0865886	0.0487536	0.0308202	0.345939	0.00134661	0.0340472
e	0.0165749	0.00163824	0.13616	0.256878	0.157307	0.149343	0.0661699	0.0314351	0.0219022	0.10665	0.00421505	0.0517272
b	0.00152973	0.00221239	0.0179269	0.0994568	0.270429	0.273926	0.140393	0.0934758	0.0556587	0.0143612	0.00407775	0.0265529
e	0.00275292	0.0167398	0.0192984	0.119372	0.185397	0.172359	0.243111	0.165586	0.061334	0.00308119	0.000415974	0.0105518
m	0.00104973	0.00174636	0.0189707	0.106983	0.230998	0.219725	0.154524	0.1125	0.074078	0.0088906	0.000121335	0.0704135
b	0.00912708	0.00276989	0.0102456	0.0355348	0.150306	0.212043	0.327406	0.206376	0.0252594	0.0119343	0.000165822	0.00883147
e	0.0136229	0.00563081	0.0360197	0.121395	0.149429	0.127682	0.203674	0.206919	0.0644256	0.0170448	7.82405e-05	0.0540799
w	0.00383202	0.000624677	0.018984	0.0497328	0.0370098	0.198072	0.227343	0.246865	0.13747	0.0414823	0.00388436	0.0346999
ó	0.0061435	0.000770187	0.0312809	0.0559171	0.123891	0.272426	0.2187	0.152201	0.0375341	0.0488727	0.0171447	0.0351191
a	0.00360036	0.000158363	0.00474253	0.0131766	0.0119375	0.092973	0.114265	0.177257	0.252822	0.0984217	0.0747276	0.155918
d	0.00274492	0.0010846	0.0131075	0.0370856	0.0181917	0.0505255	0.0725231	0.167967	0.481045	0.0783885	0.00886241	0.0684735
i	0.00179546	0.000232156	0.00512891	0.00751873	0.00503504	0.0162544	0.0353795	0.0667186	0.407875	0.198951	0.00141135	0.2537
t	0.00271802	7.38631e-05	0.0033224	0.00846872	0.00558798	0.0519567	0.0875486	0.103509	0.346357	0.276087	0.000841375	0.11353
á	0.000561549	0.000354689	0.0029443	0.00512298	0.0151788	0.055509	0.130378	0.115237	0.128083	0.210691	0.212438	0.123501
á	0.000185846	2.75536e-05	0.000331091	0.00069364	0.00220192	0.00744077	0.0174483	0.0208616	0.0365815	0.140216	0.712719	0.0612925
y	0.00198173	0.000220281	0.00326141	0.0107096	0.0111138	0.0194662	0.036558	0.0501917	0.0973402	0.554882	0.0678041	0.146471
a	0.00124876	9.62601e-05	0.00531788	0.00753992	0.00954385	0.0332391	0.0720551	0.0810743	0.205605	0.342627	0.0338969	0.207756
y	0.00153511	5.83545e-05	0.00213859	0.00189783	0.000991334	0.00746253	0.0309092	0.0242454	0.0407203	0.600894	0.210308	0.0788392
í	0.00137408	6.92263e-05	0.00295023	0.00272966	0.00851843	0.0185792	0.065054	0.0841902	0.175511	0.248318	0.114879	0.277827
a	0.00218659	5.18732e-05	0.00193047	0.00182829	0.00115276	0.00893464	0.0447218	0.0473876	0.0687715	0.334923	0.315574	0.172537
</S>	0.000473502	0.000123422	0.00237867	0.00802092	0.00377061	0.0116665	0.0138211	0.0304447	0.245007	0.115647	0.0145348	0.554112
