 	depuis	qu'	il	est	parti	pour	l'	école	il	n'	est	pas	encore	rentré	</S>
m	0.328695	0.387398	0.083793	0.0241093	0.00298278	0.0142626	0.0246844	0.035516	0.0446289	0.0147132	0.00996241	0.0240894	0.00246814	0.00240227	0.000294882
b	0.0248063	0.201106	0.244602	0.0945888	0.0547979	0.0870609	0.0658652	0.0138437	0.0234898	0.0289178	0.0255984	0.0179845	0.0366968	0.00832208	0.0723203
ε	0.252407	0.299025	0.143176	0.0622324	0.0632767	0.0401367	0.0509213	0.0398365	0.0123266	0.0150668	0.00533752	0.00274702	0.00057324	0.00472038	0.00821594
ε	0.321624	0.341842	0.0851718	0.0231664	0.0212191	0.0553938	0.0485414	0.0361693	0.0110512	0.0112056	0.00538194	0.00336505	0.000464003	0.0178702	0.0175344
y	0.0771548	0.366295	0.220361	0.137186	0.0241396	0.0278116	0.0128818	0.0112276	0.00977803	0.0113891	0.0181394	0.015298	0.00652584	0.00840489	0.0534064
é	0.11548	0.325555	0.243858	0.104725	0.0247669	0.00971048	0.0181396	0.0191713	0.0239393	0.0254671	0.0238372	0.019825	0.0102625	0.00103617	0.0342255
é	0.083232	0.197944	0.330516	0.105541	0.0290745	0.0134215	0.0264709	0.0354315	0.03901	0.0243075	0.0211563	0.0185741	0.0138149	0.00639492	0.0551108
d	0.00381913	0.0406249	0.113161	0.384144	0.283609	0.0209309	0.00509119	0.0146165	0.00432788	0.0144833	0.0184747	0.0107323	0.0465627	0.00905543	0.0303669
z	0.000347313	0.00363158	0.0124039	0.20334	0.499172	0.0415748	0.0173498	0.0224135	0.0014806	0.0189248	0.0203475	0.00935953	0.0395997	0.00448988	0.105565
w	0.00446385	0.0161289	0.0432271	0.168957	0.673896	0.0344876	0.0133518	0.00993177	0.00196427	0.00849759	0.00568702	0.00180203	0.00254881	0.000428972	0.0146275
e	0.00286981	0.0162803	0.0489091	0.104293	0.261162	0.127463	0.0646187	0.0140534	0.0188897	0.0588147	0.0533728	0.0339946	0.02631	0.00645652	0.162512
w	0.00252224	0.0228756	0.156063	0.170579	0.089683	0.189072	0.144914	0.0848397	0.0373643	0.0190939	0.0142656	0.0153268	0.00781289	0.00791574	0.0376715
á	0.0220343	0.0609606	0.216433	0.0392818	0.012463	0.0464433	0.133823	0.102591	0.230522	0.0488358	0.0169633	0.0360535	0.00404929	0.00560021	0.023946
l	0.00260341	0.012932	0.0774123	0.0854692	0.04361	0.242466	0.163485	0.175133	0.0643878	0.0299104	0.0217	0.0273146	0.0058116	0.00931688	0.038448
e	0.0042226	0.0114695	0.0298386	0.062523	0.0643501	0.141296	0.11114	0.100979	0.0655638	0.0402592	0.036399	0.0322377	0.0146794	0.0310989	0.253943
k	0.00170643	0.00263067	0.00978716	0.0298745	0.0390572	0.197263	0.162827	0.323925	0.0515512	0.0481955	0.0367832	0.026399	0.0085075	0.0174984	0.0439944
ώ	0.000783383	0.00100782	0.00215051	0.0146356	0.0258193	0.0634967	0.0413067	0.694937	0.0395105	0.0322908	0.0166495	0.0215554	0.00337782	0.0294029	0.013076
ώ	0.000328933	0.000586655	0.00136876	0.00356657	0.00882655	0.0485309	0.0396449	0.60486	0.0419839	0.0127087	0.00860599	0.0144173	0.00119879	0.14049	0.0728821
l	0.00201136	0.00462562	0.0101287	0.00764478	0.00300291	0.0556217	0.114917	0.073117	0.437457	0.0972109	0.0556838	0.0906894	0.0108023	0.0141661	0.0229216
i	0.0122706	0.0180128	0.0277326	0.0323301	0.015891	0.105824	0.108918	0.0595408	0.1331	0.0745535	0.0708781	0.0911159	0.0509541	0.0413179	0.15756
y	0.00225286	0.00414093	0.0107044	0.00948637	0.00334361	0.0356122	0.0758943	0.0396486	0.214455	0.140468	0.13087	0.179658	0.0797688	0.0285632	0.0451342
é	0.0159827	0.0325133	0.0496681	0.0593083	0.0442297	0.0554078	0.107861	0.0512551	0.101632	0.212542	0.113396	0.0566989	0.0587723	0.00625124	0.0344811
w	0.00228209	0.00465056	0.0169412	0.0105954	0.00379586	0.0169811	0.0589716	0.0218502	0.287642	0.202459	0.15624	0.103962	0.05993	0.00986423	0.0438354
a	0.00199879	0.0042704	0.012169	0.0172017	0.013096	0.0496899	0.0715879	0.0581348	0.147119	0.195495	0.128263	0.130646	0.0491795	0.0567655	0.0643829
a	0.000221821	0.000474593	0.00161383	0.00152416	0.000663211	0.00510488	0.0117815	0.0131044	0.136286	0.149578	0.154699	0.316384	0.0605436	0.0670931	0.0809275
s	0.00113581	0.00684563	0.0158629	0.0463278	0.0129819	0.0295349	0.00930311	0.00691068	0.0137122	0.0539384	0.105337	0.103995	0.399162	0.112308	0.0826445
á	9.70842e-05	0.00034787	0.000957468	0.00430548	0.00179923	0.00204532	0.00140854	0.000507924	0.00134951	0.0188469	0.0380757	0.0309225	0.751876	0.0325558	0.114905
