 	le	vin	qu'	il	m'	a	offert	est	trop	faible	</S>
a	0.543117	0.252197	0.118923	0.0172911	0.00509993	0.0122656	0.0389565	0.00556868	0.00584995	0.000577244	0.000154563
l	0.0120286	0.964456	0.00341515	0.000599553	0.00190584	0.00430784	0.0023713	0.00278472	0.00214646	0.00557413	0.000410337
ω	0.00215607	0.959281	0.00381972	0.00243317	0.00264341	0.00758636	0.00495513	0.0118698	0.00218059	0.00051582	0.00255912
i	0.0239924	0.73809	0.0418809	0.0115101	0.0367027	0.0434217	0.0114223	0.0339778	0.0096594	0.00808517	0.0412572
m	0.0494338	0.0151764	0.527658	0.18259	0.0382261	0.0434912	0.0167232	0.0357763	0.0233223	0.00116962	0.0664324
á	0.303799	0.00245426	0.377806	0.10264	0.00929488	0.0685009	0.00952034	0.019818	0.00497493	0.00668974	0.0945016
á	0.118339	0.00081615	0.264869	0.329345	0.166819	0.0611453	0.0228589	0.00889909	0.00880068	0.00296902	0.0151403
p	0.00884085	0.00492854	0.0204893	0.138642	0.250869	0.247567	0.119197	0.111457	0.0399552	0.00472383	0.05333
έ	0.00543498	0.00226461	0.0631436	0.235381	0.0718936	0.206788	0.165417	0.111694	0.0622786	0.0104176	0.0652857
w	0.0196665	0.00566412	0.217368	0.248284	0.122761	0.0880711	0.0471941	0.0537167	0.0542912	0.0164768	0.126507
a	0.025184	0.00244884	0.184345	0.24054	0.0557748	0.0849299	0.114287	0.0722413	0.103478	0.0416885	0.0750833
n	0.0115836	8.5069e-05	0.109254	0.289906	0.3141	0.122603	0.0388108	0.0618653	0.0213124	0.00149311	0.0289864
g	0.0629306	0.00107986	0.0160567	0.0855988	0.655388	0.0544165	0.0396665	0.0253027	0.0201381	0.0074584	0.0319638
á	0.00683904	0.000597838	0.0166555	0.0723696	0.830162	0.0299296	0.00496693	0.00947351	0.00602958	0.00310108	0.0198756
á	0.01109	0.000206602	0.0599563	0.158923	0.0942137	0.243143	0.120704	0.176416	0.0927906	0.0112891	0.0312678
d	0.00277312	0.000712286	0.00279071	0.0117435	0.0609371	0.148392	0.0805692	0.513017	0.165647	0.00483837	0.00857929
i	0.00195191	4.92449e-05	0.00147106	0.00978645	0.0403369	0.0820124	0.0200555	0.593853	0.0820113	0.00392474	0.164547
m	0.00201662	1.30556e-05	0.0022341	0.00863833	0.0188136	0.0441228	0.036215	0.5408	0.240283	0.0134625	0.0934015
a	0.00966733	0.00021419	0.00369672	0.0165759	0.0273057	0.0650666	0.00518138	0.233294	0.245016	0.114695	0.279287
á	0.00377293	7.32827e-05	0.00689782	0.0110083	0.030204	0.0529065	0.0176759	0.19801	0.386425	0.164844	0.128182
m	0.00619365	0.000402668	0.0150145	0.0177004	0.0384726	0.0409569	0.0118969	0.216064	0.291473	0.0742839	0.287542
a	0.00280607	0.000324865	0.00393687	0.00327692	0.00333561	0.0121998	0.0013534	0.109539	0.180974	0.302925	0.379329
á	0.000592338	0.00013725	0.00152322	0.00143463	0.00351789	0.0127107	0.00434813	0.142127	0.216503	0.427657	0.189448
</S>	0.00592021	0.000272542	0.0112354	0.0141589	0.0459822	0.0463148	0.0134418	0.147384	0.196815	0.113426	0.405049
