 	le	quartier	qu'	ils	habitent	est	sablonneux	</S>
e	0.687323	0.257101	0.021273	0.0248568	0.00505168	0.00311711	0.00107758	0.000200117
k	0.198034	0.331635	0.0214399	0.0228583	0.272935	0.046042	0.10589	0.00116669
y	0.298394	0.308602	0.118229	0.0586148	0.0915779	0.0288833	0.0738765	0.0218227
é	0.114027	0.743529	0.0953256	0.0153392	0.0178437	0.00364919	0.00428956	0.00599672
n	0.269498	0.497093	0.0356879	0.0131114	0.0189444	0.0137712	0.0276032	0.124291
á	0.249555	0.491209	0.0470522	0.0325631	0.0304962	0.00918021	0.00496576	0.134978
á	0.240138	0.299146	0.240773	0.114664	0.022438	0.017068	0.00560566	0.0601668
y	0.0847343	0.275277	0.428815	0.126322	0.0612693	0.0152728	0.00150489	0.00680455
é	0.0510365	0.550188	0.21664	0.010186	0.127322	0.00627216	0.00149213	0.0368634
é	0.059059	0.16289	0.439894	0.0524421	0.19632	0.0104118	0.00508923	0.0738946
d	0.0110187	0.0611337	0.31678	0.140583	0.338888	0.11038	0.00441844	0.0167979
z	0.00280455	0.0181815	0.0364698	0.0310794	0.848878	0.0255606	0.0030605	0.0339656
e	0.00403237	0.0135587	0.0244056	0.00329833	0.940159	0.00229793	0.00551071	0.00673774
e	0.0128339	0.0536832	0.168466	0.130852	0.439717	0.0601852	0.0345735	0.099689
m	0.00607509	0.0320897	0.213721	0.394262	0.116868	0.151849	0.0137549	0.0713806
á	0.00535161	0.0014012	0.020884	0.215776	0.288325	0.141018	0.090082	0.237162
b	0.0108832	0.00801752	0.104852	0.369907	0.108969	0.130996	0.0623838	0.203992
á	0.00389871	0.00174686	0.0322862	0.889121	0.0132694	0.0288514	0.0170894	0.0137373
a	0.00609395	0.00306872	0.155774	0.768399	0.017249	0.0113371	0.00457862	0.0334994
é	0.00251849	0.00436806	0.0461437	0.134	0.0203592	0.605861	0.0246861	0.162064
d	0.0174432	0.0109121	0.032762	0.0328805	0.015504	0.702266	0.125425	0.0628067
i	0.00497284	0.0065194	0.00710033	0.00804183	0.0540389	0.52078	0.0708515	0.327695
d	0.00300373	0.0028901	0.00806545	0.0206354	0.0171522	0.486622	0.235576	0.226054
z	0.0031504	0.0128622	0.00529563	0.00414256	0.0713576	0.180384	0.192855	0.529952
é	0.00157719	0.00476272	0.00352809	0.0015641	0.0793603	0.0415646	0.627285	0.240357
l	0.000427224	0.000856882	0.00525791	0.00931048	0.0223124	0.0663506	0.479335	0.41615
ω	0.00269644	0.0152221	0.0195831	0.033608	0.00848684	0.164972	0.199243	0.556189
l	0.000194835	0.000613395	0.00139109	0.00230188	0.000734571	0.0844702	0.17997	0.730324
a	0.00298225	0.00762571	0.0142823	0.0169122	0.0177599	0.101843	0.392105	0.44649
d	0.00273785	0.00433745	0.0133659	0.00577975	0.00207676	0.0662354	0.320395	0.585072
z	0.00402914	0.00597667	0.00364774	0.00227948	0.0232861	0.0248971	0.364287	0.571597
é	0.000785813	0.000611168	0.000896454	0.000166301	0.00243368	0.00499121	0.929346	0.060769
l	0.000361592	0.000661458	0.00309365	0.00295599	0.0033423	0.0361741	0.519821	0.43359
ω	0.00159273	0.00533319	0.00612142	0.00582506	0.0128747	0.0336317	0.278334	0.656287
</S>	0.00180867	0.00421978	0.0168313	0.00995914	0.0016358	0.0586374	0.0478751	0.859033
