 	donne-moi	une	aiguille	pour	coudre	mon	pagne	</S>
p	0.764779	0.196383	0.0166186	0.0142092	0.0023453	0.00308943	0.00247091	0.000104614
έ	0.829381	0.0892841	0.0563239	0.00236241	0.00546925	0.00112758	0.0150688	0.000983518
n	0.456503	0.426936	0.0649223	0.0193871	0.00155186	0.00903764	0.00630433	0.0153582
g	0.655724	0.283074	0.0372907	0.0057941	0.000418426	0.0128113	0.00227838	0.00260908
á	0.429716	0.354972	0.0702474	0.00710014	0.000282098	0.0602113	0.00764159	0.0698292
t	0.0366794	0.61253	0.167055	0.115228	0.0135109	0.0391898	0.00308974	0.0127162
o	0.0546636	0.161953	0.6312	0.0322034	0.0165084	0.00340059	0.0332114	0.0668603
n	0.0444709	0.0404422	0.790588	0.0283977	0.0315406	0.00110679	0.0239871	0.0394669
g	0.150277	0.115387	0.641913	0.0522386	0.0137957	0.00409222	0.00455561	0.0177415
a	0.0955542	0.209492	0.605259	0.0323611	0.00203921	0.0166872	0.00149932	0.0371085
l	0.0127767	0.0474597	0.0913808	0.76597	0.0232334	0.0252302	0.000580089	0.0333687
í	0.0165	0.0240966	0.0546992	0.366164	0.0335545	0.13167	0.00269758	0.370618
i	0.00295979	0.019577	0.0602801	0.620312	0.0874537	0.122069	0.00568524	0.0816637
b	0.00461274	0.00298784	0.0312832	0.0831156	0.777413	0.00761828	0.0395043	0.0534655
a	0.00111466	0.000751381	0.00516152	0.0407523	0.928852	0.00460134	0.00951551	0.00925136
m	0.00145121	0.00102871	0.0277191	0.0549647	0.796342	0.00300567	0.0148679	0.100621
b	0.00375082	0.0162669	0.0170588	0.591261	0.222538	0.1003	0.0100952	0.0387288
á	0.0113805	0.0103255	0.0231959	0.108681	0.294694	0.0539082	0.0755507	0.422264
i	0.00207472	0.00923552	0.00309888	0.203493	0.0713841	0.572538	0.052546	0.0856306
p	0.00298845	0.00255655	0.00624705	0.025447	0.139626	0.0936705	0.42331	0.306154
ú	0.000300836	0.000331585	0.00337503	0.00359566	0.0397337	0.00197914	0.886737	0.0639468
t	0.000863264	0.00057984	0.00265745	0.00173512	0.0139934	0.00110883	0.954948	0.0241144
a	0.000794782	0.00235342	0.00188374	0.00472158	0.00400549	0.00661888	0.960904	0.018718
</S>	0.000374549	0.00153036	0.000911871	0.0210679	0.00582265	0.38119	0.0703907	0.518712
