 	la	femme	qui	a	transporté	le	pannier	de	manioc	a	mis	la	gouttière	</S>
o	0.877798	0.0315879	0.0279342	0.00953585	0.0105777	0.0132711	0.0207323	0.00480349	0.00146028	0.00107787	0.00064655	0.000315079	0.00023779	2.19804e-05
y	0.249615	0.639687	0.0474051	0.012237	0.0308153	0.00215757	0.00307524	0.0011669	0.000598967	0.000738488	0.00148865	0.00138668	0.00748564	0.00214242
ú	0.879321	0.0802912	0.0256453	0.00461469	0.00226188	0.00377783	0.000283051	0.000666611	0.000595214	0.000568205	0.000291309	0.000432231	0.000668897	0.000583164
r	0.763688	0.0819671	0.0598724	0.00815438	0.0107017	0.0154729	0.00191228	0.00452858	0.000907229	0.00277236	0.00426041	0.0112421	0.0202003	0.0143205
u	0.744217	0.134452	0.0610065	0.00870165	0.00597301	0.0134987	0.0109657	0.0051769	0.000784728	0.00205969	0.00376667	0.00203482	0.00222938	0.00513322
y	0.0809468	0.0483677	0.490067	0.299167	0.0305394	0.0105378	0.00448919	0.00676082	0.00330127	0.00643712	0.00545518	0.00413358	0.000551258	0.0092455
e	0.293629	0.1498	0.278901	0.205217	0.0197892	0.0144679	0.00283721	0.00808414	0.000982345	0.0075234	0.00293981	0.00304899	0.000566298	0.0122138
e	0.498811	0.00680111	0.262182	0.163718	0.0203131	0.012823	0.00337719	0.0086959	0.00078618	0.00499047	0.00238605	0.00330586	0.000964353	0.0108453
b	0.0143917	0.00732092	0.023023	0.307197	0.3635	0.109789	0.0393677	0.0187441	0.0166687	0.00835544	0.037514	0.021739	0.0144406	0.0179481
é	0.00194785	0.000869073	0.00591134	0.0812837	0.732573	0.0639398	0.0645198	0.0105381	0.011743	0.00210322	0.0145969	0.00234458	0.000370717	0.00725886
r	0.00982299	0.000538019	0.0589925	0.311861	0.449004	0.0726058	0.0223185	0.00985712	0.00283194	0.00403222	0.0220548	0.0106178	0.00156014	0.0239029
í	0.135239	0.000919289	0.129909	0.230861	0.0654908	0.180006	0.0428703	0.0631788	0.00691854	0.017642	0.0341356	0.016283	0.00689749	0.0696491
m	0.0135151	0.00214051	0.123564	0.51467	0.110431	0.130291	0.0302982	0.0330313	0.0167739	0.00957934	0.00492619	0.00451048	0.00126964	0.004999
ú	0.0706221	0.0508974	0.0954204	0.0996218	0.0390493	0.312209	0.127519	0.168304	0.002221	0.00830002	0.00387551	0.00181385	7.38096e-05	0.0200735
a	0.00161549	0.00141003	0.0217186	0.0284219	0.0276589	0.492168	0.183437	0.179246	0.024517	0.00968902	0.0105657	0.00405926	0.000590599	0.0149024
m	0.00145183	0.000148151	0.00646063	0.0124666	0.0291432	0.279713	0.222546	0.183968	0.183746	0.0396828	0.0155479	0.0114776	0.00571951	0.00792886
í	0.0111703	0.0115607	0.0481161	0.0245818	0.012219	0.201072	0.104837	0.290163	0.0205484	0.0666938	0.0429192	0.0365577	0.00227954	0.127281
k	0.0033917	0.000792403	0.00748438	0.00888546	0.0225037	0.185138	0.206218	0.113182	0.322176	0.0676869	0.0318301	0.0134793	0.00825733	0.00897548
ώ	0.000171393	2.25597e-05	0.00153291	0.00149936	0.00739902	0.0715458	0.116205	0.0224926	0.630682	0.0334134	0.0637142	0.0115278	0.0220687	0.0177255
ώ	6.27913e-05	7.33212e-06	0.00141258	0.00144041	0.00701334	0.0422374	0.140074	0.033425	0.544891	0.0559742	0.0637049	0.0293211	0.060128	0.0203082
á	0.00585022	6.11011e-05	0.00752916	0.00821269	0.00378548	0.0275295	0.0352885	0.10524	0.0448862	0.436605	0.160775	0.108319	0.0195495	0.0363682
k	0.0021632	0.000189327	0.00198185	0.0106126	0.0226662	0.0149128	0.00672297	0.00881664	0.00824013	0.0963483	0.23349	0.402485	0.157252	0.0341193
a	3.43527e-05	7.99639e-06	0.000249274	0.00096805	0.0054294	0.0064915	0.00980938	0.00687799	0.0960305	0.062563	0.367743	0.177736	0.203647	0.0624139
n	0.000100699	8.03921e-06	0.000622412	0.00127094	0.00675343	0.00610779	0.0130412	0.0113358	0.0730651	0.0940116	0.296024	0.196851	0.260549	0.0402588
i	0.00130634	2.86496e-05	0.00184777	0.00322064	0.00909511	0.0163092	0.0332522	0.0261086	0.0315697	0.143858	0.325773	0.162678	0.12481	0.120144
l	0.00454186	6.88934e-05	0.00356957	0.00329995	0.000778285	0.0103585	0.00961705	0.0361976	0.00998012	0.174546	0.141005	0.272588	0.13934	0.194108
ó	0.0027547	0.000170725	0.0012252	0.00360405	0.00632672	0.0226813	0.015252	0.0184437	0.0103897	0.0409248	0.114095	0.174006	0.320801	0.269326
r	0.00151167	0.000106914	0.00091867	0.000804339	0.000914425	0.00683451	0.00435512	0.00913337	0.00487506	0.0186899	0.0380023	0.101003	0.577073	0.235778
o	0.00138133	0.000317116	0.000731179	0.000655677	0.00242001	0.0109424	0.00269938	0.00283295	0.000989371	0.00628231	0.0433906	0.136564	0.508507	0.282287
</S>	0.000774504	0.000153723	0.000699959	0.00032446	0.000460244	0.0056214	0.000936792	0.0027937	0.00176677	0.00711262	0.0339107	0.101685	0.378665	0.465095
