 	notre	père	est	souffrant	dans	la	maison	</S>
t	0.495646	0.497551	0.0037428	0.000374236	0.00144952	0.0011044	8.43775e-05	4.79681e-05
á	0.146258	0.837698	0.00346524	0.000837144	0.00358266	0.00481964	0.000788029	0.00255201
á	0.156438	0.663494	0.0669752	0.0178596	0.0114628	0.0083885	0.00709544	0.0682865
y	0.322438	0.48262	0.134816	0.00190104	0.00757494	0.00834056	0.00137036	0.0409384
a	0.293298	0.326647	0.163715	0.0066189	0.027931	0.048122	0.0377169	0.0959512
b	0.797001	0.0809798	0.0328488	0.00544251	0.00440102	0.0108169	0.0093709	0.0591388
í	0.976591	0.00386125	0.0142415	0.00147692	0.00230804	0.000809187	7.56624e-05	0.000636421
s	0.9872	0.00804623	0.00197777	0.000122679	0.00043826	0.000419248	0.000278015	0.00151731
í	0.235348	0.0163636	0.200015	0.0368927	0.185715	0.131554	0.0341133	0.159998
a	0.00569483	0.0565012	0.79947	0.0205036	0.0351705	0.014338	0.000549336	0.067773
d	0.000562055	0.00594169	0.656886	0.204574	0.0952147	0.0159982	0.00104941	0.0197741
í	0.000926488	0.00218408	0.624152	0.0550406	0.138721	0.0493876	0.00286882	0.126719
l	0.00196718	0.000945085	0.19298	0.324416	0.250247	0.123907	0.0114258	0.094112
i	0.00627968	0.0050598	0.0508988	0.475286	0.178602	0.105526	0.0305649	0.147782
k	0.00243317	0.000303604	0.0220574	0.551587	0.220369	0.0885513	0.0645886	0.0501098
ω	6.6459e-05	3.87895e-05	0.00427132	0.948432	0.0394114	0.00403102	0.000714041	0.00303482
n	0.000200485	0.000130482	0.00691252	0.941492	0.0456266	0.00305571	0.000231108	0.00235105
í	0.000209662	0.000330412	0.0152068	0.790793	0.0965412	0.0248943	0.00634026	0.0656848
s	0.0003851	0.0001586	0.0121004	0.0387765	0.435975	0.365173	0.0312539	0.116177
á	0.00407194	0.000149835	0.0108305	0.0150663	0.108648	0.333118	0.312778	0.215337
n	0.00508023	0.0003814	0.00118676	0.0015146	0.0229235	0.130893	0.825248	0.0127725
d	0.000815615	5.78859e-06	3.65688e-05	0.000133808	0.00218171	0.0185062	0.974934	0.00338573
é	3.72108e-05	2.34575e-05	1.12242e-05	0.000104867	0.000275778	0.00494852	0.989761	0.00483814
e	0.000145211	0.000132452	0.000388779	0.00538799	0.0157915	0.072327	0.626552	0.279275
</S>	0.000310174	0.000263445	0.0120086	0.00535581	0.0691462	0.142715	0.122266	0.647934
