 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
b	0.906625	0.052421	0.000539732	0.00562775	0.00667922	0.0152244	0.00438178	0.00140413	0.000684108	0.000965181	0.00488088	0.000410943	0.000156251
á	0.680564	0.268503	0.0035586	0.012519	0.00555272	0.000969973	0.00398877	0.00741163	0.00472392	0.00182144	0.00998931	5.36881e-05	0.000344053
a	0.927403	0.0597312	0.000983523	0.00173859	0.000405445	0.000174365	0.000516344	0.00643016	0.0010836	0.00071358	0.000553865	3.32484e-05	0.000233009
á	0.0465325	0.701901	0.0950975	0.0098697	0.00302245	0.000518118	0.00326061	0.00534594	0.00986649	0.0217255	0.0224164	0.00140446	0.0790391
b	0.00148452	0.652516	0.214319	0.0306626	0.00678215	0.00292813	0.00189659	0.00348284	0.0071398	0.0421376	0.0133163	0.00542331	0.0179108
h	0.00814387	0.575456	0.184721	0.120902	0.0299983	0.00726337	0.00751961	0.0191225	0.0072351	0.0124818	0.00645628	0.000702474	0.0199974
é	0.0206448	0.506901	0.234125	0.192199	0.0194737	0.00671358	0.00215298	0.0016609	0.00217608	0.00599562	0.00392533	0.000296518	0.00373565
m	0.0056002	0.0356666	0.342329	0.304723	0.10934	0.0399706	0.00730236	0.00476564	0.00170601	0.0182435	0.00909926	0.0166609	0.104593
b	0.00956542	0.0381679	0.382612	0.237295	0.174392	0.0243083	0.0379351	0.0370795	0.00518382	0.00805437	0.00669945	0.00266805	0.0360395
i	0.023753	0.0228922	0.122133	0.407603	0.219489	0.0964694	0.033565	0.0228194	0.00189398	0.00788054	0.00962122	0.000836186	0.0310434
k	0.0193443	0.0304985	0.0758934	0.2941	0.339935	0.12746	0.0360285	0.0373428	0.00673906	0.00670862	0.00596629	0.00179716	0.0181862
ó	0.000908115	0.00401507	0.00832346	0.196971	0.165072	0.572834	0.0114325	0.00504696	0.00132619	0.00728072	0.00210675	0.0123047	0.0123782
l	0.000199829	0.0092758	0.0235881	0.0957052	0.10158	0.708439	0.007901	0.00365173	0.000329751	0.00883321	0.00470909	0.0153686	0.0204188
i	0.00177253	0.00871402	0.0364041	0.119912	0.201295	0.441943	0.0443822	0.0290135	0.00385628	0.0292834	0.0151103	0.0121941	0.0561198
t	0.000639875	0.00515442	0.0208518	0.0648895	0.168432	0.210854	0.263822	0.142506	0.0382377	0.039415	0.0188488	0.00528642	0.0210619
s	0.00881823	0.00563352	0.00602306	0.0392312	0.131944	0.311291	0.149381	0.05722	0.00830436	0.0406422	0.0156492	0.0859036	0.139959
i	0.000405699	0.00108273	0.00741427	0.0471314	0.0889901	0.53999	0.0554486	0.0490739	0.0148761	0.0456932	0.0212768	0.0681431	0.0604743
i	0.00624417	0.00398898	0.0184797	0.0605559	0.117885	0.431562	0.037146	0.0533154	0.0786179	0.0603636	0.0198072	0.0297398	0.0822951
n	0.000494037	0.00306731	0.0132411	0.0145954	0.0282403	0.0216243	0.215367	0.26719	0.173374	0.13224	0.0511217	0.010957	0.0684872
a	0.0012849	0.00295345	0.0337798	0.0249061	0.0313008	0.0185272	0.0991417	0.102689	0.264252	0.1419	0.0633692	0.0178566	0.19804
á	5.44441e-05	0.000271296	0.00365411	0.00582474	0.0247803	0.0634865	0.21616	0.180362	0.0794241	0.17307	0.131293	0.0287161	0.0929039
p	5.73758e-05	0.00524136	0.0281031	0.0146164	0.0112311	0.0138083	0.0336691	0.036863	0.0937471	0.407459	0.135568	0.184027	0.0356098
f	1.26709e-05	0.000821913	0.00700138	0.0124619	0.0081914	0.0168695	0.00827827	0.0178858	0.0110569	0.369822	0.0647468	0.397885	0.0849657
é	9.6915e-05	0.000919273	0.0108397	0.0131205	0.00966866	0.00657921	0.0122563	0.0305424	0.0300865	0.321757	0.0934847	0.349881	0.120767
s	0.000181767	0.00019803	0.00260521	0.00202455	0.00269294	0.0040443	0.0127904	0.0355168	0.059168	0.149545	0.0655153	0.416614	0.249103
á	2.0473e-05	0.000116612	0.00159911	0.00354042	0.00909993	0.0158874	0.024627	0.0451944	0.0593668	0.220802	0.140131	0.327957	0.151658
a	0.000182753	0.000135974	0.0015663	0.00183343	0.00417022	0.00371153	0.0659169	0.117963	0.0475498	0.0686898	0.176916	0.206763	0.304601
t	0.00104542	0.000793929	0.00429122	0.00903425	0.00577154	0.00442069	0.0177778	0.0337651	0.117605	0.132008	0.160419	0.254564	0.258503
s	0.000387823	0.000748213	0.00149745	0.00492286	0.00845356	0.0107876	0.00926407	0.0191708	0.0234119	0.112639	0.0802228	0.633263	0.095231
á	0.000129515	6.7512e-05	0.000640517	0.00172104	0.0029118	0.0101786	0.0155785	0.0394982	0.0183087	0.0737957	0.0969111	0.657575	0.0826839
a	0.00131441	0.000294373	0.0012641	0.00280109	0.00354816	0.00421014	0.00593382	0.0242277	0.0903155	0.0787504	0.114404	0.320242	0.352695
b	8.34864e-05	0.000478269	0.00521612	0.00641567	0.00387882	0.00174053	0.00830624	0.0142131	0.0408162	0.113774	0.178568	0.13441	0.492101
v	0.000402182	0.00123555	0.0026145	0.020745	0.0255141	0.0283132	0.00590014	0.0114249	0.0195589	0.145217	0.19262	0.365554	0.180901
ú	0.00158703	0.000339298	0.00316602	0.0149089	0.0157099	0.0136723	0.0108443	0.0271065	0.0356747	0.155236	0.199447	0.401129	0.121178
s	0.00026807	2.54359e-05	0.000472479	0.00185266	0.00224195	0.000862102	0.00409048	0.0249576	0.0116747	0.0711241	0.111195	0.236238	0.534997
á	8.39535e-05	2.74397e-05	0.00145374	0.00341183	0.00604425	0.00214775	0.00966985	0.0228763	0.0208947	0.15053	0.199445	0.240046	0.34337
</S>	0.000888793	0.000221708	0.00276041	0.00517772	0.0083109	0.010073	0.0244687	0.0288287	0.0279975	0.051355	0.193579	0.126911	0.519428
