 	a	combien	est	vendu	le	paquet	de	koko	</S>
e	0.381693	0.34569	0.0775094	0.0406373	0.0827866	0.0408234	0.0229512	0.00724958	0.00065928
b	0.0809683	0.202501	0.0629219	0.364889	0.0615253	0.106339	0.0275005	0.090105	0.00325039
o	0.0156634	0.128582	0.0343167	0.658698	0.0703809	0.0513104	0.0068747	0.0215122	0.012661
l	0.00395439	0.0826026	0.0408452	0.719679	0.0428173	0.0345537	0.00521544	0.0470056	0.0233268
o	0.164825	0.19948	0.10912	0.354759	0.0478821	0.0222684	0.0183613	0.0242182	0.0590856
y	0.104964	0.0962752	0.342444	0.0883061	0.259012	0.0544186	0.0319508	0.00129324	0.021336
á	0.136621	0.0892098	0.28194	0.0762133	0.224501	0.0250897	0.0664534	0.0203135	0.079659
k	0.291413	0.0670668	0.116294	0.0590838	0.207359	0.0288444	0.0754141	0.144572	0.00995353
u	0.0210522	0.0126109	0.0135069	0.142645	0.085689	0.100556	0.0162116	0.6005	0.00722793
u	0.000509761	0.00192104	0.00328477	0.0696873	0.0492834	0.0142233	0.0162427	0.840144	0.00470407
m	0.00383886	0.00503389	0.0508614	0.0346042	0.243057	0.156329	0.354657	0.104741	0.046877
ú	0.0179943	0.00740547	0.0613842	0.0246943	0.201441	0.0983194	0.169288	0.252194	0.167279
b	0.00238093	0.00387068	0.0543446	0.0256414	0.169276	0.0950411	0.290725	0.201162	0.157558
á	0.0100385	0.00664273	0.033451	0.069599	0.265404	0.238366	0.0993143	0.137732	0.139453
a	0.00444761	0.00471108	0.0205772	0.0245651	0.128515	0.228885	0.190005	0.141865	0.256428
k	0.000932843	0.00250306	0.0240447	0.0208599	0.0495912	0.337504	0.216486	0.0314322	0.316646
i	0.00172576	0.00805045	0.0249027	0.187206	0.0953861	0.400753	0.0567946	0.152469	0.0727122
r	0.000679604	0.00339817	0.0225539	0.0788697	0.103707	0.311878	0.0478838	0.052554	0.378476
á	0.000827606	0.00204638	0.00467065	0.0509318	0.047327	0.0829083	0.122149	0.532757	0.156382
k	0.00524632	0.00424798	0.0148564	0.0101813	0.0394203	0.0521253	0.384862	0.226847	0.262214
w	0.00129656	0.00423456	0.00710411	0.0426398	0.050322	0.132297	0.12114	0.444896	0.196069
έ	0.0105312	0.00534583	0.00658433	0.0199895	0.0319825	0.190328	0.128284	0.493357	0.113598
ε	0.000400546	0.000961408	0.00154471	0.00983292	0.0267072	0.0999782	0.0936959	0.273469	0.49341
</S>	0.00560605	0.00709878	0.0257215	0.0196383	0.0513526	0.0882409	0.29017	0.0359639	0.476208
