 	on	ne	se	courbe	pas	avec	la	tête	dans	les	genoux	en	montrant	ses	fesses	nues	devant	son	frère	ou	sa	soeur	</S>
a	0.723583	0.23296	0.0177108	0.00423691	0.003714	0.00086781	0.00204541	0.00228821	0.00114623	0.00146137	0.00118055	0.00159832	0.00191013	0.00178401	0.000804176	0.000396223	0.000566589	0.000518278	0.000248676	0.00040951	0.000504945	5.03344e-05	1.45516e-05
d	0.0582167	0.606829	0.0531797	0.227819	0.0293158	0.0016748	0.00131218	0.0012033	0.00074202	0.00095215	0.000234901	0.000181424	0.000185744	4.63659e-05	0.000740913	0.00722792	0.00115716	0.000609952	0.00147317	0.000204606	0.000566116	0.00591921	0.000208146
i	0.0574427	0.569631	0.0934488	0.103194	0.0542053	0.0225721	0.00878785	0.0113555	0.00983482	0.00481254	0.00505097	0.00194861	0.00194327	0.00113069	0.00189887	0.00317944	0.0075814	0.00370915	0.011573	0.000464827	0.000453051	5.00055e-05	0.0257322
í	0.0376889	0.0837178	0.133043	0.115492	0.0251906	0.0389529	0.0297961	0.0562495	0.0949119	0.0554151	0.0630212	0.033047	0.0211613	0.00336067	0.000677819	0.00701713	0.010743	0.00650752	0.0152033	0.00289144	0.0084429	0.000740858	0.156728
o	0.0436201	0.0766546	0.322119	0.191626	0.0682531	0.0801277	0.0547871	0.0294843	0.0163278	0.00795294	0.00628274	0.0106709	0.0285249	0.00485687	0.0133803	0.0074468	0.00928054	0.00356744	0.00360443	0.00211781	0.005374	0.0025311	0.0114092
k	0.00103344	0.0109225	0.0496816	0.489964	0.119378	0.0521605	0.0612774	0.096293	0.0223403	0.00976781	0.00372513	0.00626778	0.0159053	0.00144711	0.0005131	0.019647	0.00849257	0.00517282	0.00658588	0.0021228	0.00180543	0.00523676	0.0102597
y	0.00151594	0.0103677	0.0409908	0.350799	0.0944131	0.0361335	0.0438564	0.0949978	0.0292325	0.0203109	0.0128299	0.0205207	0.11059	0.00298122	0.000716715	0.0614391	0.0131458	0.00987753	0.00653967	0.00247104	0.00206392	0.00655753	0.0276489
á	0.010276	0.0152785	0.0142304	0.191593	0.0866613	0.0507975	0.0889912	0.139005	0.0570153	0.0630653	0.027828	0.0222861	0.0944704	0.00340774	0.00106142	0.0442779	0.0209333	0.0117333	0.0069032	0.00332221	0.0023188	0.00418965	0.0403542
e	0.00217751	0.00307577	0.00660398	0.00997674	0.047852	0.0685232	0.0455155	0.0528337	0.111024	0.0939727	0.183755	0.0626416	0.110372	0.0127438	0.000176628	0.00215806	0.00396659	0.0116733	0.00929677	0.016884	0.00693675	0.00350699	0.134333
b	0.00148385	0.00494436	0.0185598	0.0424301	0.0700073	0.116159	0.1078	0.0832184	0.06367	0.0503808	0.0400542	0.102134	0.244099	0.00844584	0.00298004	0.00907416	0.00746977	0.00358826	0.0027219	0.0022822	0.0022765	0.000893714	0.0153263
v	0.00216111	0.00183609	0.00964365	0.00710505	0.0379606	0.03883	0.0349369	0.0478747	0.021477	0.0272319	0.0215434	0.0864323	0.514666	0.0174295	0.00209121	0.0576	0.0206933	0.010203	0.00426307	0.00762831	0.00271086	0.0106712	0.015011
é	0.000468236	0.000620481	0.00228935	0.0114414	0.0321707	0.0379844	0.0560602	0.0534797	0.0490301	0.0556796	0.0432366	0.101625	0.450199	0.00958886	0.000797146	0.0208625	0.0207701	0.0152326	0.00652111	0.00478816	0.00624861	0.00347868	0.0174275
b	0.000399333	0.00045254	0.00225111	0.00413437	0.00986452	0.0296152	0.0167269	0.0268393	0.0805448	0.115929	0.27523	0.17639	0.193502	0.0234967	0.000731922	0.00348857	0.00293337	0.00273504	0.00188714	0.0020688	0.00336646	0.000548572	0.026864
v	0.00196265	0.00064696	0.00384144	0.00189088	0.0119897	0.0247735	0.0111282	0.00403173	0.00828522	0.0195535	0.0267751	0.101668	0.660304	0.0611307	0.0108709	0.0158346	0.0109727	0.00856568	0.00152704	0.00494026	0.00231001	0.00101091	0.00598579
e	0.00181683	0.000696904	0.0014729	0.00406042	0.0143538	0.0732569	0.0937884	0.0427826	0.0800396	0.146926	0.0836844	0.103234	0.142162	0.040414	0.00538612	0.00946523	0.0327115	0.0483907	0.0141502	0.0119075	0.0113699	0.00174964	0.0361802
é	0.00151772	0.00112682	0.00257181	0.0027295	0.00936041	0.0301145	0.0360221	0.051023	0.0912157	0.108667	0.106452	0.183265	0.180489	0.113355	0.00460094	0.0203794	0.0210337	0.00994795	0.0054096	0.0056454	0.00392373	0.00123872	0.00991196
ó	0.00781238	0.00891509	0.0164104	0.00375788	0.00594966	0.0139868	0.0149381	0.0146991	0.0320905	0.0385058	0.0248851	0.0967557	0.0807715	0.181462	0.161239	0.186646	0.0636286	0.0140035	0.0150723	0.00361469	0.00638431	0.00216115	0.00631124
b	0.00823575	0.0221134	0.0234405	0.00278515	0.0022006	0.00328871	0.00520489	0.0165342	0.00612435	0.00607414	0.00215603	0.00905532	0.016624	0.015711	0.0166065	0.593159	0.149481	0.0154567	0.0488166	0.0025656	0.00270973	0.0288327	0.00282337
o	0.00155155	0.00214408	0.00362545	0.000843847	0.001796	0.00241744	0.0025449	0.0072233	0.00392025	0.00528783	0.0026339	0.00765964	0.0170321	0.0153203	0.0194816	0.540417	0.111015	0.0321742	0.0333386	0.0161423	0.00465411	0.163009	0.00576709
s	0.000169142	0.000277343	0.00143224	0.000872402	0.0011037	0.00604897	0.0084815	0.0179241	0.00522564	0.00414186	0.00315841	0.0113233	0.0242786	0.0070877	0.00285365	0.662341	0.128015	0.0201819	0.0295844	0.00698453	0.00213261	0.0142438	0.0421377
ó	0.000591431	0.00068639	0.000872069	0.00272873	0.00434898	0.0104301	0.0177832	0.0114307	0.011115	0.0139267	0.00910094	0.0193459	0.0811233	0.0125257	0.00579659	0.489973	0.109628	0.0918016	0.0417939	0.0241078	0.00363034	0.00363976	0.0336192
b	0.0029969	0.00140141	0.00344183	0.000577138	0.00126582	0.00555433	0.0051907	0.00588285	0.00942304	0.0100976	0.00599366	0.0190146	0.0137223	0.141815	0.0565625	0.0816356	0.255002	0.0931458	0.0946762	0.0432268	0.0541593	0.0201677	0.0750465
á	0.00742792	0.00133414	0.0019198	0.000233097	0.00173872	0.00503744	0.00197699	0.00106592	0.002199	0.00316366	0.00481922	0.0171531	0.0641597	0.187489	0.123039	0.110618	0.105262	0.11421	0.0357569	0.0821154	0.0519939	0.0454624	0.0318248
b	0.010085	0.000528424	0.000672676	7.20631e-05	0.000283934	0.00144535	0.000778577	0.00115755	0.00249873	0.00501867	0.00550864	0.0040934	0.00669695	0.0358886	0.0143652	0.0129591	0.0496312	0.090477	0.0758267	0.344853	0.0989921	0.185056	0.053111
o	0.00492472	0.0012868	0.00168624	0.000398914	0.00185656	0.00129569	0.000704418	0.000650926	0.00106514	0.00229355	0.0039413	0.0188505	0.0402359	0.0957392	0.0432226	0.202671	0.115389	0.0574731	0.0474151	0.0493939	0.0282211	0.272299	0.00898547
l	0.000272305	0.000392081	0.000875919	0.00028824	0.000306757	0.00112383	0.00233783	0.00263733	0.000559087	0.000626375	0.000304272	0.000830225	0.00212217	0.00609627	0.000909295	0.188204	0.141943	0.056191	0.0578454	0.0392117	0.0127895	0.475587	0.00854546
a	0.000467827	0.000266518	0.000933607	0.00237339	0.00151432	0.00346024	0.00266846	0.00320172	0.00268204	0.00370687	0.00107937	0.00395742	0.00601881	0.0131109	0.08111	0.16403	0.238577	0.121581	0.0615398	0.07505	0.0275764	0.101664	0.0834302
k	0.0008743	0.000510644	0.00095281	0.000281777	0.000499492	0.00136045	0.0012896	0.00197566	0.00158912	0.00147376	0.000526596	0.00113031	0.00129745	0.00606969	0.0151455	0.0150762	0.161319	0.189138	0.157665	0.0981815	0.106402	0.0694698	0.167771
a	0.00145267	0.000598012	0.00066678	0.00104889	0.00288616	0.00585587	0.00353338	0.000966012	0.00191825	0.00240027	0.00488364	0.00682498	0.0141073	0.0141397	0.0448701	0.111941	0.126526	0.230171	0.0520232	0.0972857	0.0469165	0.127152	0.101832
á	0.000299493	0.000134415	0.000166717	0.000285346	0.000225195	0.00077442	0.000727757	0.00112574	0.00096513	0.00103985	0.00132995	0.00101491	0.00328578	0.00281994	0.00476763	0.122372	0.0868792	0.0905402	0.0645377	0.0574098	0.0310185	0.352165	0.176115
</S>	0.000770179	0.000210358	0.00053075	0.000310083	0.000349039	0.00105005	0.000840639	0.000755509	0.00161192	0.00170577	0.00115898	0.0018041	0.0015118	0.0103796	0.0135757	0.0026642	0.0377983	0.10437	0.10592	0.11118	0.217596	0.0295615	0.354345
