 	cette	manière	d'	embrasser	exprime	l'	amour	</S>
e	0.415713	0.485131	0.0649308	0.0232113	0.00435316	0.00340448	0.000667843	0.00258846
m	0.00621129	0.0136893	0.00203274	0.398769	0.376272	0.122034	0.067376	0.0136155
u	0.00337615	0.00415073	0.00105273	0.788239	0.161831	0.0265044	0.00495679	0.00988884
u	0.0483679	0.00200365	0.00529534	0.761132	0.109883	0.0293621	0.0034657	0.0404905
m	0.0769531	0.0206952	0.0415727	0.121729	0.31566	0.135292	0.0478891	0.240209
ú	0.0168569	0.000925094	0.0202586	0.471162	0.313038	0.0891889	0.00888682	0.0796831
l	0.0804385	0.036019	0.124305	0.144826	0.365364	0.101573	0.0217542	0.12572
u	0.0951631	0.0324134	0.202115	0.178236	0.129114	0.0691956	0.0487473	0.245016
y	0.0336998	0.0266759	0.136439	0.124195	0.296619	0.157048	0.0898712	0.135452
é	0.193548	0.133265	0.309258	0.0569262	0.0984901	0.0664996	0.112159	0.0298543
y	0.0477866	0.0344824	0.468883	0.10703	0.141397	0.0935879	0.0670562	0.0397769
é	0.0798886	0.0628042	0.212579	0.051184	0.265974	0.138967	0.133819	0.0547846
e	0.0422322	0.0125899	0.319267	0.0993192	0.169576	0.114001	0.0980246	0.14499
s	0.00201471	0.00366388	0.0255036	0.0519676	0.340855	0.226124	0.180967	0.168904
ε	0.00115237	0.00124636	0.00359856	0.0560849	0.411942	0.188906	0.206494	0.130575
r	0.000797996	0.000483854	0.0107614	0.0119998	0.303513	0.219605	0.345153	0.107686
έ	0.00824836	0.000785021	0.0128778	0.0307452	0.311393	0.265159	0.292433	0.0783573
o	0.0101876	0.00160698	0.0646204	0.0296466	0.237199	0.295917	0.206897	0.153926
d	0.00283772	0.00280054	0.002355	0.026779	0.213504	0.218934	0.466423	0.0663667
i	0.00103941	0.00231967	0.000993354	0.0196524	0.175909	0.168311	0.458425	0.17335
n	0.000271868	0.000796945	0.00108169	0.00844315	0.173367	0.235599	0.254255	0.326185
g	0.00559268	0.0041536	0.00306008	0.00844759	0.119848	0.191292	0.372347	0.295259
i	0.00882684	0.0302265	0.0146416	0.00607375	0.069664	0.0910733	0.381744	0.397749
</S>	0.0014696	0.00308655	0.010564	0.00247102	0.0595597	0.0835696	0.132221	0.707058
