 	quand	le	chanteur	chante	les	danseurs	doivent	fredonner	</S>
w	0.532892	0.245669	0.21822	0.000902077	0.00140633	0.000327439	0.00028245	0.000288373	1.21227e-05
á	0.650293	0.242427	0.101889	0.000342686	0.00123832	0.000780681	0.000617037	0.00232752	8.54045e-05
á	0.265641	0.401588	0.264776	0.0242192	0.0104453	0.00419994	0.00273303	0.00398207	0.0224152
n	0.103779	0.236489	0.43913	0.140457	0.0158328	0.00763707	0.0252189	0.00707843	0.0243776
d	0.0470095	0.107061	0.728863	0.0646759	0.00999772	0.00296557	0.00822806	0.00146073	0.0297385
z	0.0224307	0.067352	0.508971	0.344165	0.0155173	0.00561524	0.0137377	0.00379794	0.0184128
é	0.0109686	0.035496	0.682964	0.25199	0.0019357	0.00102288	0.0042255	0.00039207	0.0110044
m	0.0184911	0.119644	0.383767	0.328231	0.0295307	0.00704245	0.0338647	0.00406373	0.0753652
b	0.0679848	0.142165	0.54856	0.126439	0.0575157	0.0059064	0.0133131	0.00191288	0.036203
é	0.250764	0.160168	0.344153	0.0677	0.075524	0.0288084	0.00525126	0.0115824	0.0560488
a	0.133198	0.161875	0.0544828	0.125904	0.374817	0.0825468	0.0141002	0.00538846	0.0476881
b	0.0103086	0.0235702	0.0110409	0.16498	0.42229	0.256896	0.0871433	0.00570982	0.018062
h	0.00346763	0.0102341	0.00217528	0.0185693	0.436007	0.460922	0.029533	0.0149547	0.024137
i	0.0023851	0.00407071	0.00224078	0.0273454	0.322178	0.578385	0.0182086	0.00919958	0.0359875
l	0.00253207	0.00761537	0.00386048	0.0213108	0.241961	0.539532	0.088303	0.0291259	0.065759
á	0.00678412	0.00505495	0.00219691	0.0113647	0.261181	0.45911	0.10731	0.0166368	0.130361
a	0.00717658	0.00821149	0.00262572	0.00591932	0.154872	0.533821	0.173218	0.0733849	0.0407712
t	0.00311902	0.00993412	0.00384804	0.0495183	0.102643	0.528927	0.244086	0.0441366	0.0137877
a	0.000406978	0.00294574	0.00102338	0.026265	0.0987629	0.718765	0.0778317	0.0232785	0.0507203
r	0.000113053	0.00162704	0.001108	0.0170279	0.190686	0.653937	0.0667382	0.0152732	0.0534893
a	0.000549356	0.00126838	0.000363068	0.00427244	0.0820851	0.714596	0.0987852	0.0183059	0.0797746
a	0.000247585	0.00157596	0.000549666	0.00123947	0.0289199	0.293945	0.442454	0.0834231	0.147645
s	0.00148421	0.00346691	0.000821243	0.00397224	0.0211653	0.105045	0.535711	0.271272	0.0570622
é	0.00188581	0.00488381	0.00225914	0.00564798	0.00857517	0.0700749	0.596591	0.201399	0.108683
i	0.000486764	0.00196025	0.00140829	0.00131465	0.0022519	0.0177583	0.335848	0.498599	0.140373
k	0.000213798	0.000383164	7.34955e-05	0.000479541	0.00425901	0.0161298	0.129234	0.611935	0.237293
á	0.00119227	0.00162775	0.000242461	0.00104531	0.0102429	0.0428308	0.0345701	0.846993	0.0612555
a	0.00181353	0.00235736	0.000545629	0.000733428	0.00571912	0.0570996	0.0143118	0.617346	0.300073
b	0.000717067	0.00162671	0.000253827	0.00115083	0.0128059	0.0245996	0.104438	0.65246	0.201948
á	0.004443	0.0028564	0.000284166	0.00102191	0.0315322	0.100041	0.0413264	0.665767	0.152728
a	0.00901039	0.0186372	0.00374504	0.00155421	0.0148362	0.030217	0.0411323	0.563073	0.317795
k	0.0011493	0.00185226	0.000347817	0.00185169	0.00879129	0.0193613	0.147019	0.457653	0.361975
í	0.00148604	0.00303928	0.00115246	0.00699711	0.04649	0.107696	0.124167	0.410111	0.298861
m	0.00224344	0.00548614	0.00139729	0.00216633	0.00711739	0.0269708	0.017133	0.334297	0.603188
a	0.000589524	0.00208172	0.00147439	0.000438097	0.00442787	0.0128906	0.0721639	0.416901	0.489033
</S>	0.00461116	0.0117613	0.00199242	0.00307821	0.0171779	0.037228	0.0763705	0.262932	0.584848
