 	les	mouches	envahissent	la	viande	</S>
a	0.9277	0.0669623	0.00324549	0.00164327	0.000395062	5.35606e-05
k	0.0339985	0.965045	0.000545303	0.000221773	0.000122627	6.67122e-05
i	0.00287417	0.996398	8.83437e-05	0.000216746	0.000189828	0.000233098
n	0.00147763	0.994031	0.00175902	0.00106426	9.06036e-05	0.00157786
y	0.0464476	0.945387	0.00155176	0.00110169	0.000109803	0.00540258
i	0.0808643	0.844564	0.0112449	0.00886009	0.00402937	0.0504375
m	0.542516	0.248706	0.148011	0.0413563	0.00165991	0.0177504
á	0.854995	0.00426641	0.0575089	0.0433028	0.0151576	0.0247697
a	0.829628	0.0235827	0.040523	0.0798758	0.00720995	0.0191808
b	0.0605145	0.0459221	0.704694	0.145675	0.00546043	0.037734
h	0.0215055	0.0598616	0.827425	0.0707889	0.00540765	0.0150112
í	0.00612747	0.0442831	0.878809	0.0469196	0.00370275	0.0201581
n	0.0137199	0.00571688	0.714504	0.180836	0.0172212	0.0680017
g	0.0491505	0.0132072	0.303777	0.227831	0.215571	0.190463
á	0.0141674	0.00690185	0.553215	0.0988144	0.242723	0.0841779
n	0.0119284	0.00154369	0.0436815	0.582265	0.293036	0.067545
y	0.00635006	0.00208321	0.122287	0.11703	0.615683	0.136567
a	0.000534573	0.000460213	0.00802355	0.0238578	0.931387	0.0357371
m	0.00182873	0.0136493	0.105684	0.17611	0.418465	0.284263
a	0.0154961	0.00218959	0.0471602	0.162758	0.313102	0.459294
</S>	0.0184528	0.00201632	0.0773002	0.21819	0.0685273	0.615514
