 	quelle	heure	est-il	</S>
i	0.854899	0.139214	0.00517849	0.000708827
k	0.195901	0.652809	0.144294	0.00699589
á	0.059837	0.618347	0.277716	0.0440992
n	0.0704903	0.490749	0.318875	0.119886
g	0.528219	0.348737	0.0257003	0.0973444
a	0.733878	0.182301	0.0111883	0.0726331
í	0.40585	0.399725	0.0429287	0.151497
b	0.311534	0.322989	0.157226	0.208251
h	0.0899856	0.326942	0.457594	0.125478
i	0.0787494	0.154738	0.473924	0.292588
n	0.0181231	0.0189639	0.511229	0.451684
d	0.0714487	0.0197998	0.372619	0.536133
e	0.00383479	0.0132665	0.440362	0.542537
</S>	0.00494412	0.0448012	0.169397	0.780858
