 	kwekwele	est	une	chenille	comestible	</S>
k	0.487519	0.45164	0.0348089	0.0219214	0.00368636	0.000424079
w	0.971183	0.0142164	0.00579453	0.00604157	0.00102681	0.0017381
e	0.93318	0.0163497	0.029635	0.0145381	0.00509072	0.00120605
k	0.871877	0.063306	0.0181968	0.0117264	0.00441171	0.030482
w	0.927099	0.0264848	0.0169709	0.0111328	0.00333828	0.0149738
e	0.815073	0.0671938	0.0668519	0.0347197	0.00277017	0.0133917
l	0.177777	0.246551	0.236962	0.186974	0.0152549	0.136481
e	0.137156	0.290573	0.293289	0.15162	0.0121941	0.115168
b	0.00502264	0.43531	0.295769	0.210291	0.014977	0.0386305
á	0.0123651	0.157332	0.235158	0.4408	0.0855504	0.0687948
a	0.000756399	0.0801647	0.127236	0.170518	0.575741	0.0455841
d	0.0118742	0.0587082	0.150906	0.212879	0.345502	0.220131
z	0.00084206	0.00861394	0.0647483	0.0421363	0.366199	0.517461
á	0.00139289	0.0226274	0.140094	0.102742	0.353855	0.379289
a	0.00040522	0.0104354	0.0384132	0.0787848	0.5573	0.314661
</S>	0.00203192	0.00903443	0.0204808	0.0324145	0.228523	0.707515
