 	il	se	mit	à	bailler	</S>
w	0.9599	0.0340574	0.00217884	0.00314281	0.000587108	0.000134161
a	0.892599	0.0687808	0.00888922	0.0285308	0.00105364	0.000146109
a	0.250788	0.569032	0.0671914	0.0716375	0.00405469	0.0372965
b	0.125279	0.628432	0.143748	0.0339626	0.0287412	0.0398369
v	0.124589	0.560678	0.232589	0.0337573	0.00256126	0.045825
e	0.170044	0.671655	0.12748	0.0205248	0.000360083	0.00993551
m	0.00868362	0.168789	0.343896	0.149711	0.0084106	0.32051
ó	0.0634102	0.331556	0.240547	0.174411	0.00374801	0.186327
i	0.0240904	0.227147	0.420496	0.219407	0.0355265	0.0733326
t	0.00166549	0.0217866	0.479598	0.204898	0.241388	0.0506638
έ	0.00125601	0.00943539	0.182353	0.0209538	0.775596	0.0104057
ε	0.00311929	0.0124506	0.250139	0.135153	0.51261	0.0865286
l	0.00463115	0.00976232	0.0865886	0.446702	0.246057	0.206258
á	0.0109138	0.0184728	0.131078	0.391602	0.0576496	0.390284
i	0.0854612	0.0394813	0.0425091	0.556363	0.100947	0.175238
k	0.0169436	0.0371776	0.0926903	0.0626859	0.75205	0.0384526
á	0.000404988	0.00836177	0.106118	0.0175062	0.840816	0.0267932
k	0.000281358	0.00126771	0.0178828	0.0149156	0.928967	0.0366851
a	0.0153732	0.00859183	0.0312582	0.125782	0.313181	0.505814
</S>	0.00102094	0.00592872	0.0353495	0.0808231	0.270944	0.605934
