 	c'	est	un	homme	avide	de	richesse	</S>
w	0.533177	0.189226	0.100153	0.1281	0.0282573	0.0138008	0.00407823	0.00320769
a	0.601516	0.169905	0.0288967	0.0506342	0.00505013	0.0430548	0.100313	0.000629949
a	0.146577	0.299073	0.299746	0.107253	0.0452622	0.0403212	0.0105939	0.0511745
d	0.0414627	0.23549	0.321292	0.0964673	0.0588743	0.0822412	0.0124058	0.151766
í	0.0375262	0.301341	0.198308	0.101678	0.082222	0.0233371	0.00820627	0.247381
l	0.0159986	0.048497	0.124783	0.122356	0.142082	0.0702802	0.00847646	0.467527
a	0.0301142	0.0385817	0.354179	0.143802	0.0921502	0.0570549	0.0167019	0.267417
o	0.0280015	0.0586953	0.210438	0.240228	0.17994	0.0409062	0.102393	0.139399
t	0.00151383	0.00981097	0.0540412	0.205586	0.627724	0.0248983	0.0336173	0.0428088
é	0.000437831	0.0110647	0.031372	0.0524893	0.719174	0.0189359	0.0410273	0.125498
m	0.00109851	0.0260671	0.121178	0.0855899	0.457562	0.0830639	0.030396	0.195045
a	0.0100358	0.0133559	0.0770861	0.095008	0.365675	0.272694	0.110578	0.055567
m	0.00789493	0.00668567	0.0439775	0.0673119	0.187964	0.32802	0.0480629	0.310083
á	0.017593	0.00893169	0.0334874	0.108388	0.10483	0.351488	0.268256	0.107026
m	0.0063098	0.00472183	0.01178	0.0181523	0.0632802	0.382134	0.363257	0.150365
b	0.00414538	0.00523653	0.00662687	0.0425688	0.0244583	0.139076	0.624276	0.153612
ώ	0.000189473	0.000798151	0.00329632	0.0169737	0.0361526	0.0351506	0.752259	0.15518
n	0.00015871	0.000547426	0.0024212	0.0224263	0.0310948	0.0419088	0.610443	0.290999
g	0.00395272	0.00841551	0.0262698	0.017134	0.0357469	0.194531	0.506388	0.207561
ω	0.00128499	0.00120807	0.00721709	0.00334011	0.0274254	0.0453735	0.703185	0.210965
</S>	0.00149943	0.00314951	0.0198784	0.0141994	0.0971496	0.265899	0.125991	0.472233
