 	leur	mère	s'	occupe	de	son	mari	qui	est	souffrant	à	l'	hôpital	</S>
n	0.52668	0.0933962	0.0930184	0.0687437	0.128771	0.0516953	0.00249818	0.008374	0.0045395	0.00877778	0.00529053	0.00731327	0.000577499	0.0003247
g	0.121297	0.816721	0.0450823	0.000878241	0.00427814	0.0050496	0.000695307	0.00385129	0.000449671	0.000435218	0.00051246	0.000537849	0.000151736	6.0403e-05
ó	0.0389503	0.947039	0.003031	0.00217434	0.000300266	0.00107771	0.00417009	0.00137113	0.000428614	0.000915973	0.00016598	0.000253329	9.93583e-05	2.2668e-05
o	0.0332463	0.87442	0.0117667	0.0355592	0.00124708	0.00248833	0.0328082	0.00466851	0.000285238	0.000981214	0.000427836	0.0018096	0.000105277	0.000186403
y	0.248705	0.0886611	0.410927	0.0293752	0.0298643	0.0185522	0.0140406	0.0302913	0.0316003	0.00472566	0.0258898	0.0210957	0.00335327	0.042919
a	0.77907	0.0285077	0.055476	0.00792673	0.0272089	0.0161883	0.0164156	0.0187521	0.00953593	0.00147328	0.00791524	0.0104771	0.00705906	0.0139937
b	0.949301	0.0100899	0.0216262	0.00264639	0.00399352	0.00360439	0.000923104	0.00174861	0.000773672	0.000241439	0.000670075	0.00217404	0.00058233	0.00162524
á	0.864984	0.0372623	0.0100757	0.064269	0.00177691	0.00270712	0.00124425	0.00048347	0.0010698	0.00983176	0.003272	0.00119069	0.00109256	0.000740782
a	0.903285	0.0788783	0.0118403	0.00140349	0.000486615	0.00139096	3.8431e-05	0.000101525	0.000249311	3.38705e-05	0.000452304	0.000945196	3.51715e-05	0.000859565
l	0.0440425	0.00925828	0.671227	0.0626529	0.0421803	0.0284242	0.0122027	0.0253141	0.0348704	0.00248702	0.0142797	0.01566	0.001604	0.035797
á	0.0559875	0.0134406	0.17862	0.125801	0.0632345	0.0292424	0.0212569	0.0731677	0.0727198	0.0173352	0.0532451	0.044095	0.00717851	0.244675
