 	j'	ai	soif	donne-moi	de	la	bière	</S>
n	0.801876	0.0919588	0.0942272	0.00691267	0.00291229	0.00175529	0.000339423	1.84741e-05
g	0.90756	0.0852809	0.00666475	7.00901e-05	0.000260898	0.000144076	9.37737e-06	9.8684e-06
á	0.701322	0.277158	0.0173393	0.00153807	0.00122552	0.000722917	0.00068033	1.31704e-05
i	0.0885567	0.574321	0.284081	0.0175584	0.0105574	0.0139836	0.00629366	0.00464809
d	0.114364	0.320602	0.10184	0.0507328	0.0444803	0.0494341	0.0195194	0.299027
í	0.0634181	0.365679	0.181003	0.0624268	0.0585753	0.0386565	0.019592	0.210649
l	0.0818039	0.342038	0.295555	0.0546141	0.0545009	0.0308448	0.0058223	0.134821
a	0.105408	0.294648	0.216294	0.0597697	0.0718689	0.0315388	0.00784649	0.212627
p	0.0592208	0.191477	0.52708	0.0902509	0.0447658	0.0184407	0.0112632	0.0575011
ó	0.0139232	0.0718554	0.55049	0.249013	0.0724247	0.00769344	0.00957097	0.0250295
s	0.0241819	0.115798	0.187121	0.413968	0.110491	0.0544233	0.0154264	0.0785909
á	0.00662061	0.0176928	0.261626	0.401998	0.122811	0.0215868	0.00426212	0.163403
ω	0.119087	0.192201	0.271612	0.279122	0.0514146	0.0332853	0.00567963	0.0475984
n	0.00661782	0.0340966	0.288162	0.606675	0.0383227	0.0129667	0.00887792	0.00428155
y	0.0727738	0.23485	0.280127	0.245067	0.0913178	0.0226025	0.0124394	0.0408226
w	0.0222268	0.203986	0.336557	0.250202	0.111592	0.0297646	0.0176222	0.0280503
á	0.00896045	0.0737098	0.1598	0.39098	0.144381	0.0498868	0.016105	0.156177
a	0.000380299	0.0102087	0.101888	0.54054	0.163319	0.0235636	0.00352533	0.156574
b	0.00202282	0.014488	0.0434084	0.187921	0.457429	0.221924	0.0218176	0.0509895
o	0.00524464	0.013517	0.127879	0.100018	0.356335	0.229375	0.113437	0.054193
n	0.00137534	0.0113333	0.102788	0.275063	0.262227	0.153738	0.126826	0.0666505
g	0.00168954	0.0047454	0.0249066	0.269233	0.383848	0.217943	0.0204928	0.0771413
á	0.0231076	0.0316065	0.0953024	0.179488	0.442577	0.105884	0.0292599	0.092774
n	0.00201308	0.00654797	0.0107798	0.0266571	0.232163	0.431572	0.185517	0.10475
g	0.153439	0.110593	0.0195406	0.0290867	0.262677	0.220728	0.133198	0.0707394
á	0.111587	0.0664559	0.0141953	0.0132558	0.226698	0.257796	0.27299	0.037023
a	0.000466941	0.00213085	0.00578709	0.0234683	0.19079	0.409905	0.286874	0.0805772
l	0.00216338	0.00944502	0.0224203	0.0349472	0.078953	0.281581	0.505343	0.0651472
ω	0.00274302	0.0179615	0.0336487	0.0223966	0.0614336	0.141904	0.558479	0.161433
i	0.000164679	0.00104311	0.00356522	0.00597881	0.0243364	0.0940878	0.790945	0.0798794
</S>	0.00369942	0.0060279	0.00630287	0.013094	0.0458274	0.219658	0.19364	0.51175
