 	sa	plaie-ci	a	commencé	à	se	cicatriser	</S>
p	0.406017	0.403355	0.154027	0.0203647	0.0082019	0.00739256	0.000195703	0.000445155
ó	0.00966355	0.975778	0.0091713	0.00208732	0.00131387	0.000808649	0.000871383	0.000306014
r	0.008599	0.93698	0.0330199	0.0051361	0.00434402	0.00154515	0.00270318	0.00767234
á	0.202217	0.60693	0.101624	0.0155277	0.0233999	0.0058243	0.0124072	0.03207
y	0.687765	0.159196	0.124766	0.0049899	0.00686204	0.00372418	0.00191978	0.0107777
á	0.359528	0.239941	0.205335	0.0540494	0.0432668	0.0172086	0.0184367	0.0622333
w	0.506746	0.0534908	0.223595	0.161067	0.029485	0.00679013	0.0140919	0.00473361
a	0.314503	0.238062	0.229596	0.108281	0.0300112	0.0192265	0.00867653	0.0516431
y	0.0631074	0.0676177	0.465293	0.191717	0.080864	0.0291376	0.00535607	0.0969077
é	0.266175	0.119156	0.279793	0.126586	0.130957	0.0326933	0.0145085	0.0301319
é	0.11861	0.0160909	0.329094	0.260725	0.153238	0.0726316	0.023097	0.0265134
b	0.0290499	0.0142205	0.0739006	0.145309	0.413758	0.260383	0.0238061	0.0395729
h	0.0153387	0.0111271	0.0694176	0.0960495	0.332078	0.361292	0.0135672	0.10113
i	0.0325065	0.0282312	0.0698801	0.0445743	0.297683	0.295557	0.0335468	0.198021
y	0.0198459	0.00615234	0.0448433	0.233423	0.287648	0.191398	0.0397839	0.176906
é	0.0256924	0.0493204	0.0928798	0.223598	0.197271	0.0892149	0.0918058	0.230218
e	0.0155703	0.0108468	0.0681834	0.226902	0.15834	0.120246	0.3267	0.0732116
f	0.00962854	0.00775788	0.00544081	0.0185262	0.0654247	0.143654	0.593906	0.155662
ú	0.00525843	0.0196251	0.0102864	0.0344646	0.145888	0.228119	0.293419	0.26294
n	0.000267034	0.00374872	0.00041432	0.00126357	0.00811068	0.00785282	0.869574	0.108769
d	0.058522	0.00856172	0.0117604	0.0884192	0.157021	0.0447552	0.479525	0.151436
á	0.0207053	0.00606128	0.0392855	0.213057	0.222407	0.0981859	0.199647	0.200651
n	0.0177832	0.0142805	0.0104437	0.0338312	0.057127	0.0807063	0.604438	0.18139
d	0.0345278	0.00761559	0.0117434	0.0747111	0.0768415	0.0697925	0.428174	0.296594
z	0.00650375	0.00308	0.00421748	0.0123738	0.0140102	0.0102106	0.81629	0.133314
ó	0.000295799	0.00220394	0.000932981	0.0134001	0.0196953	0.010097	0.819972	0.133403
r	0.000409566	0.00131526	0.00295768	0.00901709	0.0463764	0.0203625	0.512365	0.407196
o	0.000636848	0.00451729	0.00298028	0.00514712	0.0428092	0.0143244	0.531636	0.397949
</S>	0.00409386	0.00419558	0.0124868	0.0119074	0.0657321	0.0682102	0.13099	0.702384
