 	faisons	vite	un	abri	</S>
l	0.949872	0.0288236	0.0163295	0.00479026	0.000185143
é	0.87671	0.0996353	0.019469	0.00267396	0.00151131
t	0.736699	0.223113	0.00703252	0.00480799	0.0283476
ó	0.360023	0.224726	0.0295871	0.0573236	0.328341
n	0.729715	0.121199	0.0289269	0.0385918	0.0815676
g	0.762052	0.124544	0.0154404	0.0112489	0.086715
a	0.799779	0.144767	0.0139813	0.00822544	0.0332465
n	0.0725123	0.456202	0.430805	0.0132751	0.0272057
d	0.17743	0.566829	0.165921	0.00711225	0.0827084
é	0.15878	0.58779	0.169021	0.0187239	0.0656849
e	0.0794949	0.418953	0.201691	0.169852	0.130009
l	0.0172792	0.195735	0.618936	0.0586185	0.109431
a	0.00820144	0.148382	0.252685	0.0549523	0.535779
o	0.00703538	0.0722362	0.459984	0.23925	0.221494
k	0.00260532	0.0924574	0.199562	0.635276	0.0700993
ó	0.00265466	0.0601346	0.0977781	0.761644	0.0777882
l	0.00197905	0.0542375	0.0735966	0.752951	0.117236
ó	0.00434981	0.0264007	0.0522532	0.448839	0.468157
</S>	0.00491181	0.0322608	0.264107	0.194296	0.504424
