 	les	élèves	ont	réussi	l'	examen	</S>
b	0.437094	0.55832	0.00137454	0.00163679	0.000754285	0.000762422	5.87303e-05
á	0.0944915	0.903202	0.0018656	0.000108811	0.000271726	3.49633e-05	2.5384e-05
n	0.119778	0.875946	0.00308159	0.000189415	0.000185112	0.000317057	0.000502838
a	0.263091	0.697245	0.00866747	0.00209602	0.00215642	0.00478943	0.0219546
b	0.44553	0.294962	0.181629	0.0155172	0.0276583	0.00338385	0.0313198
á	0.278236	0.307012	0.23319	0.035558	0.0428723	0.00203858	0.101093
l	0.187646	0.200503	0.374434	0.0315488	0.0229971	0.0217009	0.16117
e	0.0927528	0.013468	0.290351	0.0783981	0.0983961	0.0236628	0.402971
k	0.0959988	0.0253332	0.338262	0.320715	0.100219	0.0255115	0.0939614
ώ	0.0105859	0.00352729	0.0874676	0.854134	0.0102769	0.0148722	0.0191357
ώ	0.0425004	0.0576555	0.11581	0.634248	0.081096	0.020405	0.0482846
l	0.0423811	0.0062722	0.390274	0.401396	0.124343	0.00388638	0.0314473
i	0.0376966	0.00219663	0.157619	0.517623	0.102209	0.0114673	0.171188
á	0.049294	0.0138644	0.392129	0.224378	0.183572	0.0174839	0.119278
y	0.00170617	0.00122403	0.0871405	0.409576	0.456712	0.0132466	0.0303946
u	0.00238141	0.000133216	0.049049	0.521676	0.353138	0.0245195	0.0491034
b	0.0025253	0.000104763	0.00896676	0.212742	0.4843	0.152523	0.138837
h	0.00685809	0.000578436	0.00687635	0.789561	0.0861836	0.0519963	0.0579464
u	0.0135911	0.00260611	0.00676291	0.638908	0.115675	0.0874627	0.134994
s	0.000794513	0.000217702	0.00529204	0.149017	0.711857	0.0432966	0.0895254
u	0.00258888	8.72169e-05	0.00184997	0.131057	0.56548	0.161382	0.137555
e	0.00273481	7.18824e-05	0.00262103	0.00952019	0.579313	0.284433	0.121307
k	0.00060648	0.000367009	0.00517428	0.0428396	0.342356	0.367681	0.240975
i	0.000449232	0.000314367	0.000951815	0.0480429	0.0532334	0.71346	0.183549
d	0.000373629	5.17952e-05	0.000304142	0.0352173	0.0575902	0.559674	0.346789
z	9.44047e-05	1.7815e-06	4.01584e-05	0.0168929	0.0450944	0.800893	0.136983
a	0.000805276	2.89906e-05	0.000124399	0.0223184	0.0729501	0.801405	0.102368
m	0.000294886	0.000124895	0.000464239	0.0111328	0.0211842	0.432636	0.534163
í	0.0101934	0.000829971	0.000834067	0.00638266	0.0387718	0.174464	0.768524
</S>	0.0276106	0.00052179	0.00651228	0.0142511	0.0823203	0.0928161	0.775968
