 	cette	femme	est	de	petite	taille	</S>
o	0.81414	0.158776	0.0138168	0.00662849	0.00452792	0.0012362	0.000874788
y	0.0536168	0.919329	0.0174983	0.00386603	0.00183119	0.0025179	0.00134098
ú	0.628722	0.312515	0.0340086	0.00641976	0.00231181	0.00975703	0.00626612
r	0.670982	0.161492	0.0270091	0.0238751	0.0158788	0.00910291	0.09166
u	0.552528	0.328507	0.0467348	0.0217571	0.0185809	0.0200179	0.0118744
w	0.286904	0.271169	0.30751	0.0678409	0.0378925	0.00925666	0.0194272
ó	0.216737	0.154917	0.219813	0.127089	0.0789635	0.0585832	0.143897
a	0.0393099	0.0251172	0.537677	0.189031	0.0465176	0.0275619	0.134785
d	0.00885856	0.0088254	0.245933	0.39248	0.175103	0.0691708	0.0996288
í	0.0203464	0.00326971	0.0709879	0.236214	0.120822	0.0601522	0.488208
y	0.0473145	0.00119743	0.0690461	0.246135	0.2319	0.0937506	0.310656
ε	0.0429504	0.00504311	0.0448347	0.167488	0.200685	0.34835	0.19065
l	0.017171	0.00099719	0.029466	0.0881665	0.17414	0.557928	0.132131
ε	0.00475543	0.00048242	0.0131438	0.132117	0.28989	0.381253	0.178358
y	0.00449261	0.000418187	0.0111105	0.0341307	0.0792018	0.533651	0.336995
ε	0.014749	0.00211178	0.0336146	0.0862684	0.157889	0.563133	0.142234
l	0.00218569	0.000289128	0.00942602	0.0581286	0.114468	0.245797	0.569706
ε	0.00121471	0.000346453	0.00612764	0.064407	0.203876	0.331609	0.392419
</S>	0.00319053	0.000219878	0.00869934	0.0419688	0.108126	0.179419	0.658376
