 	j'	ai	déjà	souffert	du	mwanza	</S>
n	0.925045	0.0627537	0.00178057	0.00310209	0.00619236	0.000864602	0.000262011
g	0.969156	0.0301633	0.000248347	2.17889e-05	0.000317542	6.62914e-05	2.66808e-05
á	0.823164	0.163538	0.0101097	0.00131772	0.000492274	0.0012854	9.30341e-05
l	0.2346	0.366332	0.169025	0.0617371	0.0482826	0.0494867	0.0705361
a	0.362981	0.298724	0.139309	0.0114792	0.0536859	0.0171735	0.116647
m	0.0618452	0.0703348	0.313758	0.0489901	0.0729599	0.0763334	0.355779
o	0.0899228	0.210098	0.558378	0.0472505	0.0368768	0.0385046	0.0189687
ó	0.0254822	0.224526	0.601834	0.0658926	0.0431931	0.00963795	0.0294342
k	0.00039604	0.0115307	0.329639	0.623257	0.0251891	0.00332069	0.0066683
ω	1.3836e-05	0.000450899	0.0212224	0.954663	0.00560211	0.00492781	0.0131204
n	0.000114204	0.00314701	0.023183	0.914524	0.0258679	0.00327344	0.0298905
ω	0.0064398	0.00571968	0.0200506	0.773169	0.0713544	0.0218825	0.101384
m	0.00850764	0.00691368	0.00131514	0.0830937	0.768729	0.0998383	0.0316023
w	0.00266783	0.00433572	0.00239311	0.0480263	0.0745607	0.455	0.413017
a	0.00156598	0.00270648	0.00108321	0.019115	0.0183732	0.884796	0.07236
n	0.000611071	0.00160129	0.00459855	0.0638535	0.236963	0.262283	0.430089
d	0.00640723	0.0188695	0.0170048	0.0406823	0.22208	0.348858	0.346098
z	0.000808562	0.00193459	0.00230362	0.0134347	0.0306076	0.629392	0.321519
a	7.40409e-05	3.19206e-05	0.000355211	0.0138595	0.00492214	0.77027	0.210488
</S>	5.57302e-05	0.00123004	0.0033693	0.00916892	0.117798	0.0584751	0.809902
