 	il	s'	agenouille	sur	la	natte	</S>
w	0.685696	0.257009	0.00216525	0.0304243	0.0234714	0.000946981	0.000287369
a	0.636282	0.229099	0.00107546	0.0476202	0.0736401	0.0121418	0.000140643
l	0.394233	0.449263	0.0386461	0.0518213	0.0362912	0.00514581	0.0246001
á	0.11928	0.23133	0.0307809	0.10706	0.0739272	0.0303979	0.407224
a	0.29279	0.300273	0.100723	0.0522598	0.0737305	0.0551331	0.125091
d	0.0269647	0.268206	0.677064	0.0105529	0.00319844	0.0036312	0.0103828
z	0.0106985	0.0896935	0.873153	0.0104638	0.00218168	0.000251256	0.0135579
a	0.017172	0.0441163	0.9182	0.0127529	0.00381412	0.000154238	0.00379068
m	0.0183984	0.0520887	0.723482	0.0973162	0.0221295	0.000740335	0.0858453
ó	0.0568977	0.138339	0.29716	0.326444	0.0641222	0.00269524	0.114343
a	0.100706	0.180945	0.0612141	0.487613	0.122189	0.0203281	0.0270039
n	0.0186619	0.0602416	0.0264393	0.488435	0.297175	0.0751138	0.0339328
g	0.0413799	0.0601471	0.0212009	0.357883	0.313444	0.0273411	0.178604
ώ	0.00941077	0.0269803	0.0527092	0.430373	0.312449	0.143667	0.0244113
l	0.00616554	0.0541593	0.0413599	0.268714	0.339348	0.106181	0.184071
ω	0.00682997	0.0246128	0.0430873	0.331356	0.138272	0.109814	0.346028
s	0.01412	0.0194336	0.011202	0.405836	0.347538	0.079054	0.122817
a	0.0250155	0.0230933	0.0644109	0.210233	0.369981	0.0529141	0.254352
a	0.00794385	0.0105007	0.0277501	0.192624	0.408971	0.190401	0.16181
m	0.00769556	0.0208039	0.013773	0.127386	0.351109	0.415562	0.0636704
ó	0.0073503	0.0331858	0.0130453	0.155509	0.372446	0.18473	0.233734
i	0.00349052	0.0318788	0.007427	0.12757	0.432704	0.324571	0.0723583
t	0.00319835	0.0393221	0.0301379	0.0727504	0.18643	0.38956	0.278601
ω	0.00440918	0.0170975	0.0368192	0.0412077	0.146809	0.647455	0.106203
ώ	0.000255494	0.000990267	0.00723976	0.0754557	0.132336	0.554892	0.228831
</S>	0.0202277	0.0213671	0.00411877	0.0815619	0.38706	0.0846912	0.400973
