 	l'	oiseau	est	en	train	de	faire	son	nid	</S>
n	0.30964	0.350722	0.209846	0.0624963	0.0053119	0.0245777	0.0124561	0.0225589	0.001722	0.000668571
y	0.0604251	0.936432	0.00159433	0.000329721	1.7281e-05	0.000275018	0.000121923	0.000355255	0.000430616	1.88508e-05
ω	0.011785	0.97741	0.00660229	0.00129004	0.000634883	0.00064311	0.000459285	0.00012988	0.000615983	0.000429394
s	0.0157331	0.948137	0.027301	0.0034549	0.00121675	0.00060304	0.000271052	0.000183856	0.000231282	0.00286793
í	0.0194302	0.00902359	0.346363	0.0628129	0.00660626	0.0778244	0.0457737	0.0342542	0.0136548	0.384257
b	0.0640659	0.00473663	0.207921	0.495891	0.0615009	0.0588677	0.0179714	0.0147599	0.000755179	0.07353
ó	0.375211	0.0451799	0.0721988	0.177236	0.0955097	0.141979	0.0381859	0.0310514	0.00122766	0.0222201
l	0.128936	0.0726927	0.168843	0.228296	0.173221	0.144005	0.0436308	0.0263892	0.00181621	0.0121698
á	0.0439656	0.00288004	0.11118	0.144551	0.0461864	0.292191	0.145761	0.056591	0.0130717	0.143622
a	0.355206	0.0258761	0.132425	0.104856	0.0464784	0.16014	0.089479	0.0379831	0.0163887	0.0311684
b	0.0218355	0.00417243	0.0250454	0.0060508	0.00301049	0.510918	0.390525	0.0223444	0.00497456	0.0111227
ω	0.0347841	0.000430802	0.0366714	0.0356947	0.0227633	0.454926	0.35347	0.0360587	0.0120492	0.0131526
n	0.00248989	0.000304512	0.0203984	0.0118883	0.00560079	0.312299	0.592137	0.0323006	0.00737728	0.0152045
g	0.0240259	0.00186894	0.0291295	0.0311198	0.00420855	0.32214	0.450309	0.0820058	0.0189519	0.0362407
ώ	0.0331389	0.00363332	0.0226919	0.233614	0.00769818	0.130332	0.165109	0.250113	0.033909	0.119761
d	0.00397519	0.00109789	0.00842958	0.0145624	0.00138386	0.054046	0.158334	0.51507	0.232413	0.0106882
z	0.00596332	0.000613126	0.000463897	0.00026285	6.72165e-05	0.0146604	0.0699951	0.129476	0.716293	0.0622045
ú	0.000284085	1.02509e-05	4.80604e-05	6.74614e-05	1.34777e-05	0.000763522	0.00296125	0.0211352	0.972974	0.00174273
m	0.0011673	0.000581198	0.00134949	0.00186805	0.00378422	0.0103514	0.0253161	0.045061	0.87533	0.0351908
b	0.000880292	0.000252399	0.00132924	0.00221675	0.000571052	0.0209086	0.0568466	0.190403	0.497865	0.228727
u	0.00357246	0.000612609	0.000747738	0.00346202	0.000583346	0.00447333	0.00829278	0.0277293	0.918633	0.0318933
</S>	0.000619341	6.44738e-05	0.00277533	0.00154477	4.23974e-05	0.0146579	0.0636075	0.16517	0.0746395	0.676879
