 	maman	est	en	train	de	moudre	le	sésame	avec	la	pierre	noire	</S>
m	0.717243	0.152025	0.0219744	0.0137638	0.0146563	0.0058343	0.0382883	0.011019	0.00717344	0.00327304	0.00765288	0.00705667	3.99875e-05
a	0.122851	0.618053	0.0949711	0.0420328	0.0636646	0.00581764	0.0122393	0.00416694	0.00278439	0.00274744	0.0260866	0.000593876	0.00399105
á	0.0510577	0.64926	0.129914	0.0748667	0.0612992	0.00909098	0.0172853	0.00118619	0.00122728	0.00133916	0.00296243	0.000294108	0.000216771
b	0.040388	0.308273	0.288401	0.0329437	0.127437	0.017164	0.00905785	0.00218571	0.00675047	0.00779356	0.0138642	0.00166115	0.14408
ó	0.00174695	0.204251	0.302199	0.242743	0.183773	0.00683857	0.00348347	0.00214973	0.00617164	0.00470806	0.0221961	0.00185487	0.017885
l	0.00781437	0.0914354	0.572104	0.141254	0.0909664	0.0288797	0.0152386	0.00161658	0.00514936	0.00511067	0.0165716	0.00102695	0.0228327
á	0.00122205	0.0966255	0.203397	0.007256	0.144106	0.319041	0.044226	0.0109324	0.0236854	0.0262216	0.043604	0.00535785	0.0743255
a	0.00545935	0.283639	0.149401	0.0205406	0.116659	0.211599	0.0837073	0.026185	0.0138106	0.0162053	0.0308966	0.0075299	0.0343685
s	0.000349564	0.0267415	0.00608391	0.0011168	0.0324879	0.859607	0.0191151	0.0464134	0.00187494	0.00171139	0.000899844	0.000966891	0.00263153
i	0.000247395	0.0496002	0.00843413	0.000521311	0.00875818	0.905592	0.0147773	0.00522129	0.00104662	0.00239472	0.000652289	0.000129089	0.00262551
á	0.000199974	0.0603471	0.083351	0.00170374	0.0490202	0.573799	0.142562	0.0427835	0.0109148	0.0154196	0.00466154	0.000711189	0.0145266
o	3.72797e-05	0.00525692	0.0235514	0.00217028	0.0395634	0.087663	0.579807	0.101378	0.0831998	0.0355842	0.0201031	0.00843416	0.013252
p	4.19165e-05	0.00396945	0.000972152	0.00057816	0.00306944	0.134633	0.220677	0.540233	0.0609386	0.0234712	0.00514156	0.00433575	0.0019384
f	2.04175e-06	0.00153175	0.000730247	0.000140922	0.000712593	0.0158294	0.0372264	0.916968	0.0164702	0.00539518	0.000735162	0.00212249	0.00213561
u	9.46558e-07	0.0010451	0.000731245	6.31067e-05	0.000515738	0.019234	0.0289516	0.901884	0.0272222	0.0104082	0.00139329	0.00376628	0.00478481
n	0.000167551	0.00352482	0.0151454	0.00438233	0.0141726	0.0268036	0.184286	0.647343	0.0461331	0.0215962	0.00866122	0.00486373	0.0229206
y	1.8758e-05	0.00365698	0.00525601	0.000202052	0.0117752	0.0034538	0.267693	0.441777	0.13866	0.082599	0.014008	0.00496725	0.0259334
ε	1.48437e-06	0.000547736	0.00221319	0.000125067	0.00158201	0.00167812	0.0500605	0.768145	0.0723979	0.0330143	0.00570386	0.0283201	0.0362108
m	6.26165e-06	0.00129663	0.00510644	7.25632e-05	0.0132161	0.00538147	0.236327	0.0799955	0.372134	0.182292	0.0780944	0.00442177	0.0216559
ó	1.49007e-05	0.00544608	0.00441636	0.000428925	0.00647001	0.000239595	0.0176956	0.0416498	0.274991	0.227971	0.0940298	0.0947262	0.231921
b	0.000296234	0.00177205	0.000979069	0.000598363	0.00138741	0.000721972	0.0281946	0.0514957	0.236411	0.210199	0.0709864	0.382476	0.0144821
ó	3.29634e-05	0.00219329	0.00258664	0.000626412	0.0013707	0.000730292	0.0178304	0.0551304	0.18103	0.20309	0.0700871	0.444311	0.0209804
n	3.42518e-06	0.000349076	0.00176281	0.00135397	0.000592376	0.000984389	0.0098028	0.0695665	0.14799	0.167751	0.0609876	0.461507	0.0773498
g	4.74279e-05	0.00395565	0.00714245	0.00200408	0.00394866	0.00219242	0.0235634	0.0230582	0.24383	0.309313	0.207682	0.0807666	0.0924961
á	0.000126493	0.00137469	0.00404694	0.00306986	0.00062698	0.000100101	0.00833337	0.0782838	0.262304	0.208959	0.0539345	0.201277	0.177564
b	3.74001e-06	0.000444408	0.00101229	3.13401e-05	0.00190484	0.000450804	0.00666598	0.0046698	0.0720605	0.15106	0.405002	0.0965253	0.260168
o	1.3299e-05	0.00120578	0.00911762	0.000620383	0.00641577	0.000930911	0.00707681	0.00397298	0.0418871	0.100013	0.195287	0.499061	0.134398
n	4.92306e-06	0.000368422	0.00105279	9.26221e-05	0.000268374	0.000557148	0.00604916	0.0235807	0.0339047	0.0739819	0.113417	0.573542	0.17318
g	1.5849e-05	0.00123459	0.000876384	0.000189512	0.000740886	0.000773468	0.0112581	0.0695035	0.0926404	0.178325	0.188928	0.340245	0.115269
a	2.38542e-05	0.000441336	0.00109903	0.000711449	0.000285861	9.49835e-05	0.00361809	0.0320055	0.059669	0.0695382	0.0416717	0.630608	0.160233
</S>	3.8629e-06	0.000561886	0.00150277	3.28434e-05	0.00166947	0.000523117	0.00713213	0.00303421	0.0379542	0.0857458	0.341719	0.0948357	0.425285
