 	attends-moi	j'	arrive	</S>
k	0.776224	0.219181	0.00374811	0.000846885
o	0.982877	0.0116743	0.00349332	0.00195526
n	0.333518	0.577103	0.0378235	0.0515556
g	0.0418508	0.888645	0.035952	0.0335517
á	0.323162	0.631295	0.0217208	0.023823
á	0.15686	0.645691	0.124505	0.0729435
n	0.0238696	0.319143	0.497754	0.159233
g	0.000614476	0.986827	0.00644873	0.00611007
á	0.0200775	0.948418	0.0178413	0.0136631
é	0.13887	0.132976	0.359836	0.368319
e	0.0455966	0.0467597	0.702197	0.205446
w	0.036574	0.00530456	0.524423	0.433698
ú	0.0540882	0.0887075	0.315398	0.541806
u	0.127185	0.103171	0.313915	0.455729
l	0.134848	0.029542	0.319415	0.516196
í	0.0119193	0.0570854	0.350561	0.580435
i	0.00384682	0.313976	0.136228	0.545949
y	0.0961986	0.0310032	0.443102	0.429696
a	0.0202262	0.00889358	0.0490927	0.921788
a	0.015161	0.00642603	0.0262932	0.95212
</S>	0.00375884	0.0628602	0.085374	0.848007
