 	elle	fait	une	bobine	de	coton	</S>
w	0.900638	0.0523292	0.0366121	0.00356719	0.00654948	0.000155858	0.000148223
a	0.7655	0.0362742	0.0640817	0.078037	0.0551543	0.000725063	0.000227315
a	0.181529	0.597282	0.148355	0.0104676	0.0188999	0.00460836	0.0388579
k	0.0573833	0.488131	0.337906	0.0215497	0.00977052	0.00322016	0.0820389
y	0.0688677	0.444943	0.277823	0.0873825	0.0203972	0.0168508	0.0837363
é	0.132118	0.502059	0.269497	0.0504671	0.0165783	0.0161016	0.013179
ω	0.0629779	0.274713	0.227956	0.133431	0.0736214	0.0703623	0.156938
b	0.00196532	0.0428757	0.160766	0.63627	0.0603543	0.0922187	0.00555016
ώ	0.0177881	0.239414	0.235117	0.328215	0.0247832	0.142027	0.0126554
m	0.0033316	0.0372121	0.0688593	0.496847	0.0211941	0.349465	0.023091
b	0.00363647	0.0106846	0.0599565	0.368493	0.249732	0.0263837	0.281113
ώ	0.00350694	0.00498491	0.0191497	0.697047	0.104035	0.0156585	0.155618
m	0.00662344	0.00732433	0.0391941	0.157575	0.596758	0.108976	0.0835493
á	0.0158918	0.00441384	0.022783	0.106389	0.400585	0.0262374	0.4237
k	0.014374	0.00927827	0.077229	0.0465054	0.300117	0.486481	0.0660155
ω	0.000219931	0.00058178	0.00217174	0.00590278	0.00266654	0.978874	0.00958349
t	1.60171e-05	0.000139678	0.000619722	0.00656873	0.00179503	0.985483	0.00537827
ώ	0.00120073	0.00191163	0.00390751	0.0373499	0.0312651	0.782389	0.141976
</S>	0.000909546	0.00298439	0.00784507	0.0305948	0.125952	0.261553	0.570161
