 	l'	enfant	fait	un	effort	pour	faire	des	selles	</S>
m	0.761165	0.185966	0.00976492	0.00612541	0.0258123	0.00437063	0.00188787	0.00433193	0.000395321	0.000180202
w	0.010063	0.972786	0.00486941	0.00479714	0.00148106	0.00372081	0.000453235	0.000432807	0.000464291	0.000932251
á	0.00209031	0.997264	0.000102023	0.000298979	4.18855e-05	6.39726e-05	7.04521e-05	1.18997e-05	4.8311e-05	8.06094e-06
n	0.123477	0.873754	0.00052069	0.000438728	8.2786e-05	0.000506681	7.82619e-05	7.47227e-05	2.92522e-05	0.00103801
a	0.199866	0.557275	0.0240404	0.0296218	0.00146163	0.00332271	0.00343015	0.0021789	0.00693387	0.17187
n	0.542489	0.0198298	0.243297	0.107054	0.0387417	0.00872089	0.00626741	0.0209071	0.00303932	0.009653
d	0.316724	0.0729953	0.162246	0.150749	0.0232839	0.0166785	0.00948789	0.018736	0.00871048	0.220389
z	0.267301	0.143043	0.155038	0.235395	0.0276325	0.00861864	0.0131987	0.0104992	0.0118729	0.1274
é	0.345362	0.3439	0.0330652	0.121661	0.00748018	0.00651797	0.0341914	0.0202631	0.0514103	0.0361495
s	0.281114	0.0175159	0.108301	0.253279	0.150047	0.0234139	0.0372372	0.0394575	0.0145495	0.0750855
i	0.173057	0.181228	0.0996864	0.30765	0.088756	0.0174787	0.0313742	0.0308093	0.0229932	0.0469669
l	0.0537705	0.00401031	0.290341	0.273471	0.210644	0.0877302	0.0136096	0.0478251	0.00658652	0.0120118
á	0.0644908	0.0015702	0.135027	0.106821	0.109648	0.149613	0.050533	0.0435341	0.0106775	0.328087
a	0.134153	0.00894086	0.12396	0.113359	0.0275207	0.158748	0.0735051	0.315966	0.0223919	0.0214548
k	0.00314166	0.00112774	0.0479629	0.0615685	0.0782946	0.126033	0.528152	0.0586264	0.0488544	0.0462389
í	0.00013336	4.5761e-05	0.0463503	0.0503241	0.0446514	0.0283316	0.718973	0.0362379	0.0205822	0.0543707
m	0.000320858	0.000163706	0.0477356	0.0519785	0.0798326	0.0278174	0.565351	0.0244652	0.0404231	0.161912
á	0.000942613	0.000380303	0.00215819	0.0071538	0.00148496	0.151842	0.311892	0.316527	0.155598	0.0520216
a	0.00581346	0.00120675	0.00880553	0.0182164	0.00272222	0.164014	0.0790033	0.351731	0.239856	0.128631
m	0.00145478	0.00055686	0.00533037	0.0107842	0.013241	0.0314795	0.0717071	0.0677748	0.729567	0.0681049
b	0.00103183	0.00167221	0.00521099	0.00885561	0.00509629	0.0092545	0.0191978	0.0304077	0.892815	0.0264578
í	0.00144746	0.000718982	0.013268	0.0323647	0.00458004	0.0433017	0.0674095	0.105547	0.554834	0.176529
</S>	0.00206233	0.0015341	0.0137793	0.0154208	0.0020706	0.0595338	0.0451111	0.105287	0.137635	0.617566
