 	il	est	très	brun	</S>
w	0.963453	0.0241325	0.0101023	0.00225927	5.31036e-05
a	0.977987	0.00675639	0.00519898	0.00997446	8.29769e-05
a	0.202499	0.701278	0.085405	0.000742709	0.0100755
d	0.0527471	0.415808	0.439281	0.0353764	0.0567875
í	0.0233454	0.694447	0.0789031	0.000955901	0.202348
o	0.0156833	0.202488	0.184467	0.0113888	0.585973
b	0.00126696	0.0893618	0.189373	0.476897	0.243101
ε	0.00145944	0.0685478	0.0852975	0.804908	0.0397869
n	0.00231616	0.0191203	0.0858782	0.741099	0.151586
g	0.121043	0.137475	0.29984	0.280161	0.161481
έ	0.514245	0.0171352	0.0612629	0.200236	0.20712
b	0.00249081	0.001346	0.0465343	0.892847	0.0567819
ε	0.00120048	0.0020306	0.00512455	0.980786	0.010858
n	0.000874631	0.00229966	0.00931489	0.941096	0.0464152
g	0.0149129	0.0101532	0.0781819	0.778161	0.118591
ε	0.0850103	0.00611506	0.0805986	0.683294	0.144982
</S>	0.00415983	0.0269846	0.170695	0.0596672	0.738494
