 	elle	a	une	belle	plantation	</S>
w	0.974441	0.0176201	0.00221382	0.00392448	0.00175199	4.83469e-05
a	0.911495	0.00918326	0.00134785	0.0735172	0.00438981	6.72625e-05
a	0.201811	0.66935	0.0900741	0.020922	0.00130595	0.0165372
d	0.0826982	0.58061	0.189818	0.0707626	0.00158332	0.0745276
í	0.0538235	0.469844	0.234643	0.00943267	0.000578909	0.231678
l	0.0192677	0.115186	0.416488	0.0959618	0.0124232	0.340672
a	0.0333242	0.142307	0.377757	0.0567703	0.0234057	0.366436
n	0.0135564	0.0803494	0.339378	0.08367	0.375755	0.107292
g	0.000831034	0.00635987	0.0622017	0.0708699	0.75641	0.103327
o	0.00178728	0.00916649	0.0464855	0.0537613	0.843288	0.0455111
n	4.27693e-05	0.000162845	0.00527022	0.0181566	0.887015	0.0893531
d	0.000977393	0.00397502	0.120539	0.0305409	0.1344	0.709567
a	0.00525326	0.00245442	0.044012	0.0233129	0.265618	0.659349
m	0.0254066	0.0350704	0.129206	0.303302	0.123149	0.383866
b	0.01549	0.0119031	0.0324139	0.661652	0.178227	0.100314
v	0.00389697	0.00256076	0.0123259	0.919686	0.0273391	0.0341911
έ	0.000838769	0.000823493	0.0121836	0.528583	0.222023	0.235548
</S>	0.000179778	0.00151353	0.010815	0.0916292	0.0074767	0.888386
