 	pendant	la	période	de	pluies	les	gens	attrapent	des	poissons	dans	les	barrages	à	nasses	</S>
m	0.407116	0.498325	0.0177881	0.0346821	0.0112933	0.0116094	0.0128711	0.000933124	0.0015358	0.000475055	0.00176953	0.000577543	1.77003e-05	0.000925547	6.41912e-05	1.66682e-05
ó	0.0842567	0.209828	0.2647	0.130104	0.0342478	0.0451663	0.00825607	0.0029092	0.0189919	0.0349755	0.021136	0.00807711	0.0246205	0.0532001	0.00327242	0.0562583
n	0.134661	0.390354	0.45207	0.012345	0.00480365	0.00123399	0.000445273	0.000605878	0.000660519	0.000453103	0.000283408	0.00024353	0.000545047	0.000169947	0.000496022	0.00062986
d	0.0515934	0.212742	0.620647	0.0525727	0.0114215	0.0125637	0.00271022	0.0016603	0.00355517	0.00349904	0.00131023	0.00109007	0.00948458	0.0015522	0.00119788	0.0124003
i	0.054337	0.305456	0.593152	0.00883282	0.00511019	0.00285012	0.0012228	0.00117441	0.00159323	0.00179806	0.000526106	0.000491349	0.00366914	0.000714947	0.000957719	0.0181141
e	0.0667596	0.233034	0.598325	0.0528577	0.0224508	0.00626218	0.00243311	0.000600748	0.00120682	0.00152512	0.000716563	0.000578374	0.000813044	0.000728498	0.00330271	0.00840588
m	0.161316	0.186336	0.200774	0.242234	0.067161	0.0300172	0.0379916	0.00436032	0.0160901	0.0104262	0.0089184	0.00775227	0.00134972	0.0111304	0.00117297	0.0129697
á	0.156476	0.0909341	0.190867	0.199507	0.0964553	0.0442843	0.0547033	0.00684543	0.0457402	0.0166044	0.0132653	0.0183056	0.0077763	0.0211095	0.00361862	0.0335076
l	0.31495	0.119686	0.116572	0.147545	0.0943113	0.0584715	0.053849	0.0124551	0.0189404	0.0189386	0.00669169	0.00828063	0.0126916	0.00498735	0.00262619	0.00900462
e	0.0705234	0.0410526	0.362376	0.227873	0.145454	0.0332139	0.0177192	0.00938683	0.00958825	0.014775	0.0077073	0.00459314	0.00733995	0.0100214	0.00511862	0.0332574
k	0.0294841	0.0346089	0.160809	0.332769	0.17873	0.0446101	0.06444	0.0284247	0.0158729	0.0164227	0.0129946	0.0122266	0.0137605	0.0128707	0.00959838	0.0323786
á	0.0618538	0.0352523	0.123026	0.233722	0.266573	0.0309775	0.0958769	0.1292	0.00470656	0.00120777	0.00250318	0.00198361	0.00221159	0.000543111	0.00396332	0.00639862
a	0.00992065	0.00940426	0.0172136	0.0914973	0.157708	0.0861363	0.170509	0.117694	0.0124702	0.0193364	0.0143372	0.0114681	0.0608973	0.0082225	0.0112343	0.201951
b	0.00481869	0.00303053	0.0232292	0.160169	0.293727	0.176036	0.246318	0.0362669	0.0135305	0.00727362	0.00895941	0.00493975	0.00216471	0.0105458	0.000994704	0.00799502
a	0.0191912	0.00640892	0.00966673	0.0621866	0.162617	0.177897	0.40495	0.0696818	0.0237179	0.0124088	0.0201212	0.00914524	0.00445138	0.00350246	0.00626731	0.00778686
r	0.00546155	0.00351984	0.00907891	0.0606233	0.120154	0.318732	0.34736	0.0424089	0.013261	0.0116491	0.0104783	0.00557704	0.0112185	0.00307486	0.00302358	0.0343792
e	0.0132139	0.00843006	0.124265	0.114941	0.249363	0.240172	0.124047	0.0167501	0.0168097	0.0312587	0.00998625	0.00434411	0.0104646	0.00580143	0.00210578	0.0280484
b	0.00339393	0.00377924	0.0126689	0.122296	0.136426	0.215977	0.338675	0.0466193	0.029111	0.0171792	0.0222332	0.00956029	0.00291395	0.0174238	0.00176693	0.019976
á	0.0573467	0.0219465	0.00484487	0.0418224	0.0818638	0.188224	0.432302	0.0513657	0.038514	0.0310608	0.0271258	0.0102507	0.005058	0.00302718	0.00164538	0.00360152
a	0.0144294	0.0156902	0.00422063	0.0365917	0.0401527	0.239026	0.35943	0.0671989	0.071752	0.028707	0.0350308	0.0226036	0.0245224	0.0191017	0.00437483	0.0171683
p	0.00197988	0.00210727	0.0123311	0.00895448	0.0219569	0.0220394	0.0640585	0.760321	0.018176	0.0223227	0.0367203	0.00878924	0.00593801	0.00833506	0.0021793	0.00379043
i	9.29771e-05	0.000284433	0.00175814	0.00178798	0.00694231	0.00374829	0.0237075	0.931781	0.00537388	0.00265407	0.00577099	0.00258882	0.00400012	0.00102503	0.00181107	0.00667316
á	0.000319212	0.000938026	0.00387571	0.00825422	0.0281921	0.0132161	0.0528687	0.841459	0.00860906	0.00137592	0.00724362	0.00324278	0.000894581	0.00148365	0.00521043	0.0228165
a	0.000631623	0.000367521	0.000867769	0.00697331	0.0333997	0.0851692	0.277854	0.139936	0.131373	0.0526595	0.159571	0.0605541	0.00718619	0.0149788	0.00577713	0.0227013
s	0.00164837	0.000762199	0.0045959	0.00953991	0.0160206	0.0397649	0.0511549	0.0885494	0.163779	0.189417	0.260604	0.102264	0.0179887	0.0338626	0.00917874	0.0108691
w	0.000620645	0.000424248	0.00405731	0.00745146	0.00916745	0.0108448	0.00757911	0.0469603	0.023061	0.38325	0.235366	0.0565259	0.145507	0.0298122	0.00740421	0.0319685
é	0.000186194	0.000110095	0.0021019	0.00263398	0.00627948	0.0077037	0.00539902	0.0325676	0.0560604	0.282745	0.247908	0.0966225	0.233645	0.0127851	0.00684613	0.00640567
m	9.68228e-05	7.50937e-05	0.000587464	0.00132833	0.004485	0.00902872	0.0162275	0.0684025	0.0856714	0.169242	0.274728	0.156304	0.107703	0.044182	0.0281848	0.0337546
ó	0.00108134	0.000630117	0.000792716	0.00273031	0.00272926	0.00807629	0.0100544	0.0157568	0.136339	0.190773	0.112847	0.187612	0.156698	0.0519442	0.00745662	0.114479
m	0.00284703	0.00141286	0.00236476	0.00338975	0.00363156	0.00344228	0.0060436	0.0258179	0.0366932	0.0432923	0.12319	0.260651	0.112135	0.167985	0.176773	0.0303303
a	0.00014358	0.000457646	0.000564301	0.00160378	0.000538467	0.000662152	0.000570846	0.00153347	0.0142279	0.0991188	0.0382518	0.0905119	0.630972	0.0500207	0.0113685	0.0594539
n	0.000338481	0.000514262	0.000496512	0.00213267	0.00148102	0.00218484	0.00269871	0.0183557	0.0262868	0.0177549	0.048609	0.197777	0.411868	0.0793317	0.159664	0.0305065
d	0.000889313	0.00140584	0.0308236	0.0141383	0.0122997	0.0131604	0.00471661	0.00353711	0.0358457	0.0632514	0.0368014	0.107262	0.228093	0.0786567	0.201224	0.167895
e	0.00015456	0.000504599	0.0103503	0.00159083	0.00185747	0.00123297	0.000532204	0.00182502	0.00894754	0.0225	0.0120795	0.030039	0.263137	0.0610821	0.205657	0.37851
</S>	4.2073e-05	0.000142614	0.00125485	0.00105973	0.00194162	0.00258738	0.00370017	0.00968812	0.0162535	0.0392474	0.0385863	0.0628057	0.0931152	0.077268	0.195962	0.456345
