 	la	manière	dont	sa	mère	l'	avait	d'	habillé	a	plu	aux	gens	</S>
e	0.462754	0.390342	0.0267738	0.00977538	0.078891	0.00932977	0.00805742	0.0034732	0.00412216	0.00181727	0.00240732	0.000933783	0.000239078	0.00108315
l	0.000927929	0.00232801	0.00267687	0.00083486	0.0303718	0.170763	0.0639711	0.0112058	0.603503	0.0168835	0.0748243	0.0170461	0.00251932	0.00214376
á	0.00041758	0.00632586	0.00250526	0.000442515	0.00579008	0.242377	0.108328	0.0136504	0.570477	0.0167098	0.0279665	0.00182391	0.000402061	0.00278423
á	8.514e-05	0.00200732	0.00378297	0.00777746	0.0138634	0.155032	0.243762	0.0891375	0.399948	0.0365603	0.0299521	0.0112598	0.00141789	0.00541474
s	0.0372912	0.015498	0.0711041	0.332366	0.0643338	0.144802	0.141989	0.117114	0.021574	0.0218762	0.00234764	0.0103913	0.00529609	0.0140162
í	0.0793439	0.0452192	0.032969	0.106299	0.0632976	0.101787	0.0920676	0.0303982	0.140183	0.0505935	0.0214425	0.0683725	0.018903	0.149124
l	0.343002	0.0747542	0.0477928	0.177849	0.0527639	0.0555784	0.0475358	0.10777	0.0332891	0.0202775	0.00741017	0.0112441	0.00460783	0.0161255
í	0.183242	0.0326425	0.132688	0.120875	0.046623	0.0437695	0.0511218	0.0234883	0.0337511	0.0219416	0.00640591	0.0355591	0.00484334	0.263048
y	0.042228	0.215063	0.184986	0.0423465	0.0747825	0.085141	0.0687092	0.0968945	0.0493289	0.0272229	0.00700382	0.0279348	0.0110461	0.0673121
é	0.0651754	0.142755	0.384242	0.0281039	0.231017	0.043371	0.0148454	0.029674	0.0183372	0.00687824	0.00177741	0.00536726	0.00284476	0.0256108
é	0.129187	0.146268	0.232664	0.0680942	0.0723901	0.0881485	0.051873	0.067187	0.0477856	0.0125865	0.00206696	0.0115759	0.00505471	0.065119
l	0.0105642	0.00210374	0.0736286	0.0270912	0.108233	0.112521	0.0516836	0.0306275	0.354282	0.0407098	0.109267	0.0118511	0.00403955	0.0633986
