 	il	se	laisse	berner	par	tout	le	monde	</S>
w	0.865691	0.0816873	0.0270002	0.0115694	0.00323914	0.000925689	0.00892521	0.00089727	6.45304e-05
a	0.791121	0.107805	0.0300488	0.032336	0.0175446	0.00106495	0.018491	0.0015045	8.4182e-05
l	0.349041	0.407635	0.132834	0.0289487	0.0258044	0.0193972	0.0199363	0.00252975	0.013874
á	0.170728	0.221705	0.070651	0.122169	0.118842	0.0362756	0.0447496	0.00722326	0.207657
a	0.260615	0.266298	0.109155	0.187237	0.0576202	0.0116275	0.0316125	0.0148528	0.0609808
b	0.0277658	0.715166	0.199437	0.0116065	0.00913469	0.0167891	0.00145495	0.00324905	0.0153971
é	0.0556379	0.857994	0.0603745	0.00800631	0.00810096	0.00272176	0.00120797	0.000697266	0.00525936
n	0.0250506	0.260953	0.611465	0.0101341	0.0147095	0.0176336	0.00511498	0.00312	0.05182
y	0.0307158	0.155661	0.70659	0.0293208	0.0251203	0.0161958	0.0118367	0.00144685	0.0231127
á	0.0227735	0.0637096	0.607368	0.0752055	0.0598541	0.0338948	0.0259961	0.0067656	0.104433
p	0.0167791	0.023261	0.286006	0.575026	0.0607924	0.018656	0.0139897	0.00310184	0.00238804
ώ	0.00324416	0.00377605	0.0803232	0.739749	0.0683936	0.0772191	0.0020586	0.0164195	0.008817
ω	0.00103857	0.00591408	0.077813	0.632926	0.080346	0.117518	0.0125195	0.0173906	0.0545342
ω	0.00598671	0.0061837	0.0805433	0.154415	0.525524	0.130723	0.0662468	0.0156681	0.0147096
t	0.00515361	0.0130192	0.0268315	0.0223714	0.259758	0.372986	0.151795	0.116411	0.0316744
s	0.00115151	0.00811434	0.0400461	0.021005	0.0512619	0.538405	0.0312628	0.25254	0.0562135
a	0.00158764	0.0088709	0.127862	0.127319	0.0954285	0.377356	0.0324211	0.163447	0.0657078
ω	0.00427954	0.00497059	0.0476079	0.0261917	0.108267	0.317852	0.105788	0.0703027	0.314741
t	0.00230685	0.00985814	0.0242654	0.0145727	0.0704467	0.227054	0.294666	0.216733	0.140097
s	0.000756718	0.00531766	0.0400523	0.00812387	0.0289069	0.421872	0.0460137	0.386105	0.0628519
a	0.000787523	0.00295366	0.0826423	0.0446239	0.0540358	0.367636	0.0430564	0.370438	0.0338263
</S>	0.000815215	0.00106743	0.0100151	0.00205137	0.0132091	0.0810111	0.0833967	0.0969193	0.711515
