 	les	personnes	âgées	aiment	jouer	au	poker	traditionnel	</S>
b	0.339758	0.630381	0.0244716	0.000173181	0.00264509	0.000914243	0.00156062	8.42524e-05	1.19354e-05
a	0.0797055	0.802795	0.105825	0.000111377	0.00285748	0.00196157	0.00307573	0.00363474	3.3319e-05
r	0.00522318	0.986929	0.00488789	4.91619e-05	0.000175502	0.000133584	0.000173878	0.00241376	1.39414e-05
e	0.157502	0.818439	0.013317	0.00021065	0.00129159	0.00155874	0.00108107	0.00255513	0.00404428
a	0.371483	0.291792	0.266813	0.0215445	0.0224121	0.0103453	0.00167685	0.000499929	0.0134344
m	0.144673	0.111356	0.411182	0.185883	0.0727506	0.0189321	0.00607155	0.000775794	0.0483755
w	0.0408543	0.0833821	0.628284	0.165924	0.0219077	0.0155632	0.00420807	0.00403655	0.0358404
ε	0.131714	0.134285	0.452509	0.0711735	0.0276058	0.0396658	0.0543288	0.0484527	0.0402655
á	0.0388812	0.0232267	0.164455	0.302267	0.0245736	0.0419412	0.0111455	0.0138707	0.379639
d	0.0364204	0.00897393	0.23235	0.269303	0.239312	0.101926	0.0282428	0.00600139	0.0774709
í	0.0138399	0.00246458	0.0343867	0.589459	0.0532833	0.0428236	0.00731671	0.000295354	0.256131
l	0.00445444	0.00414979	0.0212165	0.539465	0.20228	0.052296	0.0755646	0.00105871	0.0995156
a	0.0026585	0.00114194	0.0258324	0.353383	0.165425	0.112297	0.0155291	0.00230716	0.321425
p	0.0162069	0.00725073	0.0189033	0.253712	0.114066	0.169753	0.264794	0.066897	0.0884173
ó	0.003067	0.00868829	0.0150238	0.560923	0.0749281	0.0725289	0.217847	0.0262498	0.0207446
s	0.000342025	0.000457931	0.00325814	0.76923	0.0367204	0.060686	0.0560323	0.00266029	0.0706125
á	0.0040794	0.00107099	0.00148848	0.279931	0.191435	0.147394	0.277133	0.00200702	0.0954606
o	0.00430594	0.00729499	0.0112364	0.0335745	0.189012	0.175883	0.380032	0.125372	0.0732884
b	0.00645554	0.00369416	0.0021374	0.136446	0.218206	0.24224	0.273272	0.0657208	0.051829
έ	0.00460767	0.0105207	0.0100754	0.0349602	0.222681	0.291984	0.290962	0.101534	0.0326749
r	0.000387011	0.00042766	0.00047776	0.0632505	0.0762607	0.276284	0.298464	0.0461921	0.238256
έ	0.0110659	0.00440723	0.00987067	0.0506191	0.155365	0.231026	0.125129	0.0240204	0.388497
l	0.00378611	0.00155067	0.00458357	0.00872302	0.151282	0.171056	0.0740707	0.11861	0.466338
e	0.017191	0.00577977	0.0074685	0.0237805	0.153132	0.421066	0.0678742	0.0437699	0.259938
b	0.0264186	0.00528693	0.00577545	0.00650663	0.0479861	0.278969	0.153358	0.210614	0.265085
ε	0.00912783	0.041194	0.0169688	0.00328094	0.364674	0.282708	0.110439	0.149171	0.0224367
s	0.00159199	0.00365409	0.000471242	0.00216082	0.0893532	0.247853	0.214663	0.304513	0.135739
ε	0.00251289	0.0018358	0.00056648	0.00726563	0.0876723	0.349166	0.0693151	0.0385547	0.443111
</S>	0.00436839	0.000441797	0.00223524	0.00576036	0.0385726	0.0408623	0.0112053	0.00920514	0.887349
