 	quel	chemin	a	pris	le	chasseur	</S>
o	0.483652	0.240034	0.201795	0.0236079	0.0260643	0.0240521	0.000794889
b	0.0675891	0.162317	0.229931	0.194742	0.00621526	0.317831	0.0213746
e	0.0103939	0.223067	0.105385	0.607978	0.0112151	0.035524	0.00643813
n	0.00106847	0.0954791	0.141852	0.58539	0.0242964	0.130414	0.0215007
g	0.0752215	0.20464	0.160688	0.336939	0.0238363	0.0281144	0.17056
i	0.251565	0.409531	0.108799	0.137044	0.0308961	0.0433162	0.0188496
á	0.12511	0.126959	0.2034	0.0574551	0.398361	0.0425191	0.0461962
d	0.00805343	0.0361126	0.150362	0.336511	0.140944	0.0359241	0.292094
z	0.00208971	0.00108722	0.00826899	0.084389	0.0826142	0.0293094	0.792241
w	0.0744501	0.00660725	0.0391225	0.212642	0.284694	0.0767691	0.305715
e	0.0127834	0.00346035	0.0231205	0.286591	0.256772	0.060561	0.356712
m	0.00226497	0.00800855	0.0213156	0.100738	0.328537	0.0579985	0.481137
ó	0.00251703	0.00154264	0.00492565	0.0541871	0.156364	0.156254	0.62421
k	0.00197156	0.0147687	0.0148415	0.0674489	0.245676	0.0779003	0.577393
ó	0.00168564	0.0247442	0.0145673	0.188472	0.0642081	0.0905361	0.615787
ó	0.000512719	0.0112341	0.0101327	0.0927107	0.0640161	0.0464191	0.774975
w	0.0146446	0.0212553	0.0517418	0.0538911	0.086938	0.0109422	0.760587
o	0.0345383	0.0944552	0.0620461	0.129172	0.208205	0.00962864	0.461955
</S>	0.00346998	0.0136089	0.00758439	0.00966761	0.0675001	0.00262782	0.895541
