 	maman	tire	l'	enfant	par	le	bras	</S>
m	0.255886	0.238051	0.282671	0.165264	0.0408898	0.0148806	0.000864173	0.00149268
a	0.952668	0.0151482	0.0202232	0.00525425	0.00315587	0.00176721	4.15876e-05	0.00174158
á	0.473467	0.282259	0.0543758	0.138241	0.018103	0.0102047	0.0155714	0.00777795
l	0.0965035	0.15726	0.0807552	0.0419255	0.0379716	0.0446717	0.0196725	0.52124
á	0.0235217	0.0366065	0.0866577	0.0293083	0.0813423	0.0556671	0.0068681	0.680028
a	0.0148301	0.289733	0.143886	0.1355	0.0583919	0.0573796	0.0105924	0.289688
d	0.027588	0.883477	0.0370522	0.0173486	0.0138031	0.00423818	0.00703707	0.00945536
u	0.000421072	0.978584	0.00628652	0.000705754	0.00390725	0.000585291	0.000369297	0.00914117
r	0.057616	0.757379	0.0880897	0.0124488	0.0273075	0.00847795	0.00224902	0.0464317
á	0.000432191	0.543509	0.223713	0.0310816	0.0693524	0.0273554	0.00142229	0.103134
á	0.000892519	0.504758	0.398604	0.0437063	0.0146403	0.0153578	0.00552033	0.0165205
m	0.00156402	0.164633	0.724209	0.0636077	0.0169801	0.0186613	0.00398635	0.00635824
w	0.00035582	0.0496373	0.164807	0.517435	0.0593776	0.0568165	0.0151231	0.136447
á	0.000603218	0.0388872	0.0773642	0.855582	0.0162006	0.00200648	0.00340989	0.00594685
n	0.000354719	0.00973288	0.272436	0.662089	0.0102386	0.0142376	0.00808046	0.0228301
a	0.00125483	0.0381329	0.185533	0.520402	0.0352357	0.0118678	0.00441953	0.203154
m	0.000536992	0.0681009	0.500592	0.0964713	0.158288	0.0968576	0.0269078	0.0522453
é	0.000105364	0.00917826	0.1313	0.262872	0.108991	0.158094	0.0465142	0.282945
b	0.0013495	0.0555867	0.234654	0.0967286	0.305028	0.090828	0.181238	0.0345862
ώ	3.47756e-05	0.0138912	0.0850064	0.0254829	0.100319	0.0135409	0.753376	0.00834921
ω	3.22831e-05	0.00472466	0.028171	0.0208594	0.136911	0.0438532	0.714555	0.050894
</S>	1.50594e-05	0.00150333	0.0297419	0.0567644	0.202028	0.351383	0.1493	0.209264
