 	le	petit	poisson	écailleux	appelé	okísí	est	de	couleur	noir	foncé	</S>
o	0.14803	0.0867657	0.143172	0.114707	0.285349	0.015487	0.0409549	0.0762439	0.0182324	0.0281758	0.0023024	0.0405794
k	0.00309241	0.0107527	0.00318537	0.00866867	0.00921785	0.0188458	0.0177974	0.0643608	0.738644	0.0432224	0.0454129	0.0367999
í	0.00086531	0.00383295	0.00214282	0.0388645	0.013076	0.00731047	0.00711853	0.0188816	0.758793	0.0248386	0.119859	0.00441695
s	0.00374319	0.0402425	0.0484346	0.281696	0.0837202	0.025068	0.026804	0.0321493	0.335362	0.0201211	0.0685409	0.0341173
í	0.087905	0.0560161	0.100425	0.431052	0.0848307	0.021728	0.0266817	0.056837	0.0245667	0.0157227	0.0190453	0.0751907
o	0.0277302	0.0676873	0.144221	0.234584	0.0753053	0.0457231	0.0394105	0.0637149	0.105982	0.0602454	0.0288701	0.106527
d	0.00127454	0.00198674	0.000832242	0.0198357	0.0406692	0.125148	0.051365	0.0682529	0.271096	0.255468	0.0506891	0.113382
í	0.000863969	0.000873292	0.000557826	0.0120795	0.00347114	0.0637532	0.0154629	0.0169703	0.599714	0.0633166	0.0423082	0.180629
p	0.00800228	0.00693116	0.0269999	0.112105	0.128406	0.162958	0.0386851	0.0454549	0.20347	0.0796314	0.143543	0.0438131
i	0.00141993	0.00441989	0.0021854	0.0472066	0.0392078	0.0312056	0.013647	0.0794451	0.352182	0.175252	0.241994	0.0118349
k	0.00269082	0.00862306	0.0181824	0.0552439	0.139315	0.054843	0.04513	0.0888912	0.0820943	0.148048	0.277114	0.0798245
a	0.00219694	0.00341307	0.00190205	0.0332097	0.0219024	0.0232932	0.0256918	0.0975614	0.150852	0.169747	0.417255	0.0529745
r	0.00225224	0.00384295	0.0176429	0.0566449	0.116542	0.0361888	0.0439538	0.0749133	0.029138	0.0543487	0.488185	0.0763472
í	0.00323982	0.00205454	0.00211454	0.00912368	0.00820174	0.0461613	0.072725	0.135632	0.307093	0.187549	0.160187	0.0659188
i	0.0049302	0.00236478	0.00689589	0.00777461	0.0126722	0.04037	0.197612	0.14051	0.0754182	0.291362	0.12068	0.0994094
k	0.00659068	0.00280414	0.0012857	0.00512006	0.00634663	0.0238195	0.0609333	0.0548506	0.0332	0.22936	0.269273	0.306416
a	0.000954316	0.000910602	0.000401713	0.00977925	0.00315474	0.028901	0.0323468	0.0448431	0.0347044	0.0765662	0.622918	0.14452
r	0.000247761	0.000331673	0.000424172	0.0122132	0.0096963	0.0309199	0.0568641	0.125458	0.0497991	0.0453771	0.519871	0.148797
í	0.0017942	0.00151265	0.00114669	0.00588144	0.00717071	0.0352328	0.0868933	0.145339	0.0881549	0.103466	0.26368	0.259729
i	0.00476825	0.00184736	0.00564437	0.00500166	0.00965402	0.0198084	0.118597	0.106608	0.0475036	0.184456	0.100033	0.396079
</S>	0.00780242	0.00394736	0.00103291	0.00650989	0.0058093	0.011933	0.0374251	0.031806	0.0251018	0.135582	0.214894	0.518156
