 	j'	ai	reçu	du	sable	dans	les	yeux	</S>
t	0.633149	0.147791	0.0310973	0.0653835	0.0564335	0.0255226	0.0350301	0.00521336	0.000379437
s	0.161763	0.120391	0.174145	0.259656	0.155414	0.0737408	0.0232039	0.01966	0.0120258
ε	0.0079258	0.0295744	0.23177	0.214393	0.407538	0.0869296	0.00578625	0.00232196	0.013761
n	0.0537449	0.0955185	0.154246	0.145325	0.303195	0.0548296	0.0327442	0.0208652	0.139531
g	0.0215742	0.0603154	0.103628	0.0844357	0.15291	0.117624	0.0182351	0.00455978	0.436717
ε	0.341565	0.124006	0.0716409	0.0351373	0.182118	0.0549342	0.0320014	0.00969878	0.148898
é	0.0230404	0.288675	0.268345	0.178904	0.107172	0.0439951	0.0357131	0.00662191	0.0475334
m	0.0178321	0.197731	0.3438	0.304736	0.0777637	0.0217136	0.00756643	0.00104143	0.0278166
i	0.00659624	0.179669	0.0661853	0.197116	0.0798479	0.12523	0.0814038	0.155102	0.10885
k	0.000140558	0.0413397	0.331846	0.461147	0.0501401	0.0350275	0.00450249	0.00634783	0.069509
ó	1.22712e-05	0.00516804	0.356333	0.48317	0.0464455	0.0615843	0.00311398	0.000443803	0.0437284
á	1.97803e-05	0.0146472	0.381011	0.489057	0.0681111	0.0272018	0.00284955	0.000582653	0.0165196
n	0.00103288	0.00994392	0.0080516	0.0470275	0.288347	0.390441	0.2158	0.020171	0.0191847
g	0.00796674	0.00518528	0.00405126	0.0200898	0.636405	0.218347	0.0778785	0.0119054	0.0181701
á	0.101743	0.00947265	0.00481127	0.0139391	0.650754	0.128258	0.0571175	0.025968	0.00793654
s	6.31749e-05	0.0014446	0.00661433	0.054843	0.309491	0.347543	0.258619	0.0137951	0.00758648
á	0.000412782	0.00244147	0.00557141	0.0246324	0.265046	0.405113	0.143883	0.0447288	0.108171
m	0.000405579	0.000879592	0.00126419	0.00567901	0.113227	0.229856	0.402032	0.205235	0.041421
í	5.58822e-06	0.00037527	0.000427105	0.00163397	0.00930072	0.0380431	0.0837766	0.778295	0.0881426
s	0.000171992	0.00158632	0.00105027	0.006409	0.0160111	0.0929002	0.22139	0.581368	0.079113
i	0.000171232	0.00101516	0.000689584	0.00134184	0.0591613	0.112818	0.10634	0.238564	0.4799
</S>	3.15533e-05	0.000721406	0.00158346	0.00537359	0.0330928	0.0979098	0.0849345	0.10815	0.668203
