 	cette	femme	a	porté	le	deuil	de	son	défunt	frère	</S>
o	0.938849	0.0447521	0.00398551	0.000968012	0.00331841	0.00116136	0.0025718	0.00128657	0.00214953	0.000648672	0.000309161
y	0.0970447	0.893196	0.00251827	0.00577303	0.000302783	0.000250244	0.000112329	0.00013475	0.000175632	0.000359703	0.000132972
ú	0.772796	0.126496	0.00623368	0.0410684	0.00690613	0.0293232	0.00316084	0.00331161	0.00416606	0.00456017	0.00197777
r	0.908985	0.0365421	0.00302386	0.00641908	0.00520616	0.0065562	0.00217713	0.00229514	0.00475537	0.00768621	0.0163536
u	0.93154	0.0152615	0.0119444	0.002624	0.0118763	0.00609927	0.00336169	0.0029144	0.00185205	0.0048607	0.00766587
w	0.253552	0.115833	0.526245	0.0441462	0.00709227	0.00362855	0.0104926	0.00688561	0.00839111	0.00563611	0.018098
ó	0.0798435	0.00937249	0.611107	0.0992725	0.0464048	0.0375833	0.021336	0.0197456	0.0124399	0.00395749	0.0589377
á	0.00394167	0.000332557	0.90037	0.049886	0.0128964	0.00626252	0.00534994	0.00364442	0.00571135	0.00172427	0.00988091
l	0.000483165	0.000370489	0.0495113	0.851125	0.0436418	0.0101325	0.00213789	0.00276735	0.00401683	0.0153125	0.020501
á	0.0103484	0.000278139	0.065896	0.86158	0.0204262	0.0121779	0.0023514	0.00403753	0.00430335	0.00366586	0.0149353
r	0.0364083	0.000197635	0.0324155	0.828963	0.055803	0.0266416	0.0029801	0.00399279	0.00194346	0.000996489	0.00965813
i	0.0301936	0.00018568	0.231456	0.313534	0.212007	0.14207	0.0280702	0.0234171	0.00626661	0.00129485	0.011505
i	0.0258587	0.000306363	0.200131	0.0224846	0.370206	0.261317	0.0613399	0.0190137	0.0107133	0.00170881	0.0269213
l	0.000834188	0.000715509	0.00506512	0.0140438	0.434797	0.481607	0.036102	0.00955024	0.00423206	0.00547861	0.00757457
y	0.00117918	3.95475e-05	0.00301839	0.0165751	0.342485	0.484586	0.071838	0.027821	0.018184	0.00921139	0.0250623
ε	0.000218009	2.97865e-05	0.00106473	0.00449326	0.111285	0.789871	0.0456302	0.0192944	0.0120873	0.00553797	0.0104882
b	0.000469283	2.43451e-05	0.00630522	0.0101236	0.114667	0.600666	0.128585	0.0295197	0.0635254	0.0106681	0.035447
h	0.00593585	2.18074e-05	0.0101472	0.0170773	0.195892	0.307819	0.206633	0.169234	0.0492491	0.00410179	0.0338883
ω	0.0143548	8.51982e-06	0.00321198	0.00161598	0.150307	0.522277	0.182106	0.0689713	0.0361911	0.00224894	0.0187075
m	0.010784	2.90189e-06	0.00120298	0.000100942	0.0708612	0.166303	0.512323	0.144655	0.0643844	0.011939	0.0174438
ó	0.00622478	0.000189456	0.000998536	0.000105449	0.0319635	0.0449756	0.166305	0.143812	0.0588613	0.0976272	0.448938
b	0.000578206	6.93703e-05	0.000402405	0.000231028	0.00746597	0.0243237	0.0590376	0.0829646	0.348153	0.45333	0.023444
o	0.000662834	3.38332e-05	0.000578206	0.000546402	0.008574	0.0169231	0.044659	0.0446023	0.326535	0.533464	0.023421
l	0.000291089	1.56326e-05	0.000776	0.000429172	0.00482247	0.0256161	0.0408888	0.0486116	0.56336	0.197231	0.117958
a	0.000619018	1.84401e-05	0.00151275	0.00752684	0.0114233	0.0479036	0.0991527	0.219098	0.241673	0.120775	0.250298
b	0.00194114	1.2172e-05	0.0020743	0.00251785	0.00664556	0.00509856	0.0447557	0.0983352	0.310899	0.19079	0.336931
á	0.000787897	2.40946e-05	0.0020585	0.00174478	0.0184329	0.0193923	0.0964022	0.249041	0.394397	0.0479673	0.169752
w	0.00477623	0.000227352	0.0149648	0.000776051	0.00467863	0.0073043	0.0417219	0.169425	0.256575	0.0988307	0.40072
a	0.0164199	0.000292685	0.00942261	0.00530867	0.0137472	0.0198596	0.0985773	0.382062	0.195776	0.0521893	0.206344
b	0.000183998	1.70917e-05	0.000478269	0.000471433	0.00136845	0.00416124	0.0343033	0.0971368	0.338714	0.101008	0.422157
ó	0.000123792	2.97362e-05	0.0019872	0.00081772	0.0138745	0.00815895	0.0487739	0.142542	0.626194	0.0904572	0.0670408
ó	0.00032669	6.83849e-06	0.00139076	0.00174876	0.00276567	0.0046632	0.0260093	0.0494689	0.46261	0.156716	0.294293
w	0.00304889	0.000106345	0.00942399	0.0590206	0.029802	0.0125077	0.0330274	0.0597921	0.275582	0.233752	0.283937
é	0.00213514	7.47635e-05	0.00786943	0.00563769	0.0188648	0.0476545	0.0610238	0.155904	0.332033	0.147734	0.221069
é	0.000125804	4.71083e-06	0.000695213	0.00144275	0.00291813	0.00392349	0.0193614	0.0569054	0.148066	0.116309	0.650248
</S>	0.000301389	1.24227e-05	0.00345769	0.00970111	0.0132346	0.00557657	0.0215357	0.0451059	0.0940454	0.222308	0.584722
