 	elle	a	un	pagne	neuf	</S>
w	0.908709	0.0812914	0.00840502	0.00103169	0.000470132	9.24203e-05
a	0.817058	0.160173	0.0206902	0.0014152	0.000584879	7.8612e-05
a	0.285244	0.653111	0.0574254	0.00167878	0.000407107	0.00213349
d	0.12926	0.565578	0.171247	0.0399965	0.00908662	0.0848314
í	0.0976298	0.752662	0.0818916	0.011938	0.000355068	0.0555235
l	0.0203916	0.188239	0.300876	0.136179	0.00776489	0.34655
a	0.0759345	0.164945	0.448362	0.0679259	0.00736309	0.235469
i	0.0610141	0.272064	0.466753	0.150383	0.0107591	0.0390266
p	0.00172808	0.017906	0.204288	0.725313	0.0350865	0.0156779
ú	0.000143535	0.00207765	0.0209455	0.880144	0.089167	0.00752278
t	0.000175353	0.00200942	0.0450113	0.927799	0.0120377	0.0129673
a	0.00117685	0.00162981	0.013848	0.873283	0.0795736	0.0304889
l	0.00269681	0.00766767	0.125933	0.139551	0.268773	0.455379
á	0.00197613	0.00426972	0.0865963	0.131893	0.305528	0.469736
s	0.0550773	0.0385239	0.104953	0.0438252	0.452933	0.304688
i	0.0692418	0.13094	0.0918242	0.0435388	0.121912	0.542543
k	0.0188212	0.0224456	0.0335861	0.0319384	0.213246	0.679962
a	0.00125688	0.00415524	0.0127037	0.104854	0.765898	0.111133
</S>	0.00023311	0.000604718	0.00597232	0.0644552	0.516703	0.412032
