 	elle	a	pris	de	l'	embonpoint	depuis	qu'	elle	s'	est	mariée	</S>
w	0.720485	0.112246	0.013723	0.0281172	0.0247342	0.0196482	0.0286353	0.0225777	0.00791532	0.0105741	0.00914722	0.00166736	0.00052907
a	0.699371	0.117543	0.00891756	0.0485816	0.0466266	0.0226694	0.0101014	0.0109452	0.00594977	0.0139392	0.0124863	0.00275673	0.00011221
a	0.172765	0.419662	0.123385	0.0333131	0.0160451	0.0130149	0.0364301	0.0482736	0.0228853	0.0381965	0.0286199	0.00326343	0.0441468
b	0.0483829	0.432366	0.352179	0.0574466	0.0220662	0.00756474	0.00503214	0.00880571	0.0191428	0.018126	0.0137984	0.00496475	0.0101244
h	0.0846678	0.0894298	0.209536	0.157312	0.118358	0.142149	0.0799074	0.0434265	0.0327278	0.0102378	0.00393524	0.00384963	0.0244625
í	0.0189431	0.0370643	0.531756	0.176782	0.0763008	0.0622721	0.0246751	0.00596249	0.0130325	0.018039	0.00888325	0.00191497	0.0243746
l	0.0174305	0.0519688	0.149248	0.291306	0.219161	0.133151	0.0374872	0.0215071	0.0102754	0.00515081	0.00422455	0.00379155	0.0552975
a	0.0833189	0.0845008	0.121181	0.193158	0.143357	0.0606462	0.0602792	0.0915893	0.0283512	0.0150106	0.00489213	0.00133634	0.11238
m	0.0358091	0.0276646	0.0520021	0.110166	0.206757	0.228094	0.143056	0.10853	0.0192189	0.00837647	0.0023392	0.00105466	0.0569329
b	0.00751205	0.0117861	0.0537276	0.2301	0.422174	0.181496	0.02394	0.0197273	0.00490255	0.00183071	0.000914222	0.0056438	0.0362451
y	0.000918234	0.00113468	0.0240054	0.129075	0.379125	0.381549	0.0579611	0.00568137	0.00171629	0.000883722	0.000553001	0.00307555	0.0143217
ώ	0.00116447	0.00185498	0.027415	0.120268	0.321271	0.390347	0.0454611	0.00524104	0.00247721	0.00161097	0.00115669	0.00769725	0.0740356
m	0.000612857	0.00416035	0.0510234	0.154778	0.243185	0.228747	0.066987	0.0174282	0.0262138	0.0316916	0.0197415	0.0613174	0.0941141
b	0.0104548	0.0038059	0.0109771	0.111857	0.223195	0.200207	0.24257	0.12158	0.0280022	0.00488184	0.00257571	0.00764208	0.0322513
ω	0.0057046	0.00134327	0.0129639	0.107566	0.199557	0.267372	0.253112	0.0634856	0.0183614	0.00553094	0.00347411	0.00793898	0.0535905
é	0.0141047	0.00609051	0.0104887	0.0682082	0.0744659	0.130695	0.180555	0.247252	0.139597	0.0391343	0.0167597	0.00924852	0.0633999
b	0.00671802	0.027503	0.0293787	0.0398947	0.0279821	0.0212417	0.0155072	0.0578141	0.241806	0.197186	0.161294	0.104069	0.0696053
h	0.00390025	0.0116251	0.0268756	0.11397	0.0617874	0.0631222	0.027827	0.0150187	0.194786	0.137043	0.185689	0.0847105	0.0736447
i	0.00150627	0.00106312	0.00586291	0.0293282	0.0323876	0.0688409	0.0433844	0.0175556	0.18552	0.196632	0.109806	0.0750095	0.233103
w	0.00126144	0.00264648	0.00304229	0.0111659	0.0120495	0.0162312	0.0251149	0.0535225	0.123728	0.225725	0.210678	0.05629	0.258545
á	0.00998624	0.00790894	0.0139672	0.0268913	0.0257403	0.0374455	0.111885	0.234411	0.249773	0.134862	0.0746222	0.0146749	0.0578326
l	0.0134794	0.00426478	0.00490649	0.0253389	0.0293136	0.0685072	0.06267	0.0752911	0.0647031	0.0753513	0.0855968	0.0899085	0.400669
o	0.00306721	0.00328346	0.00588473	0.0166684	0.020281	0.0166156	0.00727634	0.0127612	0.0440817	0.130752	0.0978314	0.0823791	0.559118
l	0.00340852	0.00664683	0.0034203	0.0136754	0.0159519	0.00574855	0.00423019	0.00426195	0.00830112	0.020862	0.0300695	0.769216	0.114208
o	0.00112963	0.00420177	0.00941553	0.0145747	0.0119926	0.0112983	0.00788157	0.00661348	0.0244523	0.0882282	0.167604	0.340409	0.312199
m	0.000295406	0.00135364	0.00320012	0.00418942	0.00264983	0.00214341	0.00145056	0.00104592	0.00749044	0.0251375	0.0457035	0.706516	0.198824
i	0.00107714	0.00410412	0.048557	0.110327	0.083129	0.0311533	0.00901932	0.00705156	0.0104055	0.0303579	0.109438	0.299884	0.255497
</S>	0.000919913	0.00279684	0.00874888	0.018808	0.0117785	0.0121928	0.0209649	0.0146702	0.0285569	0.0905099	0.212104	0.0603922	0.517557
