 	nous	avons	passé	la	nuit	dans	un	village	de	pygmées	</S>
b	0.955941	0.0226013	0.00243756	0.00561909	0.00554684	0.00432985	0.00175169	1.65766e-05	0.00152257	1.64527e-05	0.000216519
í	0.967106	0.0181305	0.00107716	0.00514348	0.000909747	0.00365456	0.00218011	1.17429e-05	0.00162358	1.92377e-05	0.000144361
s	0.987101	0.00940076	0.00168971	0.000850413	0.000150579	0.000402442	0.000123825	2.56063e-05	3.23906e-05	2.44259e-05	0.000198669
í	0.900901	0.0565632	0.00250719	0.0119746	0.000434095	0.0178165	0.001948	0.000336584	0.000826524	0.00195386	0.00473866
l	0.0710396	0.166984	0.3686	0.0319244	0.0235498	0.00938829	0.016971	0.00484513	0.018981	0.0134078	0.274309
é	0.00707866	0.0888034	0.333027	0.0602826	0.0282775	0.0410682	0.044006	0.0116389	0.0808813	0.0395857	0.26535
b	0.00458131	0.257681	0.65351	0.0576401	0.00435723	0.0054663	0.00439803	0.000395238	0.00398469	0.00174005	0.00624618
v	0.00663636	0.0720687	0.777102	0.0899536	0.0240389	0.0192648	0.00624446	0.000376201	0.001664	0.000408222	0.00224245
e	0.0123265	0.0646706	0.733319	0.0781015	0.0621086	0.039613	0.00694084	0.000227209	0.00103187	0.000469947	0.00119119
f	0.000945439	0.00761461	0.546976	0.146649	0.139587	0.0766753	0.024467	0.00764957	0.00512477	0.00653704	0.0377736
u	0.00252897	0.00354747	0.066053	0.22683	0.329319	0.214996	0.0663789	0.0184302	0.024387	0.019097	0.0284325
l	0.000542783	0.00361695	0.0123618	0.172074	0.30779	0.273713	0.0892001	0.0357475	0.0180509	0.0101861	0.076717
ú	0.000243577	0.00172873	0.0353396	0.147157	0.431407	0.24124	0.0965228	0.0105183	0.016017	0.00744254	0.0123842
s	0.000524695	0.00376763	0.00532766	0.0670595	0.0801305	0.468997	0.293397	0.0289072	0.0324647	0.00521829	0.0142059
á	0.00028037	0.00297177	0.0139785	0.0738807	0.0625794	0.460547	0.259249	0.0308484	0.0412787	0.0288975	0.0254885
p	0.00721747	0.00475068	0.000873691	0.0127985	0.0105701	0.273293	0.224087	0.328833	0.0594827	0.0559156	0.0221789
o	0.000712899	0.000365012	0.000325649	0.00228175	0.00936442	0.011444	0.0305462	0.905409	0.00658053	0.0261071	0.0068635
o	0.000267061	0.000206226	0.000241274	0.0014741	0.00528155	0.00488968	0.0110659	0.966807	0.00439619	0.0026689	0.00270251
y	0.000168321	0.000872339	0.0012904	0.00936338	0.00598556	0.0788172	0.38951	0.0401497	0.423561	0.00905833	0.0412241
á	0.00521833	0.00907583	0.00149556	0.012065	0.00397066	0.0182069	0.0690334	0.0790988	0.580852	0.0838012	0.137182
t	0.015146	0.00685382	0.00284732	0.00750318	0.00279068	0.0229697	0.0495306	0.152462	0.370506	0.305624	0.0637667
s	0.00179692	0.00106411	0.00107921	0.00380227	0.00893278	0.00412246	0.0211003	0.239363	0.0772793	0.565771	0.0756895
w	7.31146e-05	3.63524e-05	0.00136383	0.00117558	0.00475683	0.00451286	0.00903784	0.159933	0.0357987	0.751737	0.0315744
á	0.000902352	0.000217375	0.0139985	0.0101433	0.0271005	0.0311091	0.0396414	0.0966073	0.0589049	0.677832	0.0435431
</S>	0.000148929	0.000319693	0.000354284	0.00120171	0.000315965	0.00941637	0.0109972	0.0061072	0.140605	0.169313	0.661222
