 	l'	enfant	souffle	dans	l'	oreille	de	son	ami	</S>
m	0.873546	0.0992032	0.000463131	0.00176926	0.00412871	0.00285346	0.00239415	0.00113239	0.0143729	0.000136408
w	0.00166198	0.996963	0.000192379	0.000210063	0.000210102	8.58973e-05	9.88411e-05	0.000106574	0.000138331	0.000332626
á	0.00234443	0.997487	6.15527e-05	1.83217e-05	1.42196e-05	1.79433e-05	1.40482e-06	3.64355e-06	4.63774e-05	5.00669e-06
n	0.483996	0.50286	0.00107049	0.000559656	0.00192563	0.00129682	0.00056309	0.00145015	0.00248074	0.00379795
a	0.360777	0.405854	0.016611	0.0118562	0.0263936	0.0152167	0.0094385	0.0151448	0.00255163	0.136157
b	0.73205	0.025757	0.051112	0.0453885	0.0297287	0.00399928	0.0342424	0.0625656	0.00208754	0.0130694
ó	0.145626	0.0227629	0.0158313	0.221852	0.177192	0.0614269	0.187788	0.130561	0.00578034	0.03118
l	0.205722	0.0108775	0.225485	0.338886	0.0684351	0.00788558	0.0441548	0.039232	0.00211351	0.057209
á	0.162905	0.0146341	0.098704	0.152355	0.0960377	0.0157343	0.0790642	0.070375	0.0129749	0.297216
a	0.205586	0.0233088	0.152904	0.311097	0.113763	0.0470328	0.0324637	0.030059	0.0380211	0.0457651
f	0.0029401	0.00111167	0.929818	0.044425	0.00312889	0.00284582	0.00107277	0.000890221	0.00115875	0.0126084
ú	0.00105057	0.000382629	0.805463	0.109538	0.00866014	0.0179534	0.0055354	0.00306875	0.00565045	0.0426978
l	0.0012219	0.000252684	0.920761	0.0423895	0.00538994	0.00851395	0.000897581	0.000519211	0.00184139	0.0182133
á	0.00676312	0.00039417	0.219327	0.274704	0.234052	0.109855	0.055702	0.0272728	0.002906	0.0690237
o	0.0103303	0.00203177	0.0303043	0.219901	0.396219	0.14599	0.098317	0.0722537	0.0121216	0.0125309
b	0.000971971	0.000884445	0.0456025	0.0776596	0.112644	0.122688	0.0552908	0.0273302	0.499522	0.0574066
i	6.52644e-05	0.000210912	0.00129658	0.00154904	0.00355044	0.0304007	0.00278709	0.00222658	0.954202	0.00371126
a	0.000110442	0.000358241	0.0114179	0.0391828	0.0323836	0.242994	0.024656	0.0239441	0.442574	0.182379
s	0.00133462	9.86028e-05	0.00063077	0.013283	0.11237	0.0332033	0.298114	0.440952	0.030948	0.0690656
í	0.00364106	0.000163747	0.00438541	0.0289464	0.0766908	0.0532966	0.063714	0.219815	0.0318151	0.517532
t	0.00305847	6.75802e-05	0.000411785	0.00709209	0.0853849	0.0126928	0.104162	0.429817	0.0514147	0.305899
ú	0.00357273	0.000214598	0.0132997	0.0220752	0.05657	0.252367	0.169044	0.327347	0.0533976	0.102111
e	0.00387449	0.000404152	0.0112548	0.0222642	0.10394	0.382639	0.0885905	0.0963546	0.0986092	0.19207
</S>	0.000327396	2.66157e-05	0.00323372	0.0230981	0.0247272	0.0078445	0.188244	0.244889	0.0445938	0.463016
