 	a	qui	appartient	les	autres	bananes	</S>
a	0.219473	0.278112	0.127407	0.2293	0.111365	0.014425	0.019917
k	0.031041	0.148382	0.32342	0.170224	0.181523	0.109503	0.0359069
ω	0.00915994	0.036766	0.0251024	0.110073	0.12792	0.658927	0.0320515
m	0.0119249	0.0777217	0.15277	0.199115	0.238613	0.2773	0.0425552
a	0.0426843	0.0530079	0.05935	0.176519	0.0624563	0.029068	0.576914
n	0.108371	0.0645421	0.153365	0.19293	0.0795614	0.0151359	0.386094
á	0.193679	0.179908	0.23811	0.298652	0.0129855	0.00590188	0.0707643
m	0.134759	0.0779677	0.112177	0.387775	0.120284	0.0810563	0.0859805
á	0.183927	0.0431427	0.0811868	0.25781	0.18197	0.00370071	0.248263
n	0.157405	0.0456011	0.0250084	0.25829	0.156931	0.304527	0.0522372
d	0.0670005	0.0556489	0.109726	0.355224	0.152017	0.0541036	0.20628
a	0.0224485	0.0331601	0.101091	0.233175	0.0291635	0.13184	0.449122
</S>	0.00357853	0.0139563	0.0871441	0.176485	0.0520343	0.0552482	0.611553
