 	j'	ai	entendu	le	bruit	d'	un	éléphant	</S>
n	0.917205	0.0395261	0.0203688	0.0173922	0.00129583	0.00263711	0.00134147	6.89602e-05	0.000164894
g	0.995879	0.00328323	0.000324444	0.000299533	3.4715e-06	5.45324e-05	0.000132374	2.26634e-05	1.0572e-06
á	0.981487	0.0160901	0.000148701	0.000889402	3.6137e-05	0.000113104	0.000195826	0.00103262	7.08108e-06
í	0.0819293	0.269027	0.0842427	0.0396995	0.0239064	0.0213807	0.0316317	0.069643	0.37854
b	0.0145494	0.150826	0.752474	0.0344837	0.0252086	0.00359065	0.00154063	0.0010697	0.0162578
ó	0.00118421	0.0720685	0.899282	0.00983739	0.0144638	0.00132839	0.0002827	0.000241525	0.00131141
n	0.0121727	0.277228	0.448295	0.208713	0.0272344	0.00962154	0.0036408	0.00788096	0.00521257
d	0.016095	0.0721905	0.235877	0.381158	0.158292	0.0422835	0.00772956	0.00661859	0.0797552
i	0.00293106	0.0475487	0.155788	0.30493	0.192842	0.0519127	0.0196458	0.0219536	0.202448
l	0.00170126	0.0162616	0.00628373	0.609235	0.119123	0.133508	0.0672541	0.0128589	0.0337737
o	0.00398275	0.00878779	0.0158491	0.231998	0.489335	0.0880548	0.0327241	0.0253082	0.10396
b	0.00443588	0.0105916	0.00323628	0.290899	0.577811	0.032702	0.00806041	0.0429893	0.0292744
h	0.000127687	0.000539934	0.000607479	0.0326456	0.933989	0.0205352	0.00176355	0.00791322	0.0018783
ó	3.03022e-05	0.000394075	0.00943185	0.0259383	0.791707	0.10212	0.0200214	0.0105596	0.0397972
l	7.47683e-06	0.000223209	0.000314301	0.0413666	0.362133	0.463372	0.0823751	0.0101959	0.0400119
á	0.000158176	0.000580268	0.0010673	0.0121417	0.356583	0.138853	0.0886486	0.0959202	0.306048
n	0.000887438	0.00100889	0.000252839	0.0140092	0.0188091	0.196081	0.470087	0.277473	0.0213904
d	0.00554253	0.000549236	0.000528415	0.000856564	0.00220474	0.0362488	0.178526	0.75838	0.0171641
z	0.00261908	0.000239952	0.000102918	0.00095479	0.00495735	0.0208772	0.0981858	0.862383	0.00968005
ω	4.96385e-05	9.00859e-06	2.92491e-05	0.000360631	0.018527	0.0426623	0.0980852	0.802956	0.0373211
i	4.50167e-06	1.17232e-05	0.000134809	0.000608956	0.0135152	0.0447776	0.0926567	0.672452	0.175839
</S>	9.65435e-06	2.39068e-05	3.04658e-06	0.00137182	0.00537771	0.158507	0.21956	0.0901188	0.525028
