 	le	pain	que	tu	as	gardé	est	encore	entier	</S>
m	0.77646	0.164838	0.042573	0.0123757	0.00256864	0.000139725	0.000541031	0.000208983	2.12348e-05	0.000273805
á	0.0291451	0.90655	0.0229115	0.00731256	0.0277895	0.0012828	0.000986253	0.000416389	5.77182e-05	0.0035478
p	0.0391053	0.906178	0.0381975	0.0108178	0.00170805	0.00300538	0.000409119	0.000219324	5.02339e-05	0.000309644
a	0.164754	0.587376	0.152229	0.0665846	0.00528872	0.00414305	0.00895976	0.000283033	0.00247277	0.00790982
m	0.0411409	0.682675	0.189619	0.0505681	0.00742209	0.00490427	0.0024698	0.000537559	0.00135027	0.0193128
á	0.252604	0.264115	0.432609	0.0349484	0.00531851	0.00447249	0.00273864	0.000103769	7.78753e-06	0.00308323
a	0.0312639	0.0482474	0.515952	0.203669	0.0661565	0.0855713	0.0162713	0.00482288	0.00131049	0.026735
b	0.00677094	0.00597261	0.13726	0.166117	0.0871948	0.360069	0.0802506	0.0920997	0.00561574	0.05865
ó	0.00199844	0.00409015	0.0392418	0.103635	0.0229414	0.645834	0.127185	0.0192364	0.000969619	0.0348682
m	0.00759752	0.00674865	0.0960812	0.141906	0.0757246	0.44813	0.0903418	0.070227	0.003396	0.0598464
b	0.0878751	0.0389639	0.317705	0.0846857	0.0457178	0.123869	0.188711	0.0346633	0.00718831	0.0706209
í	0.0796305	0.00764819	0.218625	0.166396	0.0623471	0.31267	0.0821558	0.0115161	0.00117713	0.0578336
n	0.0125695	0.0101545	0.156409	0.280967	0.358334	0.0786556	0.0627648	0.00410446	0.00319209	0.0328497
ω	0.0121724	0.000705653	0.0592795	0.252368	0.542708	0.0403099	0.0207647	0.0174664	0.000272818	0.0539525
á	0.00264426	0.00112664	0.16967	0.0944517	0.0659277	0.127399	0.26288	0.169154	0.00691679	0.0998302
s	0.00192831	0.00100128	0.00314377	0.00336697	0.00200893	0.0170102	0.276532	0.377676	0.303977	0.0133559
á	0.00020999	7.6031e-05	0.000777394	0.000716059	0.00081007	0.00154243	0.0948436	0.819101	0.0191123	0.0628107
a	0.00229791	0.000225202	0.00502795	0.00324486	0.00256021	0.00326508	0.225412	0.438473	0.164734	0.154759
a	0.00152424	0.000491765	0.00830123	0.0138397	0.00639207	0.00381492	0.144062	0.256048	0.152189	0.413337
t	0.00194259	0.000465885	0.00203513	0.000874558	0.000345079	0.00507403	0.0609856	0.254901	0.572245	0.101131
s	0.000278623	0.000509632	0.000399618	0.000502132	0.000236747	0.00162777	0.0400363	0.0302469	0.843944	0.0822184
i	0.00398774	0.00847655	0.00807334	0.0125839	0.00844764	0.0361213	0.106522	0.0272062	0.670619	0.117962
i	0.00394028	0.000879359	0.00423754	0.0118691	0.00949089	0.00338148	0.0350063	0.107415	0.303145	0.520635
n	0.00171569	0.00073022	0.00522765	0.00248467	0.00125175	0.0029985	0.0875805	0.0452324	0.120819	0.731959
a	0.00854977	0.000467935	0.0150018	0.0134887	0.0116684	0.0027543	0.0484902	0.149544	0.0298787	0.720156
</S>	0.00020463	3.19886e-05	0.00125256	0.00105437	0.000243883	0.000701508	0.0469607	0.0555351	0.0623851	0.83163
