 	il	taille	un	banc	dans	du	bois	</S>
w	0.898355	0.032768	0.0386056	0.0150109	0.00625563	0.00646096	0.00236301	0.000180584
a	0.815543	0.0114631	0.0569898	0.0182992	0.0266606	0.0573504	0.0136012	9.30803e-05
l	0.2688	0.583835	0.124646	0.000537678	0.00805817	0.00839215	0.00134287	0.00438878
á	0.156254	0.160816	0.0998799	0.0172814	0.0898558	0.0610721	0.0270562	0.387785
a	0.200561	0.132237	0.16839	0.00888619	0.056239	0.0874642	0.111191	0.235032
p	0.029439	0.728114	0.206287	0.00595603	0.00947659	0.00536105	0.00321678	0.0121498
á	0.024111	0.707714	0.209135	0.0105595	0.0107757	0.00496774	0.000886528	0.0318507
á	0.0272013	0.588023	0.33021	0.00429893	0.01539	0.0115531	0.00256301	0.0207613
i	0.0598945	0.0395485	0.39983	0.150945	0.244185	0.0827207	0.0130215	0.00985423
b	0.0016448	0.0220724	0.160263	0.526968	0.172601	0.0623967	0.0329383	0.0211163
v	0.000664916	0.00102728	0.0118354	0.952346	0.0189026	0.0033433	0.00950264	0.00237778
ú	6.31633e-05	0.000805201	0.00651535	0.892174	0.0856778	0.00645116	0.00614037	0.00217321
a	0.0101498	0.017583	0.0731675	0.148825	0.415049	0.229628	0.0843259	0.0212725
m	0.00104359	0.00266495	0.079154	0.0300558	0.462537	0.270316	0.0480815	0.106147
ó	0.00806462	0.00385232	0.176804	0.0197999	0.17177	0.186714	0.0437063	0.389289
i	0.00766591	0.00547171	0.105116	0.0294188	0.107613	0.141473	0.534086	0.0691555
b	0.00465328	0.0212022	0.0680211	0.05239	0.119102	0.142259	0.383858	0.208514
ω	0.00273353	0.00451007	0.0366805	0.513615	0.120047	0.0968535	0.180039	0.0455219
n	6.52315e-05	0.0002668	0.00590854	0.397178	0.0475676	0.0326536	0.454357	0.0620033
g	0.00344405	0.0137133	0.0259773	0.00793061	0.177016	0.317144	0.317383	0.137392
ω	0.00142863	0.00143974	0.0111997	0.00529423	0.0706802	0.153203	0.672617	0.0841375
l	0.00193002	0.00182345	0.014504	0.00690771	0.159423	0.14805	0.130975	0.536387
á	0.00251083	0.00967647	0.042026	0.00220779	0.109933	0.258128	0.206975	0.368543
k	0.014171	0.00577782	0.101614	0.00651099	0.0460642	0.122751	0.596605	0.106506
í	0.00451152	0.0102747	0.00767998	0.00272367	0.0287921	0.103151	0.752749	0.0901173
t	0.00140947	0.00102544	0.00360174	0.00247724	0.0290999	0.0613313	0.478619	0.422436
i	0.0110423	0.00920584	0.00807142	0.000574615	0.027821	0.0990749	0.270563	0.573646
</S>	0.00187988	0.00902779	0.015179	0.000672087	0.0369662	0.119649	0.125372	0.691254
