 	celui	qui	s'	adosse	sur	la	voiture	là	est-il	fou	</S>
o	0.841746	0.0530104	0.0106613	0.0234342	0.0150262	0.022359	0.0175298	0.0101342	0.00283946	0.00303847	0.000220892
l	0.265561	0.212119	0.108626	0.253527	0.0106603	0.0101251	0.0490061	0.00861853	0.0320022	0.0441186	0.00563648
y	0.016278	0.117775	0.0672315	0.234196	0.0262998	0.0213397	0.250171	0.0186138	0.0988724	0.104664	0.0445592
έ	0.0581482	0.246884	0.0836658	0.348277	0.0237214	0.0146405	0.125302	0.0198276	0.0348776	0.0214218	0.0232339
έ	0.0896775	0.380981	0.150928	0.168857	0.0482077	0.043884	0.0473839	0.0126554	0.00716822	0.0108179	0.0394392
m	0.0329391	0.207229	0.370709	0.175478	0.0818901	0.0551526	0.0111615	0.0296278	0.0141452	0.00229495	0.0193729
i	0.00746469	0.0961411	0.226316	0.121974	0.198074	0.133069	0.0210078	0.127333	0.0478984	0.000676035	0.0200459
m	0.00320058	0.0354965	0.140557	0.0829114	0.35557	0.187919	0.042032	0.0870321	0.0415066	0.00641324	0.0173609
ó	0.00179252	0.0103125	0.0368079	0.0304825	0.285581	0.253198	0.131033	0.197289	0.0329059	0.000790218	0.0198081
o	0.00455115	0.00571105	0.0196884	0.0250949	0.355992	0.240422	0.258547	0.0629088	0.0166156	0.00520559	0.00526323
t	0.000909774	0.00535407	0.0271503	0.142872	0.334204	0.158894	0.274384	0.031423	0.00813375	0.0127704	0.00390436
ω	0.000753989	0.00691062	0.0442447	0.276612	0.136212	0.058858	0.425867	0.0314494	0.00386048	0.0089053	0.00632695
m	0.000100022	0.0041818	0.0299221	0.473545	0.186696	0.0809497	0.179197	0.0138074	0.00343304	0.0167474	0.0114195
b	0.000415044	0.00693651	0.0256807	0.0479606	0.15908	0.165353	0.266483	0.27868	0.0350804	0.00277656	0.011553
í	0.000600885	0.0155368	0.0497499	0.0255471	0.111587	0.121781	0.135237	0.377128	0.0559266	0.0100208	0.0968853
l	0.00236018	0.0070062	0.0431182	0.0547154	0.206954	0.268662	0.174472	0.216377	0.0116576	0.00284696	0.0118302
i	0.0020774	0.00503927	0.0426747	0.0782953	0.136845	0.166737	0.174542	0.0768604	0.0621127	0.0338721	0.220945
m	0.00125276	0.00246943	0.0146274	0.0134864	0.106324	0.278659	0.136257	0.293543	0.105778	0.0115479	0.0360549
á	0.00300801	0.00415361	0.00797358	0.00496741	0.0881653	0.191019	0.124974	0.330971	0.180523	0.00375436	0.060491
n	0.00156153	0.00268445	0.00928944	0.00430152	0.0579663	0.167471	0.129498	0.300314	0.24283	0.0530929	0.0309902
g	0.000858562	0.00243845	0.00699558	0.00414676	0.0226876	0.176337	0.036852	0.0754003	0.548983	0.0205119	0.104788
á	0.000273625	0.00067851	0.0054026	0.0380314	0.0415347	0.210686	0.0899967	0.10341	0.354355	0.0697968	0.0858344
w	0.000284285	0.000993528	0.00460129	0.00579681	0.0348387	0.105938	0.135474	0.383452	0.239785	0.0541458	0.0346917
ú	0.00156478	0.00357248	0.0149214	0.0142172	0.0434432	0.105488	0.197932	0.312308	0.130305	0.0499203	0.126327
u	0.000135249	0.000299483	0.0027587	0.00710529	0.0135038	0.0338097	0.138258	0.132879	0.243503	0.284722	0.143027
a	0.00139906	0.00188266	0.00915188	0.0108136	0.0209419	0.0356017	0.150986	0.0764781	0.107417	0.312166	0.273162
d	0.000487035	0.00118659	0.00519823	0.00318683	0.0119738	0.0242109	0.0580401	0.044584	0.10744	0.597833	0.14586
í	0.000394426	0.00209105	0.00455068	0.000622305	0.00692594	0.0236952	0.0174842	0.0215028	0.402592	0.216581	0.30356
l	0.000293383	0.000873074	0.00305239	0.000799006	0.00863255	0.0246153	0.0185248	0.0529418	0.165468	0.329892	0.394907
o	8.46633e-05	0.000375616	0.00198143	0.0010908	0.00305776	0.00546068	0.0118085	0.0228875	0.14629	0.209406	0.597557
b	0.00111047	0.00174564	0.00522298	0.0224106	0.0137024	0.0361265	0.0337612	0.0371771	0.138072	0.363578	0.347092
h	0.000346142	0.00191631	0.0109289	0.00924692	0.0269896	0.0397206	0.0440353	0.0392822	0.0992001	0.642373	0.0859606
ó	0.000296261	0.00216706	0.00972448	0.0083905	0.0156613	0.0139096	0.0681941	0.0153163	0.0178926	0.767422	0.0810253
a	5.78901e-05	0.000272587	0.0007995	0.00927089	0.00693218	0.0102188	0.113135	0.0221744	0.0131385	0.727388	0.0966123
</S>	0.000121037	0.00151044	0.0041979	0.015798	0.031643	0.0425813	0.0602328	0.0435815	0.0580352	0.174454	0.567845
