 	cet	homme	a	beaucoup	d'	argent	</S>
m	0.562396	0.422923	0.00623226	0.00203183	0.00555107	0.000446718	0.000418802
o	0.909049	0.0271561	0.00490151	0.000546814	0.00306476	0.053323	0.00195904
r	0.0688981	0.586554	0.151311	0.0700462	0.0412849	0.0146149	0.0672904
o	0.944291	0.0119017	0.0036848	0.00104701	0.00553493	0.0104241	0.0231161
w	0.78635	0.0904612	0.0986596	0.00537657	0.00480122	0.00018043	0.0141706
ó	0.345136	0.0207877	0.277798	0.13197	0.113959	0.0111855	0.0991634
a	0.0657394	0.0408605	0.60305	0.109095	0.0592538	0.000506072	0.121496
d	0.00230844	0.00314545	0.60136	0.261784	0.0790279	0.000368801	0.0520054
i	0.00138044	0.00132675	0.449153	0.349292	0.0460173	0.000353404	0.152476
m	0.00319461	0.000797459	0.169111	0.387362	0.37624	0.00193454	0.0613609
b	0.0158141	0.00632201	0.0812373	0.100715	0.289722	0.396737	0.109453
ώ	0.00337114	0.00141585	0.0070238	0.018745	0.135497	0.778269	0.0556782
n	0.000812843	0.00459811	0.00287473	0.00492702	0.0295552	0.938603	0.0186296
g	0.0577228	0.00495239	0.0512908	0.0918047	0.254672	0.460676	0.0788814
ω	0.0405097	0.000767052	0.00640614	0.0122094	0.0565126	0.825164	0.0584309
w	0.0164561	0.00206632	0.0882855	0.155651	0.309987	0.0764263	0.351128
a	0.0454544	0.0292205	0.0552819	0.189232	0.258339	0.117617	0.304854
m	0.00443243	0.00263254	0.0311999	0.103845	0.353165	0.0438377	0.460887
έ	0.0198228	0.00626085	0.00897398	0.0438471	0.448447	0.413075	0.0595736
n	0.00805391	0.00690026	0.0508322	0.195864	0.480302	0.0306059	0.227441
d	0.00550702	0.000611145	0.0104562	0.0326279	0.324714	0.142898	0.483185
e	0.0021306	5.25822e-05	0.00602416	0.0254877	0.213483	0.104315	0.648507
</S>	0.000825633	9.37478e-05	0.0289182	0.0539288	0.181399	0.0136686	0.721166
