 	les	acheteurs	sont	venus	nombreux	</S>
a	0.980256	0.0174283	0.00172257	0.000317645	0.000246037	2.96972e-05
s	0.00150787	0.997493	0.000512109	0.000388449	8.50448e-05	1.36693e-05
ó	0.0291461	0.965636	0.00111433	0.000946321	0.00284215	0.00031462
m	0.00103869	0.987689	0.00195167	0.0011841	0.00374024	0.00439586
b	0.21574	0.699047	0.0557516	0.00514739	0.00629613	0.0180179
i	0.191376	0.552553	0.0611517	0.0131627	0.0616706	0.120085
á	0.128761	0.0126814	0.634187	0.202151	0.0117151	0.0105043
y	0.00280442	0.00260782	0.10369	0.845134	0.0276909	0.0180735
ε	0.0514393	0.0107038	0.087634	0.65281	0.0933828	0.10403
ε	0.0312653	0.0166363	0.110097	0.424647	0.159823	0.257531
a	0.0101256	0.000289197	0.481169	0.14212	0.20698	0.159316
y	0.00782343	0.00221216	0.251649	0.346586	0.275148	0.116582
í	0.00939962	0.00191107	0.108502	0.220542	0.281133	0.378513
í	0.0194144	0.000275252	0.0499177	0.0236854	0.173438	0.73327
</S>	0.00945448	0.00147135	0.15362	0.132663	0.210573	0.492218
