 	il	a	appris	la	nouvelle	hier	</S>
w	0.911253	0.0660702	0.0153224	0.00504511	0.00198659	0.000187586	0.00013526
a	0.74184	0.18444	0.0253376	0.0253291	0.022254	0.000680883	0.000118967
á	0.119169	0.549342	0.278437	0.043296	0.00806024	0.000220566	0.00147538
b	0.0289521	0.190026	0.620599	0.0983906	0.0262358	0.00592967	0.0298662
ó	0.0487705	0.0818317	0.266666	0.42352	0.10553	0.00176144	0.0719205
n	0.00416986	0.0434766	0.416039	0.453192	0.041299	0.00969623	0.0321281
d	0.023867	0.0748887	0.384623	0.35245	0.0909086	0.01575	0.057512
i	0.013469	0.108067	0.383391	0.417514	0.0498814	0.00491804	0.0227593
t	0.031733	0.0881865	0.131374	0.244791	0.438812	0.0537664	0.0113363
s	0.00741794	0.0126914	0.0318229	0.157721	0.512595	0.247851	0.0299011
a	0.000807982	0.00348122	0.0342461	0.231723	0.624313	0.0941985	0.0112293
n	0.00116887	0.00861315	0.0639245	0.119131	0.553872	0.114775	0.138515
g	0.00482103	0.0188431	0.0521962	0.214259	0.362784	0.0997071	0.24739
e	0.00268561	0.0116576	0.0288948	0.183782	0.455772	0.0448876	0.27232
l	0.00356052	0.00687179	0.015386	0.110741	0.425876	0.185243	0.252322
a	0.00177349	0.00403572	0.0113475	0.062143	0.140536	0.41758	0.362584
a	0.00314052	0.010043	0.0141699	0.0252548	0.11651	0.509166	0.321716
p	0.000765622	0.00897415	0.0177844	0.0588244	0.106044	0.624513	0.183095
ó	0.000126621	0.000613143	0.00303735	0.00955919	0.0535714	0.886922	0.0461702
a	0.000192295	0.000675157	0.00300856	0.045222	0.145789	0.652113	0.153
</S>	0.00206743	0.0054187	0.0135049	0.0386897	0.0762854	0.237497	0.626537
