 	ma	femme	a	acheté	une	houe	chez	le	forgeron	</S>
n	0.553925	0.390246	0.0366173	0.00166737	0.00673691	0.00148735	0.00464888	0.00371783	0.000875879	7.77982e-05
g	0.994817	0.00429686	0.000838128	3.82629e-06	1.35829e-05	8.86362e-06	3.11217e-06	1.51602e-05	3.5093e-06	4.97103e-08
á	0.679452	0.300292	0.0147031	0.00196318	0.00109861	0.00101195	0.000491467	0.00092104	5.06536e-05	1.60486e-05
m	0.175523	0.409048	0.209233	0.0536328	0.0255094	0.0125109	0.0127563	0.016216	0.00694966	0.0786204
w	0.00805066	0.961041	0.0104213	0.0106094	0.00343453	0.00123477	0.00360415	0.00023553	0.000192753	0.00117569
á	0.0556699	0.900721	0.0119062	0.00512506	0.00152806	0.00140757	0.0224598	0.000477187	9.94474e-05	0.000605575
s	0.866856	0.0657391	0.0517811	0.00141345	0.00255221	0.000412626	0.00839517	0.00139621	1.73615e-05	0.00143662
í	0.403968	0.29845	0.107135	0.114682	0.0101295	0.0124968	0.0185143	0.00293214	0.00217652	0.0295159
á	0.159691	0.00979018	0.534735	0.0845185	0.114591	0.0271297	0.00361525	0.0130215	0.0014585	0.0514496
s	0.0039958	0.00231026	0.0236777	0.857914	0.0183034	0.0570508	0.00637846	0.00879782	0.0075465	0.0140256
ó	0.197443	0.0118902	0.0113345	0.740266	0.00236586	0.0321183	0.00158284	0.00103701	8.4782e-05	0.00187739
m	0.451042	0.025933	0.0703177	0.299112	0.0405804	0.0629278	0.00309995	0.0186849	0.00137155	0.0269308
b	0.0966096	0.109099	0.0581069	0.609887	0.0443687	0.0730607	0.00316844	0.00304572	0.000359673	0.00229415
i	0.0498106	0.00163959	0.0842469	0.376599	0.150977	0.1457	0.0233992	0.0584287	0.0171961	0.0920032
o	0.00766609	0.00190502	0.16643	0.0147754	0.558528	0.189941	0.0174025	0.0356266	0.000601525	0.00712459
t	0.000263951	0.000233322	0.00261484	0.0473422	0.20723	0.476992	0.0797481	0.021935	0.149191	0.0144492
s	2.8458e-05	6.33361e-05	0.00275573	0.0220391	0.348333	0.223344	0.0262525	0.0425157	0.29899	0.0356777
a	9.95068e-05	6.79938e-05	0.00282661	0.0343751	0.283999	0.456019	0.0612253	0.0973417	0.0231003	0.040945
a	0.00737153	0.00117573	0.0116642	0.00757799	0.242606	0.362664	0.21748	0.0381295	0.0257815	0.0855501
g	0.000156457	7.87986e-05	0.00206205	0.000689888	0.124131	0.447725	0.140211	0.248709	0.00543102	0.0308071
h	0.00165537	5.61539e-05	0.000759898	0.00472963	0.0237576	0.512418	0.171011	0.121123	0.00740781	0.157082
é	0.00228174	0.000167192	0.00178937	0.00615451	0.119952	0.497255	0.147753	0.0926302	0.0149911	0.117025
m	3.62958e-05	3.55466e-05	0.00074832	0.00141362	0.11319	0.345918	0.0954837	0.339263	0.0319777	0.0719332
b	0.000683986	0.000123958	0.000523316	0.000264578	0.114091	0.0833545	0.281552	0.0969419	0.0140552	0.408409
v	5.49155e-05	1.50608e-05	0.000524788	0.000257757	0.0298469	0.0124495	0.822187	0.00913646	0.0199763	0.105551
á	0.00349959	0.000194874	0.000849837	0.00665376	0.0178265	0.0253828	0.777121	0.007633	0.0278006	0.133038
a	0.00345689	0.000317069	0.0043772	0.00168325	0.0556528	0.0380643	0.465975	0.0844	0.0882874	0.257786
o	0.000801597	3.04722e-05	0.00375214	0.00032929	0.0560256	0.0299101	0.0734231	0.411292	0.0564081	0.368028
k	3.23622e-05	8.61965e-05	0.000370857	0.000531784	0.00824307	0.0115336	0.00783245	0.0575395	0.828192	0.0856379
u	4.9091e-07	1.55372e-05	3.94678e-05	0.000280564	0.0043357	0.00168682	0.00698426	0.0217027	0.947828	0.0171265
b	0.000161209	5.58371e-05	4.21274e-05	5.56021e-05	0.00565899	0.00155815	0.00906554	0.00644378	0.951299	0.0256596
h	0.0582154	0.000176542	0.0015533	0.000309072	0.0242668	0.0638255	0.170024	0.522183	0.0591782	0.100268
a	0.00526048	1.53894e-05	0.000648812	0.000188308	0.0605477	0.0564091	0.170996	0.361129	0.124836	0.219969
</S>	0.00117031	9.63851e-05	0.00207572	0.000524726	0.0339242	0.0432788	0.0469475	0.254517	0.0498846	0.567581
