 	mon	coeur	bat	trop	vite	</S>
n	0.96893	0.00707296	0.0210006	0.00280093	0.000145046	5.01533e-05
g	0.993959	0.003107	0.00182107	0.000804036	0.000280954	2.83004e-05
á	0.973054	0.0196177	0.00433133	0.000972886	0.00180738	0.000216399
o	0.842903	0.0435684	0.0209848	0.012763	0.0188005	0.06098
t	0.00922691	0.981539	0.00503115	0.00253099	0.000982984	0.000688904
é	0.00115432	0.976767	0.00772748	0.00492415	0.00108192	0.0083456
m	0.075661	0.831357	0.0207537	0.0404363	0.0071577	0.0246343
a	0.142309	0.405196	0.229372	0.140224	0.0202525	0.062647
m	0.333278	0.0234606	0.297737	0.258849	0.021635	0.0650406
ó	0.0508892	0.0204991	0.477421	0.158123	0.0526271	0.24044
o	0.124223	0.0736126	0.377652	0.267758	0.10203	0.0547245
b	0.001618	0.0407423	0.677876	0.163564	0.104819	0.0113812
έ	0.000856711	0.0504838	0.795594	0.0881624	0.0436717	0.0212313
r	0.000465032	0.035515	0.598561	0.120392	0.0408939	0.204173
έ	0.0297993	0.12035	0.342443	0.274942	0.0183907	0.214075
l	0.0133993	0.00273598	0.176455	0.618563	0.0317628	0.157084
a	0.0160433	0.00442487	0.0693306	0.619757	0.110064	0.18038
p	0.0187115	0.00317647	0.0145959	0.180663	0.728173	0.0546799
á	0.00464476	0.00961785	0.0170994	0.559673	0.328819	0.0801455
m	0.00498681	0.0209038	0.0533567	0.488046	0.200628	0.232078
i	0.00279759	0.00139265	0.0518858	0.186251	0.399109	0.358565
</S>	0.00535569	0.00159575	0.0133692	0.12164	0.185668	0.672371
