 	la	cuisinière	a	mis	trop	de	sel	dans	la	nourriture	</S>
o	0.974919	0.0129826	0.00178521	0.00295441	0.0029394	0.00300793	0.000638438	0.000305632	0.000338222	0.000104808	2.48087e-05
l	0.0186222	0.977589	0.00206814	0.000450253	0.000277651	0.000155137	0.000406398	7.62022e-05	0.000107178	2.1959e-05	0.000226214
á	0.0336159	0.951467	0.000946318	0.00158754	0.00158536	0.000685607	0.00624645	0.000620924	0.000232896	0.000159451	0.00285219
m	0.029004	0.9191	0.00436138	0.00741997	0.00663006	0.00328706	0.00973997	0.0017184	0.00203893	0.000291898	0.0164088
b	0.16762	0.258382	0.169155	0.0410866	0.073045	0.0584601	0.0465636	0.0638816	0.0548829	0.03866	0.0282631
i	0.166264	0.302133	0.114254	0.107727	0.0632844	0.027432	0.0530213	0.0144733	0.00425417	0.0053165	0.14184
á	0.146652	0.00637051	0.657976	0.072873	0.0363777	0.042083	0.00282509	0.0134152	0.00900601	0.00416321	0.00825776
p	0.0129703	0.0160584	0.419872	0.299531	0.0846866	0.0671584	0.0338239	0.0204761	0.00912932	0.00289624	0.0333981
é	0.00493651	0.00817516	0.124234	0.551835	0.103741	0.0402852	0.110449	0.0154083	0.00309664	0.000927684	0.0369108
n	0.0185206	0.0164047	0.108425	0.413853	0.170589	0.117157	0.0732908	0.0291722	0.00615942	0.00204345	0.0443844
d	0.00655336	0.0015677	0.0858006	0.472094	0.187015	0.125637	0.071791	0.026476	0.00623511	0.00493962	0.0118894
i	0.0106918	0.00680011	0.102234	0.283	0.250543	0.183764	0.101338	0.0232738	0.00924506	0.00291118	0.026198
s	0.00726502	0.000115952	0.0680737	0.118724	0.268924	0.432637	0.0252245	0.0402046	0.0253244	0.00430908	0.00919799
i	0.0137222	0.00224573	0.0141825	0.108111	0.252536	0.25027	0.257014	0.0478542	0.0143952	0.0112057	0.0284648
o	0.0189042	0.000232563	0.0201365	0.0341344	0.258149	0.469168	0.0973116	0.0428309	0.0357224	0.00903419	0.0143763
k	0.000595937	0.0100572	0.003336	0.0134592	0.0339331	0.0411488	0.767003	0.0747944	0.017152	0.0219248	0.0165954
w	7.17763e-05	0.00266019	0.000700493	0.00475327	0.00883908	0.00794504	0.909224	0.032407	0.00554285	0.021463	0.00639365
á	0.000159973	0.000220877	0.00142329	0.0388044	0.0449308	0.027219	0.653113	0.120787	0.0107183	0.0554459	0.0471776
s	0.00153027	0.000138694	0.00740693	0.0280554	0.0535384	0.0868505	0.203607	0.233223	0.0878504	0.142192	0.155607
á	0.00241764	0.00125586	0.00470128	0.0320911	0.0535926	0.0666781	0.229117	0.249677	0.0958562	0.0276772	0.236936
b	0.0198723	0.000845722	0.00516239	0.0061551	0.0251365	0.0384335	0.0204193	0.104792	0.437124	0.257697	0.0843608
e	0.00863396	0.000333914	0.00138849	0.00901053	0.0231572	0.0173922	0.00785646	0.0137508	0.0312329	0.879821	0.00742247
a	0.000413242	3.23986e-05	0.000425658	0.0042228	0.00769021	0.0065759	0.0287594	0.0461361	0.0418194	0.792565	0.0713598
</S>	0.000776893	3.6537e-05	0.00479747	0.00591335	0.0062808	0.0111676	0.00363723	0.0864376	0.343312	0.178173	0.359468
