 	la	solitude	rend	triste	</S>
o	0.966511	0.0310163	0.00130525	0.000831227	0.000336339
y	0.0179797	0.971914	0.00568897	0.00358626	0.000830755
i	0.0306513	0.948523	0.0113988	0.00350575	0.00592103
í	0.0065928	0.970277	0.00860851	0.0054132	0.00910866
g	0.188742	0.426218	0.150321	0.0196491	0.21507
h	0.0943287	0.0616108	0.0750458	0.0221707	0.746844
a	0.0895947	0.207172	0.154605	0.225815	0.322814
m	0.190445	0.118485	0.504103	0.0521402	0.134828
ó	0.183211	0.0500229	0.696685	0.000698779	0.069382
o	0.335629	0.0493772	0.346461	0.14358	0.124953
p	0.0235238	0.0425151	0.791023	0.0788346	0.064104
έ	0.0124515	0.010695	0.614295	0.0665954	0.295963
έ	0.218977	0.122503	0.306188	0.0492125	0.30312
n	0.0619242	0.00191947	0.0830956	0.710649	0.142412
y	0.0135839	0.000860893	0.00641393	0.884627	0.0945141
i	0.00231665	0.00246082	0.00852607	0.953667	0.0330299
n	0.0032055	0.00106692	0.0833614	0.438937	0.473429
g	0.0161093	0.00202701	0.0232752	0.389525	0.569064
a	0.0286344	0.00477558	0.0274729	0.506155	0.432962
</S>	0.0194958	0.00195711	0.0329182	0.144624	0.801005
