 	cette	femme	a	déjà	des	arrières-petits-fils	</S>
o	0.888074	0.0624996	0.0155323	0.00038464	0.0086565	0.0240336	0.000819159
y	0.275348	0.640442	0.0571411	0.010313	0.00965679	0.00434482	0.00275449
ú	0.959788	0.0364403	0.00184148	0.00153495	0.000135895	3.93314e-05	0.000219815
r	0.990696	0.00856066	9.30648e-05	0.000358346	0.000114714	5.29651e-06	0.000171437
u	0.856585	0.0392041	0.0514285	0.00694064	0.025467	0.00550364	0.0148715
w	0.116285	0.0752725	0.658198	0.0921256	0.0219821	0.00231558	0.0338213
ó	0.444049	0.0102174	0.205266	0.0971696	0.128207	0.0120952	0.102996
a	0.0258561	0.0016172	0.654496	0.201707	0.0350394	0.00150364	0.0797802
b	0.00276186	0.000126576	0.097834	0.817863	0.0428521	0.00293587	0.0356264
h	0.0105079	0.0018087	0.211648	0.664427	0.0932494	0.00184582	0.0165129
i	0.0232076	0.00121303	0.180365	0.602649	0.150446	0.000834038	0.0412853
l	0.0184365	0.000959285	0.0752232	0.194287	0.378691	0.0233676	0.309035
a	0.00248309	0.000951041	0.0604688	0.123853	0.41918	0.112031	0.281034
p	0.0134959	0.00293187	0.0254443	0.117039	0.243531	0.382442	0.215116
a	0.000797107	5.50275e-05	0.00204784	0.00120827	0.00656069	0.98446	0.00487097
b	0.00191015	9.53962e-05	0.00973302	0.00509595	0.106594	0.842549	0.0340223
h	0.000983409	2.74405e-06	0.00109915	0.00736108	0.0486895	0.641266	0.300598
é	0.000188715	1.14939e-05	0.00298684	0.00658389	0.0612986	0.336105	0.592826
l	0.00166847	1.62948e-05	0.00367761	0.00444087	0.220284	0.299072	0.470841
é	0.00990982	0.000264198	0.00806222	0.0457684	0.168367	0.0826348	0.684993
</S>	0.00683453	0.000145503	0.00885181	0.0209624	0.186972	0.0285166	0.747717
