 	celui	qui	m'	a	fait	goûter	des	beignets	et	du	gimgembre	c'	est	ton	ami	</S>
o	0.338878	0.213475	0.0703333	0.130928	0.119767	0.0125001	0.0198167	0.00640685	0.0124546	0.0123564	0.00644173	0.0187568	0.0141866	0.0184218	0.00180134	0.00347515
m	0.00880337	0.00800497	0.00176051	0.0238491	0.156275	0.480645	0.0112359	0.271193	0.00273253	0.00180256	0.00226373	0.00149235	0.00196049	0.000870606	0.0181756	0.00893601
e	0.00390834	0.00223029	0.000371592	0.0134338	0.112982	0.85316	0.00361981	0.00577131	0.000569521	0.000318922	0.00039074	0.000212816	0.00023158	8.92805e-05	0.00255967	0.000150838
e	0.0115384	0.00787055	0.00406507	0.122274	0.476112	0.340367	0.0114667	0.00389132	0.00305431	0.00150565	0.00266241	0.0015084	0.00109338	0.000507553	0.00835869	0.0037245
s	0.0161041	0.0347003	0.173906	0.297744	0.0894746	0.150768	0.048028	0.0215684	0.0189933	0.0220795	0.0290802	0.0182025	0.0119009	0.00143266	0.000929638	0.0650873
i	0.0237211	0.0440642	0.0871185	0.239488	0.18739	0.0519258	0.0665861	0.0760817	0.0369624	0.0323291	0.0380382	0.0186486	0.0388078	0.0206264	0.000857124	0.0373552
n	0.00206588	0.0233715	0.4351	0.180979	0.0921912	0.0483505	0.114567	0.00710669	0.0325543	0.0158475	0.0166776	0.0052075	0.00514354	0.00998116	0.000772425	0.0100841
g	0.0112241	0.137626	0.55123	0.0668437	0.0236381	0.0111157	0.0304247	0.00336572	0.0255074	0.00594993	0.00718844	0.00232019	0.0077126	0.109453	0.000708771	0.0056916
á	0.00126592	0.0420948	0.666323	0.0539007	0.0247588	0.029899	0.0459083	0.00591955	0.0266146	0.0101206	0.0185466	0.00173309	0.00345428	0.0506246	0.000901631	0.0179342
i	0.00188739	0.00307572	0.0124838	0.0604926	0.161998	0.0353008	0.486117	0.0367036	0.0666901	0.059929	0.0226795	0.0186284	0.0150613	0.00616429	0.00279309	0.00999497
k	0.000277623	0.000303711	0.000706446	0.0127193	0.0248144	0.0159655	0.24303	0.588982	0.0496124	0.0243584	0.0074987	0.00842541	0.00480819	0.000726173	0.00283326	0.0149381
á	0.000270087	0.000163495	0.000305752	0.00781471	0.0316868	0.00477129	0.106148	0.634132	0.0952467	0.05346	0.033443	0.0129161	0.005488	0.000261705	0.00602455	0.00786747
t	0.000293208	0.000492569	0.00585617	0.0420241	0.033092	0.00599586	0.164386	0.470939	0.0991469	0.0627365	0.0370535	0.0127736	0.0103351	0.0038524	0.00763109	0.0433928
í	0.000570134	0.000454385	0.00166957	0.00732799	0.0107905	0.000373808	0.0502405	0.729357	0.0739129	0.0760659	0.0205393	0.00993798	0.00561356	0.00338864	0.000515277	0.00924259
l	0.00114433	0.00328564	0.0849824	0.0795249	0.0478165	0.0108554	0.104681	0.118427	0.177726	0.188569	0.116974	0.0273582	0.0119205	0.00528732	0.00241469	0.0190329
a	0.00068468	0.000736284	0.00297753	0.0158765	0.00940231	0.000789513	0.0618684	0.204821	0.261923	0.170269	0.0623798	0.046582	0.037043	0.0152396	0.00242957	0.106978
a	0.00165058	0.00151479	0.00741636	0.0111296	0.00727627	0.00164129	0.0372054	0.00912759	0.188309	0.253711	0.270021	0.103402	0.0364897	0.0215622	0.012199	0.0373437
t	0.00122718	0.0011493	0.00147549	0.00559348	0.00762175	0.00453805	0.0484492	0.0160595	0.164408	0.122618	0.137621	0.169887	0.0833483	0.021285	0.0942607	0.120458
a	0.000518597	0.000381889	0.000261949	0.00265717	0.00295967	0.000351169	0.0241582	0.208079	0.122276	0.135954	0.168092	0.0880479	0.05619	0.00343431	0.0843124	0.102325
n	0.000345901	0.000391368	0.00337129	0.0110713	0.00762986	0.000563297	0.0463939	0.132637	0.112256	0.120175	0.22446	0.0784002	0.0477866	0.00778998	0.0341017	0.172626
g	0.00128035	0.00124653	0.00130993	0.0051538	0.00350708	0.000454186	0.029717	0.0926996	0.149026	0.169913	0.231073	0.0899127	0.0513767	0.0159348	0.0300161	0.127379
a	0.000921455	0.000980161	0.00257215	0.00276243	0.0021705	0.00038079	0.0170202	0.017863	0.11449	0.151764	0.464629	0.0360161	0.0261878	0.0263775	0.0201559	0.115709
w	0.0012913	0.000907974	0.000636518	0.00218837	0.00213551	0.000257268	0.0135358	0.00168474	0.0511036	0.085097	0.0756268	0.17219	0.284421	0.0729651	0.0337051	0.202255
í	0.00162633	0.000802735	0.00212382	0.00319521	0.00170631	7.79151e-05	0.00788781	0.00334283	0.075324	0.19233	0.248092	0.148305	0.120589	0.108626	0.00924341	0.0767282
s	0.000733793	0.000441698	0.00263613	0.00133422	0.000929314	0.000145076	0.00325152	0.000557145	0.0417171	0.0832013	0.267939	0.118688	0.127896	0.112583	0.0287749	0.209171
i	0.00258671	0.00214121	0.00167069	0.00340149	0.00354713	0.000260886	0.00893925	0.00746903	0.0933603	0.108867	0.115956	0.158972	0.201703	0.119773	0.0355369	0.135816
á	0.00107209	0.00130416	0.00222937	0.00154407	0.00134236	8.79302e-05	0.00258192	0.000188759	0.0203191	0.0332969	0.0565399	0.096003	0.212663	0.366924	0.0245661	0.179337
d	0.00186966	0.00140854	0.00176815	0.0038115	0.00528715	0.000959775	0.0101469	0.00175744	0.022221	0.0181089	0.019084	0.0860893	0.196068	0.141469	0.0704692	0.419481
z	0.00100827	0.00066853	0.000294065	0.00154045	0.000897383	0.00132853	0.00222271	0.000705023	0.0090745	0.00504124	0.00773373	0.0369614	0.149682	0.0502849	0.0473826	0.685175
e	0.00837686	0.00482675	0.00146777	0.00253695	0.00116215	0.00481585	0.00227442	0.00147711	0.0102533	0.0286622	0.0273608	0.060907	0.167184	0.0958302	0.0473591	0.535505
o	0.00412856	0.00143913	0.000400616	0.000819432	0.00230845	0.000245325	0.00991638	0.000803152	0.0348184	0.0540575	0.0367247	0.127534	0.204502	0.120444	0.037238	0.36462
b	0.000154744	0.000166509	7.92985e-05	0.000556408	0.00292453	0.000599429	0.00598985	0.00365138	0.00663817	0.00456597	0.00222845	0.0290004	0.0676504	0.0245899	0.213718	0.637486
i	0.000559237	0.000476789	0.000347411	0.00142155	0.00302708	0.000439692	0.0140579	0.00764288	0.0409058	0.014862	0.035085	0.0661012	0.114547	0.0445897	0.415712	0.240224
a	0.000232042	8.76734e-05	2.2988e-05	0.000260222	0.00107975	0.000261984	0.00261258	0.00366049	0.00770234	0.0122848	0.0283708	0.0472946	0.0549092	0.0113742	0.181385	0.648461
y	0.00125755	0.00132458	0.000792484	0.00229539	0.00440422	0.000390045	0.0214032	0.00103934	0.0278897	0.0330175	0.0303473	0.0790302	0.253946	0.403957	0.0287749	0.110131
a	0.00288691	0.00196502	0.000857764	0.000982571	0.00113738	0.000101998	0.0024273	0.00458784	0.0142079	0.020551	0.0137023	0.0338773	0.118517	0.369498	0.0134085	0.401292
n	0.00132022	0.00163531	0.00188498	0.0010178	0.00191649	9.1157e-05	0.00178995	0.000254792	0.00885387	0.013876	0.0254462	0.0346771	0.117938	0.591877	0.0104712	0.18695
ω	0.000449553	0.00159071	0.00328946	0.000517423	0.000209173	5.77732e-05	0.000500922	0.000210295	0.011528	0.0051957	0.0141177	0.00643946	0.0406962	0.716307	0.0177953	0.181096
</S>	0.000215026	0.000794164	0.00655098	0.00228148	0.000366426	0.000516279	0.00144379	0.000154922	0.0204214	0.0202952	0.0470661	0.0333247	0.062211	0.177827	0.0202614	0.60627
